train_loss,train_runtime,loss,train_steps_per_second,step,epoch,total_flos,train_samples_per_second,learning_rate
,,0.5962,,5,0.31,,,0.0
,,0.5933,,10,0.62,,,0.0
,,0.5904,,15,0.94,,,0.0
,,0.5814,,20,1.25,,,0.0
,,0.584,,25,1.56,,,0.0
,,0.5667,,30,1.88,,,0.0
,,0.5534,,35,2.19,,,0.0
,,0.5408,,40,2.5,,,0.0
,,0.5378,,45,2.81,,,0.0
,,0.5147,,50,3.12,,,0.0
,,0.4995,,55,3.44,,,0.0
,,0.4759,,60,3.75,,,0.0
,,0.4568,,65,4.06,,,0.0
,,0.4338,,70,4.38,,,0.0
,,0.4115,,75,4.69,,,0.0
,,0.3904,,80,5.0,,,0.0
,,0.3614,,85,5.31,,,0.0
,,0.3393,,90,5.62,,,0.0
,,0.3116,,95,5.94,,,0.0
,,0.2865,,100,6.25,,,0.0
,,0.2674,,105,6.56,,,0.0
,,0.2428,,110,6.88,,,0.0
,,0.221,,115,7.19,,,0.0
,,0.21,,120,7.5,,,0.0
,,0.1846,,125,7.81,,,0.0
,,0.1667,,130,8.12,,,0.0
,,0.1664,,135,8.44,,,0.0
,,0.1479,,140,8.75,,,0.0
,,0.1439,,145,9.06,,,0.0
,,0.1399,,150,9.38,,,0.0
,,0.127,,155,9.69,,,0.0
,,0.1182,,160,10.0,,,0.0
,,0.1149,,165,10.31,,,0.0001
,,0.1102,,170,10.62,,,0.0001
,,0.1114,,175,10.94,,,0.0001
,,0.104,,180,11.25,,,0.0001
,,0.1021,,185,11.56,,,0.0001
,,0.1007,,190,11.88,,,0.0001
,,0.1046,,195,12.19,,,0.0001
,,0.1001,,200,12.5,,,0.0001
,,0.0943,,205,12.81,,,0.0001
,,0.0917,,210,13.12,,,0.0001
,,0.0858,,215,13.44,,,0.0001
,,0.0893,,220,13.75,,,0.0001
,,0.0897,,225,14.06,,,0.0001
,,0.0835,,230,14.38,,,0.0001
,,0.0846,,235,14.69,,,0.0001
,,0.0758,,240,15.0,,,0.0001
,,0.0815,,245,15.31,,,0.0001
,,0.0851,,250,15.62,,,0.0001
,,0.0822,,255,15.94,,,0.0001
,,0.0771,,260,16.25,,,0.0001
,,0.0807,,265,16.56,,,0.0001
,,0.0759,,270,16.88,,,0.0001
,,0.075,,275,17.19,,,0.0001
,,0.0767,,280,17.5,,,0.0001
,,0.0724,,285,17.81,,,0.0001
,,0.0695,,290,18.12,,,0.0001
,,0.0731,,295,18.44,,,0.0001
,,0.0695,,300,18.75,,,0.0001
,,0.0694,,305,19.06,,,0.0001
,,0.0719,,310,19.38,,,0.0001
,,0.0715,,315,19.69,,,0.0001
,,0.0736,,320,20.0,,,0.0001
,,0.0684,,325,20.31,,,0.0001
,,0.067,,330,20.62,,,0.0001
,,0.0677,,335,20.94,,,0.0001
,,0.0674,,340,21.25,,,0.0001
,,0.063,,345,21.56,,,0.0001
,,0.0635,,350,21.88,,,0.0001
,,0.0644,,355,22.19,,,0.0001
,,0.0638,,360,22.5,,,0.0001
,,0.0598,,365,22.81,,,0.0001
,,0.0627,,370,23.12,,,0.0001
,,0.0608,,375,23.44,,,0.0001
,,0.0608,,380,23.75,,,0.0001
,,0.067,,385,24.06,,,0.0001
,,0.0605,,390,24.38,,,0.0001
,,0.063,,395,24.69,,,0.0001
,,0.063,,400,25.0,,,0.0001
,,0.0601,,405,25.31,,,0.0001
,,0.0599,,410,25.62,,,0.0001
,,0.0568,,415,25.94,,,0.0001
,,0.057,,420,26.25,,,0.0001
,,0.0626,,425,26.56,,,0.0001
,,0.0569,,430,26.88,,,0.0001
,,0.0589,,435,27.19,,,0.0001
,,0.0538,,440,27.5,,,0.0001
,,0.0551,,445,27.81,,,0.0001
,,0.0557,,450,28.12,,,0.0001
,,0.0583,,455,28.44,,,0.0001
,,0.0588,,460,28.75,,,0.0001
,,0.0561,,465,29.06,,,0.0001
,,0.0562,,470,29.38,,,0.0001
,,0.0554,,475,29.69,,,0.0001
,,0.0554,,480,30.0,,,0.0001
,,0.0552,,485,30.31,,,0.0001
,,0.0525,,490,30.62,,,0.0001
,,0.0534,,495,30.94,,,0.0001
,,0.0565,,500,31.25,,,0.0001
,,0.054,,505,31.56,,,0.0001
,,0.0547,,510,31.88,,,0.0001
,,0.0573,,515,32.19,,,0.0001
,,0.0538,,520,32.5,,,0.0001
,,0.0512,,525,32.81,,,0.0001
,,0.0536,,530,33.12,,,0.0001
,,0.0556,,535,33.44,,,0.0001
,,0.0523,,540,33.75,,,0.0001
,,0.0526,,545,34.06,,,0.0001
,,0.0525,,550,34.38,,,0.0001
,,0.0564,,555,34.69,,,0.0001
,,0.0531,,560,35.0,,,0.0001
,,0.0468,,565,35.31,,,0.0001
,,0.0589,,570,35.62,,,0.0001
,,0.055,,575,35.94,,,0.0001
,,0.0489,,580,36.25,,,0.0001
,,0.0543,,585,36.56,,,0.0001
,,0.0555,,590,36.88,,,0.0001
,,0.0508,,595,37.19,,,0.0001
,,0.0496,,600,37.5,,,0.0001
,,0.0552,,605,37.81,,,0.0001
,,0.0515,,610,38.12,,,0.0001
,,0.0489,,615,38.44,,,0.0001
,,0.055,,620,38.75,,,0.0001
,,0.0493,,625,39.06,,,0.0001
,,0.0489,,630,39.38,,,0.0001
,,0.0496,,635,39.69,,,0.0001
,,0.0538,,640,40.0,,,0.0001
,,0.0505,,645,40.31,,,0.0001
,,0.0526,,650,40.62,,,0.0001
,,0.0493,,655,40.94,,,0.0001
,,0.0502,,660,41.25,,,0.0001
,,0.0467,,665,41.56,,,0.0001
,,0.0477,,670,41.88,,,0.0001
,,0.0522,,675,42.19,,,0.0001
,,0.052,,680,42.5,,,0.0001
,,0.0501,,685,42.81,,,0.0001
,,0.0488,,690,43.12,,,0.0001
,,0.0545,,695,43.44,,,0.0001
,,0.0479,,700,43.75,,,0.0001
,,0.0509,,705,44.06,,,0.0001
,,0.0445,,710,44.38,,,0.0001
,,0.0453,,715,44.69,,,0.0001
,,0.0478,,720,45.0,,,0.0001
,,0.0506,,725,45.31,,,0.0001
,,0.0494,,730,45.62,,,0.0001
,,0.0507,,735,45.94,,,0.0001
,,0.0492,,740,46.25,,,0.0001
,,0.0491,,745,46.56,,,0.0001
,,0.045,,750,46.88,,,0.0001
,,0.0466,,755,47.19,,,0.0001
,,0.049,,760,47.5,,,0.0001
,,0.0499,,765,47.81,,,0.0001
,,0.0482,,770,48.12,,,0.0001
,,0.0472,,775,48.44,,,0.0001
,,0.0486,,780,48.75,,,0.0001
,,0.0474,,785,49.06,,,0.0001
,,0.0501,,790,49.38,,,0.0001
,,0.0505,,795,49.69,,,0.0001
,,0.0473,,800,50.0,,,0.0001
,,0.046,,805,50.31,,,0.0001
,,0.0485,,810,50.62,,,0.0001
,,0.0495,,815,50.94,,,0.0001
,,0.046,,820,51.25,,,0.0001
,,0.0502,,825,51.56,,,0.0001
,,0.0457,,830,51.88,,,0.0001
,,0.0504,,835,52.19,,,0.0001
,,0.0474,,840,52.5,,,0.0001
,,0.0468,,845,52.81,,,0.0001
,,0.0472,,850,53.12,,,0.0001
,,0.047,,855,53.44,,,0.0001
,,0.0474,,860,53.75,,,0.0001
,,0.0457,,865,54.06,,,0.0001
,,0.0468,,870,54.38,,,0.0001
,,0.0476,,875,54.69,,,0.0001
,,0.0473,,880,55.0,,,0.0001
,,0.0493,,885,55.31,,,0.0001
,,0.0482,,890,55.62,,,0.0001
,,0.0484,,895,55.94,,,0.0001
,,0.0492,,900,56.25,,,0.0001
,,0.0459,,905,56.56,,,0.0001
,,0.0476,,910,56.88,,,0.0001
,,0.0503,,915,57.19,,,0.0001
,,0.0505,,920,57.5,,,0.0001
,,0.0458,,925,57.81,,,0.0001
,,0.0498,,930,58.12,,,0.0001
,,0.046,,935,58.44,,,0.0001
,,0.0474,,940,58.75,,,0.0001
,,0.0508,,945,59.06,,,0.0001
,,0.0475,,950,59.38,,,0.0001
,,0.0479,,955,59.69,,,0.0001
,,0.0468,,960,60.0,,,0.0
,,0.0461,,965,60.31,,,0.0
,,0.0485,,970,60.62,,,0.0
,,0.0472,,975,60.94,,,0.0
,,0.0452,,980,61.25,,,0.0
,,0.0451,,985,61.56,,,0.0
,,0.0425,,990,61.88,,,0.0
,,0.0462,,995,62.19,,,0.0
,,0.0459,,1000,62.5,,,0.0
,,0.0484,,1005,62.81,,,0.0
,,0.0478,,1010,63.12,,,0.0
,,0.0465,,1015,63.44,,,0.0
,,0.0443,,1020,63.75,,,0.0
,,0.0466,,1025,64.06,,,0.0
,,0.0434,,1030,64.38,,,0.0
,,0.0436,,1035,64.69,,,0.0
,,0.0457,,1040,65.0,,,0.0
,,0.0436,,1045,65.31,,,0.0
,,0.0494,,1050,65.62,,,0.0
,,0.045,,1055,65.94,,,0.0
,,0.0432,,1060,66.25,,,0.0
,,0.0462,,1065,66.56,,,0.0
,,0.0445,,1070,66.88,,,0.0
,,0.0458,,1075,67.19,,,0.0
,,0.0455,,1080,67.5,,,0.0
,,0.046,,1085,67.81,,,0.0
,,0.0451,,1090,68.12,,,0.0
,,0.0467,,1095,68.44,,,0.0
,,0.0474,,1100,68.75,,,0.0
,,0.0435,,1105,69.06,,,0.0
,,0.0462,,1110,69.38,,,0.0
,,0.0476,,1115,69.69,,,0.0
,,0.0457,,1120,70.0,,,0.0
,,0.0467,,1125,70.31,,,0.0
,,0.0453,,1130,70.62,,,0.0
,,0.046,,1135,70.94,,,0.0
,,0.0474,,1140,71.25,,,0.0
,,0.0457,,1145,71.56,,,0.0
,,0.0464,,1150,71.88,,,0.0
,,0.0482,,1155,72.19,,,0.0
,,0.0442,,1160,72.5,,,0.0
,,0.0428,,1165,72.81,,,0.0
,,0.0447,,1170,73.12,,,0.0
,,0.0448,,1175,73.44,,,0.0
,,0.0448,,1180,73.75,,,0.0
,,0.0432,,1185,74.06,,,0.0
,,0.0425,,1190,74.38,,,0.0
,,0.0442,,1195,74.69,,,0.0
,,0.0441,,1200,75.0,,,0.0
,,0.0437,,1205,75.31,,,0.0
,,0.0432,,1210,75.62,,,0.0
,,0.0464,,1215,75.94,,,0.0
,,0.047,,1220,76.25,,,0.0
,,0.0448,,1225,76.56,,,0.0
,,0.0456,,1230,76.88,,,0.0
,,0.0471,,1235,77.19,,,0.0
,,0.0439,,1240,77.5,,,0.0
,,0.044,,1245,77.81,,,0.0
,,0.0457,,1250,78.12,,,0.0
,,0.0476,,1255,78.44,,,0.0
,,0.0495,,1260,78.75,,,0.0
,,0.0445,,1265,79.06,,,0.0
,,0.0467,,1270,79.38,,,0.0
