loss,steps,rewards,time,epochs
0.0396,5,4324.6875,10.8022,1.2667
0.0438,10,2267.9338,20.9502,1.6
0.0374,15,3606.0691,31.4416,1.9333
0.0362,20,1796.4418,41.8248,2.2667
0.0388,25,2618.9812,52.744,2.6
0.0412,30,2074.2393,63.0632,2.9333
0.0365,35,1960.2006,73.163,3.2667
0.0447,40,1446.9066,83.2713,3.6
0.0356,45,4275.4819,93.3413,3.9333
0.0388,50,2888.6675,104.0623,4.2667
0.0374,55,2270.9531,114.5044,4.6
0.0388,60,3298.5422,124.8348,4.9333
0.0441,65,3836.2734,135.0843,5.2667
0.0362,70,2652.9119,146.1498,5.6
0.0466,75,2420.8389,156.5683,5.9333
0.0464,80,3190.1731,166.6373,6.2667
0.0412,85,3477.8977,176.761,6.6
0.0383,90,4424.7979,187.1877,6.9333
0.0377,95,2125.2366,197.214,7.2667
0.0366,100,2768.2917,207.4713,7.6
0.0378,105,2529.0884,217.5261,7.9333
0.0356,110,2284.6682,228.2386,8.2667
0.0352,115,2212.8845,238.8622,8.6
0.0363,120,3644.2485,249.4861,8.9333
0.0425,125,3045.574,259.7717,9.2667
0.0437,130,1997.4453,270.6008,9.6
0.0365,135,3859.7871,281.6211,9.9333
0.0421,140,1384.926,291.9381,10.2667
0.0373,145,3559.0859,302.6524,10.6
0.0372,150,4261.1665,312.7154,10.9333
0.0463,155,4268.1851,323.8746,11.2667
0.0383,160,2154.4456,334.1207,11.6
0.0408,165,1886.2338,345.0199,11.9333
0.0362,170,2608.8652,356.0599,12.2667
0.0367,175,3056.6104,366.2553,12.6
0.0385,180,2199.6201,377.0817,12.9333
0.0399,185,2350.4946,387.4082,13.2667
0.0409,190,2346.8357,397.4971,13.6
0.0409,195,2625.6001,407.8128,13.9333
0.0383,200,2555.2517,418.0866,14.2667
0.0333,205,4399.4038,428.2364,14.6
0.0517,210,1395.178,438.8218,14.9333
0.0357,215,1922.3965,449.4673,15.2667
0.0427,220,2574.7183,460.9523,15.6
0.0428,225,3486.2676,471.4995,15.9333
0.0334,230,3649.5344,482.0146,16.2667
0.0368,235,2657.4744,492.5578,16.6
0.0363,240,2218.6245,503.8666,16.9333
0.0409,245,1986.0393,514.0813,17.2667
0.0379,250,1573.2002,525.293,17.6
0.0364,255,3102.0796,535.9384,17.9333
0.0359,260,2019.3698,546.7186,18.2667
0.0461,265,2781.7849,559.0104,18.6
0.0422,270,2583.0403,570.1455,18.9333
0.0404,275,3444.4661,580.9279,19.2667
0.04,280,3849.2844,591.4412,19.6
0.0411,285,1302.886,602.3682,19.9333
0.0362,290,2758.8196,612.8536,20.2667
0.0353,295,2316.9888,624.9298,20.6
0.0347,300,2560.2974,635.4998,20.9333
0.0473,305,2343.8269,645.9886,21.2667
0.036,310,1553.9315,656.791,21.6
0.0367,315,2469.2717,667.8062,21.9333
0.0406,320,2896.5891,678.4056,22.2667
0.0387,325,3392.7253,688.3843,22.6
0.0341,330,2761.8372,699.1427,22.9333
0.0501,335,1552.1964,709.9056,23.2667
0.036,340,3630.3379,720.5511,23.6
0.0394,345,3072.293,731.2403,23.9333
0.0432,350,3810.5142,742.1828,24.2667
0.0386,355,2483.0469,752.253,24.6
0.0354,360,2821.3096,764.2151,24.9333
0.0405,365,2655.1462,775.876,25.2667
0.0392,370,1825.1824,786.2226,25.6
0.0358,375,3802.0317,796.2346,25.9333
0.0452,380,2419.4739,806.498,26.2667
0.0359,385,3596.2454,818.2578,26.6
0.0357,390,3932.0398,828.4876,26.9333
0.0406,395,2089.3743,839.6325,27.2667
0.0357,400,1795.052,850.5199,27.6
0.0356,405,2521.4448,861.7996,27.9333
0.0501,410,3563.7859,872.5656,28.2667
0.0362,415,3709.8894,883.0974,28.6
0.0442,420,2384.0386,893.8868,28.9333
0.0354,425,2973.2327,904.1054,29.2667
0.0388,430,2474.9734,915.1823,29.6
0.0375,435,2001.2467,925.7455,29.9333
0.0431,440,3985.1785,935.7405,30.2667
0.0441,445,3328.4688,947.1681,30.6
0.0451,450,1364.9219,957.8421,30.9333
0.0396,455,1873.8967,970.8036,31.2667
0.0354,460,1560.5601,981.6195,31.6
0.0469,465,2004.1732,991.6428,31.9333
0.0455,470,3974.0601,1002.5585,32.2667
0.043,475,3816.2202,1012.9689,32.6
0.0425,480,3719.2676,1022.6735,32.9333
0.0413,485,3877.2871,1033.3008,33.2667
0.0367,490,3115.1636,1044.8007,33.6
0.0378,495,1072.5518,1055.7777,33.9333
0.0371,500,2715.885,1066.2872,34.2667
0.0448,505,1775.7045,1077.2534,34.6
0.0392,510,2048.2769,1088.1503,34.9333
0.0375,515,2381.552,1099.4347,35.2667
0.0358,520,3533.6938,1110.5471,35.6
0.0407,525,2567.0952,1121.6119,35.9333
0.0529,530,3765.2981,1132.5602,36.2667
0.0415,535,2107.2729,1142.8669,36.6
0.0368,540,953.4062,1154.9644,36.9333
0.0405,545,3726.6113,1165.6587,37.2667
0.0382,550,3221.9431,1176.4419,37.6
0.0433,555,3456.011,1187.5214,37.9333
0.0387,560,2332.7104,1198.604,38.2667
0.0363,565,1686.9828,1209.2778,38.6
0.0364,570,2070.3933,1220.9643,38.9333
0.035,575,3993.532,1231.7927,39.2667
0.0357,580,3330.6985,1242.8929,39.6
0.0431,585,2303.1631,1253.4463,39.9333
0.0392,590,1230.0421,1263.7309,40.2667
0.04,595,2119.8101,1273.9898,40.6
0.0422,600,4771.8882,1285.1374,40.9333
0.0347,605,1787.5914,1295.0785,41.2667
0.041,610,1997.7465,1305.7329,41.6
0.0516,615,2693.4634,1317.5144,41.9333
0.0436,620,3232.1411,1328.6486,42.2667
0.0368,625,4049.8372,1340.7686,42.6
