loss,steps,rewards,time,epochs
0.8202,5,-83.8124,10.9095,1.2667
0.8263,10,-89.3744,21.66,1.6
0.8236,15,-82.4213,31.3489,1.9333
0.8145,20,-74.2341,41.5559,2.2667
0.8216,25,-84.8587,51.7999,2.6
0.8314,30,-78.1614,62.6636,2.9333
0.8196,35,-78.352,72.6173,3.2667
0.8119,40,-77.5151,82.4241,3.6
0.8084,45,-74.3584,93.4416,3.9333
0.8008,50,-88.6177,104.7263,4.2667
0.7958,55,-85.0275,116.1947,4.6
0.7933,60,-80.1635,126.8915,4.9333
0.7768,65,-76.0781,137.9904,5.2667
0.7829,70,-93.1089,148.7306,5.6
0.765,75,-96.8416,159.2071,5.9333
0.7491,80,-66.9445,169.2307,6.2667
0.7438,85,-76.4287,179.4278,6.6
0.7353,90,-94.6156,190.5632,6.9333
0.7337,95,-73.0132,200.7582,7.2667
0.7131,100,-88.8574,210.9382,7.6
0.7068,105,-90.5528,220.7373,7.9333
0.6907,110,-75.1655,231.974,8.2667
0.6798,115,-94.767,241.9424,8.6
0.6699,120,-90.1281,252.0468,8.9333
0.636,125,-93.6633,262.8247,9.2667
0.6208,130,-110.4411,273.2421,9.6
0.6253,135,-109.8775,282.8837,9.9333
0.6057,140,-93.0135,294.0629,10.2667
0.5775,145,-77.0443,303.8931,10.6
0.5627,150,-97.5965,313.6425,10.9333
0.5556,155,-104.9894,323.4328,11.2667
0.5415,160,-106.7561,333.1224,11.6
0.5334,165,-105.9608,343.338,11.9333
0.5198,170,-99.5166,354.0862,12.2667
0.4837,175,-141.8929,364.373,12.6
0.4799,180,-119.7895,375.0839,12.9333
0.4598,185,-115.1338,387.4158,13.2667
0.4376,190,-139.8389,398.837,13.6
0.4323,195,-127.2233,408.6653,13.9333
0.3973,200,-144.9989,420.2012,14.2667
0.382,205,-160.7303,431.0124,14.6
0.3708,210,-181.4225,441.8486,14.9333
0.3572,215,-171.7005,451.9255,15.2667
0.3313,220,-184.6884,462.7216,15.6
0.3248,225,-170.1287,473.0462,15.9333
0.3097,230,-183.8047,483.5339,16.2667
