loss,steps,rewards,time,epochs
0.9752,5,-102.1687,10.4621,1.2667
0.9647,10,-101.619,21.153,1.6
0.9835,15,-100.1653,30.9048,1.9333
0.9843,20,-101.9651,41.2634,2.2667
0.9714,25,-101.1225,51.412,2.6
0.9717,30,-101.2358,61.4464,2.9333
0.9559,35,-98.964,71.1848,3.2667
0.9636,40,-101.3528,81.9985,3.6
0.9367,45,-107.6977,91.6444,3.9333
0.9315,50,-97.6855,101.4605,4.2667
0.9186,55,-97.6063,111.533,4.6
0.9133,60,-97.0112,121.5715,4.9333
0.9104,65,-95.953,131.6162,5.2667
0.8971,70,-94.8208,141.7649,5.6
0.8753,75,-92.6337,151.4635,5.9333
0.8615,80,-91.0491,161.4825,6.2667
0.8394,85,-91.1806,173.0768,6.6
0.8368,90,-89.4135,182.7719,6.9333
0.8154,95,-87.1438,192.5393,7.2667
0.7942,100,-86.5715,203.2214,7.6
0.7741,105,-84.0541,213.0754,7.9333
0.7645,110,-82.5886,222.7837,8.2667
0.7481,115,-79.6966,232.9223,8.6
0.7202,120,-79.0421,242.8871,8.9333
0.7044,125,-76.858,252.7272,9.2667
0.6653,130,-75.68,263.0634,9.6
0.6575,135,-72.3882,273.1657,9.9333
0.6219,140,-71.4363,283.3138,10.2667
0.6038,145,-69.3298,293.4538,10.6
0.5773,150,-64.8382,303.6913,10.9333
0.5424,155,-64.1353,313.9772,11.2667
0.5218,160,-62.0797,323.8442,11.6
0.492,165,-57.5154,333.5844,11.9333
0.4711,170,-53.5145,343.4048,12.2667
0.4467,175,-49.2738,353.5091,12.6
0.4183,180,-45.6123,363.9117,12.9333
0.4225,185,-45.3211,374.0436,13.2667
0.3857,190,-42.7216,383.9624,13.6
0.3687,195,-35.5558,393.8468,13.9333
0.3158,200,-31.0512,403.8272,14.2667
0.3302,205,-28.3434,413.9323,14.6
0.3015,210,-23.6091,424.8911,14.9333
0.2859,215,-24.92,435.0496,15.2667
0.2534,220,-19.1188,445.0871,15.6
0.2376,225,-19.777,455.1005,15.9333
0.2054,230,-18.1485,465.2295,16.2667
0.2189,235,-21.5736,475.1433,16.6
0.1882,240,-22.7036,484.8883,16.9333
0.1771,245,-25.9077,494.5829,17.2667
0.1778,250,-29.5288,504.6955,17.6
0.1797,255,-34.1667,514.8556,17.9333
0.157,260,-41.2443,524.6014,18.2667
0.1475,265,-38.915,534.8326,18.6
0.1508,270,-46.1161,544.988,18.9333
0.1283,275,-49.5021,554.8093,19.2667
0.1432,280,-57.1642,564.6298,19.6
0.1201,285,-61.1535,575.0145,19.9333
0.114,290,-69.8057,585.1979,20.2667
0.1194,295,-72.1433,594.9959,20.6
0.1234,300,-75.2287,605.0976,20.9333
0.11,305,-81.6128,616.7089,21.2667
0.1065,310,-79.9011,626.8685,21.6
0.1089,315,-81.3187,636.9291,21.9333
0.1061,320,-83.3426,647.0264,22.2667
0.0997,325,-81.4845,659.0442,22.6
