epochs,steps,loss,rewards,time
1.2667,5,0.0419,3006.2778,11.1899
1.6,10,0.0488,3355.0852,23.0325
1.9333,15,0.0392,2634.7466,34.06
2.2667,20,0.034,2937.6094,43.9733
2.6,25,0.0443,1762.2535,54.3379
2.9333,30,0.0362,2457.6189,64.9356
3.2667,35,0.0385,2074.5549,75.5871
3.6,40,0.0373,2749.0425,86.5794
3.9333,45,0.0399,1579.3842,96.867
4.2667,50,0.0395,2547.2156,107.3189
4.6,55,0.039,2681.938,117.7861
4.9333,60,0.0376,3836.3887,128.815
5.2667,65,0.0359,3102.5752,139.2535
5.6,70,0.0397,3193.5176,149.7847
5.9333,75,0.0448,1996.6055,160.0547
6.2667,80,0.0509,2414.2517,170.0513
6.6,85,0.0387,1766.6458,180.2718
6.9333,90,0.0438,2835.5625,190.2108
7.2667,95,0.0417,3448.2117,200.1746
7.6,100,0.0385,1360.9528,210.2737
7.9333,105,0.0413,1649.0637,220.645
8.2667,110,0.0423,2415.1748,230.6724
8.6,115,0.0499,2753.5906,240.5101
8.9333,120,0.0449,4031.5833,250.6175
9.2667,125,0.0388,3166.5901,260.6845
9.6,130,0.037,1767.1777,270.8865
9.9333,135,0.0457,2194.0669,281.9208
10.2667,140,0.036,2178.2356,291.8202
10.6,145,0.0487,3838.5906,301.9643
10.9333,150,0.036,3046.5151,312.5208
11.2667,155,0.0365,2787.365,322.9492
11.6,160,0.0389,2515.1187,333.3475
11.9333,165,0.0374,1751.7914,343.4271
12.2667,170,0.0458,3418.4238,354.0992
12.6,175,0.0388,3596.1414,363.9432
12.9333,180,0.0372,1414.3738,374.3501
13.2667,185,0.0379,2541.1597,384.5428
13.6,190,0.0373,3479.8296,394.7556
13.9333,195,0.0422,2540.3044,405.5216
14.2667,200,0.0413,3004.1748,415.6895
14.6,205,0.0355,1388.7092,425.7486
14.9333,210,0.0367,2867.8215,436.1984
15.2667,215,0.0355,3622.5688,446.2908
15.6,220,0.0391,2261.8252,457.8608
15.9333,225,0.0349,2564.1519,469.5043
16.2667,230,0.0381,2141.502,480.5796
16.6,235,0.0376,3507.6414,492.1083
16.9333,240,0.0398,3255.3452,502.9256
17.2667,245,0.0363,1187.429,512.9836
17.6,250,0.0355,3073.7754,522.9802
17.9333,255,0.0423,3456.8315,533.1203
18.2667,260,0.0465,1061.8759,543.1872
18.6,265,0.0361,3047.7153,554.0725
18.9333,270,0.0403,4321.8135,564.8037
19.2667,275,0.0363,1963.803,575.5016
19.6,280,0.0406,2746.5835,585.923
19.9333,285,0.0365,6288.7578,595.984
20.2667,290,0.0386,2607.5425,606.5645
20.6,295,0.0349,2727.5005,616.5671
20.9333,300,0.039,2782.0461,626.9732
21.2667,305,0.0382,3061.0793,638.1897
21.6,310,0.0433,3214.6724,648.7333
21.9333,315,0.0373,2773.6406,659.3614
22.2667,320,0.036,4924.4521,669.5663
22.6,325,0.0358,2153.562,680.9481
22.9333,330,0.0362,3934.9094,691.2283
23.2667,335,0.0352,3065.1619,701.3661
23.6,340,0.0366,1825.6879,712.7841
23.9333,345,0.0396,1242.2615,722.9821
24.2667,350,0.0419,3329.1355,733.3431
24.6,355,0.0333,2186.3958,743.544
24.9333,360,0.0447,2088.8601,753.8158
25.2667,365,0.0394,3714.2402,764.5894
25.6,370,0.0393,3982.7688,775.1095
25.9333,375,0.0371,3291.8914,785.4693
26.2667,380,0.037,5766.8037,796.37
26.6,385,0.0343,3802.314,808.6922
26.9333,390,0.0372,2690.3589,818.8809
27.2667,395,0.0417,4699.4619,829.5519
27.6,400,0.0374,2963.0574,839.9645
27.9333,405,0.0351,2369.554,852.0913
28.2667,410,0.036,3979.9907,862.8312
28.6,415,0.0358,3787.0366,873.4348
28.9333,420,0.0347,1622.7018,884.7929
29.2667,425,0.0361,2654.1101,895.2897
29.6,430,0.037,2290.5659,905.5497
29.9333,435,0.0354,2477.9739,915.7231
30.2667,440,0.0396,1975.4919,925.6918
30.6,445,0.0358,4369.334,935.9638
30.9333,450,0.0363,5001.7295,946.0987
31.2667,455,0.0365,4012.5171,956.8397
31.6,460,0.0429,3422.5571,967.6597
31.9333,465,0.0366,4089.8867,978.1403
32.2667,470,0.0365,5595.6357,988.7848
32.6,475,0.0354,2149.5479,998.9594
32.9333,480,0.0413,1573.6409,1009.1871
33.2667,485,0.038,3570.4766,1019.5684
33.6,490,0.0447,3247.2827,1029.5339
33.9333,495,0.0372,3390.1367,1039.4957
34.2667,500,0.0343,4813.2197,1049.4366
34.6,505,0.034,3471.5742,1059.8941
34.9333,510,0.0373,1756.3629,1069.8107
35.2667,515,0.0399,2968.5161,1079.6925
35.6,520,0.0426,3328.7957,1090.1382
35.9333,525,0.0332,3643.1184,1100.2041
36.2667,530,0.0378,4825.0068,1110.2383
36.6,535,0.0376,4369.082,1121.4403
36.9333,540,0.0446,4905.3662,1131.4105
37.2667,545,0.038,4197.5962,1141.7523
37.6,550,0.0445,7247.8335,1151.551
37.9333,555,0.0367,1890.4625,1161.7995
38.2667,560,0.0369,2977.2532,1172.0767
38.6,565,0.0415,6484.2842,1182.6706
38.9333,570,0.0393,3721.1824,1192.5814
39.2667,575,0.0351,3279.8589,1202.3778
39.6,580,0.0366,4692.7896,1212.9592
39.9333,585,0.0346,3581.377,1223.1712
40.2667,590,0.0386,5079.6147,1233.0671
40.6,595,0.037,3521.3328,1243.6744
40.9333,600,0.0363,3854.6724,1254.3322
41.2667,605,0.0469,4869.9521,1264.4249
41.6,610,0.0383,4494.4854,1274.445
41.9333,615,0.0379,5845.5229,1284.7688
