epochs,loss,rewards,time,steps
1.2667,0.8699,-79.7298,9.7832,5
1.6,0.8729,-79.1434,19.7181,10
1.9333,0.8604,-78.092,29.7988,15
2.2667,0.8515,-80.3108,39.4736,20
2.6,0.8493,-79.6242,49.4615,25
2.9333,0.8396,-85.6122,59.3757,30
3.2667,0.8301,-80.6215,69.1531,35
3.6,0.8167,-77.5283,79.5975,40
3.9333,0.8182,-73.7537,90.0347,45
4.2667,0.7936,-73.5277,100.0294,50
4.6,0.7826,-71.7325,109.7882,55
4.9333,0.7562,-65.4361,120.0169,60
5.2667,0.7463,-71.6877,130.0403,65
5.6,0.7299,-70.8295,140.175,70
5.9333,0.6944,-67.7532,149.8728,75
6.2667,0.68,-65.3105,159.8699,80
6.6,0.6415,-72.0314,169.7004,85
6.9333,0.6248,-73.4679,179.5613,90
7.2667,0.5933,-70.0061,189.6302,95
7.6,0.5499,-69.5785,199.3111,100
7.9333,0.5197,-75.7617,210.0275,105
8.2667,0.4723,-75.3525,219.9874,110
8.6,0.435,-79.5067,229.7428,115
8.9333,0.4077,-77.8376,240.2795,120
9.2667,0.36,-70.9207,250.6143,125
9.6,0.333,-86.219,260.6154,130
9.9333,0.3066,-87.5241,270.4871,135
10.2667,0.2734,-107.7924,280.4287,140
10.6,0.2267,-118.9295,290.2722,145
10.9333,0.201,-144.3369,300.3569,150
11.2667,0.1917,-172.8523,310.3201,155
11.6,0.1705,-183.2016,320.0132,160
11.9333,0.1809,-216.8144,330.2843,165
12.2667,0.15,-228.4523,339.9735,170
12.6,0.1449,-226.5202,350.1068,175
12.9333,0.1427,-227.7552,359.901,180
13.2667,0.1381,-224.7879,369.6281,185
13.6,0.1285,-190.8287,379.8436,190
13.9333,0.1226,-177.5183,390.1238,195
14.2667,0.1224,-189.7231,400.1172,200
14.6,0.1035,-176.788,409.95,205
14.9333,0.1128,-162.1023,419.8154,210
15.2667,0.1247,-182.1266,430.3876,215
15.6,0.1076,-167.641,440.8279,220
15.9333,0.1073,-160.3333,450.5791,225
16.2667,0.1014,-146.0729,460.5014,230
16.6,0.0978,-160.3429,471.507,235
16.9333,0.101,-88.709,481.5213,240
17.2667,0.0957,-150.8444,491.3062,245
17.6,0.1002,-140.2138,501.8023,250
17.9333,0.0971,-123.9422,511.7542,255
18.2667,0.0908,-111.8367,522.2579,260
18.6,0.0877,-94.9353,531.99,265
18.9333,0.097,2.1272,541.7853,270
19.2667,0.1003,28.314,552.2151,275
19.6,0.0905,0.9802,561.9826,280
19.9333,0.0921,77.6467,571.703,285
20.2667,0.0902,-21.4256,581.6885,290
20.6,0.1012,-16.5319,592.3969,295
20.9333,0.0841,-20.4312,602.9689,300
21.2667,0.0794,-47.7374,613.1598,305
21.6,0.0855,-52.4324,622.8921,310
21.9333,0.0819,55.259,632.935,315
22.2667,0.0835,-67.3548,643.8626,320
22.6,0.0794,-65.7562,654.2618,325
22.9333,0.0769,-52.5313,665.3538,330
23.2667,0.074,29.7603,676.5157,335
23.6,0.0849,19.2039,688.1115,340
23.9333,0.0881,-49.167,698.8445,345
24.2667,0.0734,8.0199,710.7163,350
24.6,0.0806,-67.4318,720.7629,355
24.9333,0.0804,-98.1666,731.3595,360
25.2667,0.0855,-33.2396,741.254,365
25.6,0.0713,-86.4225,751.7686,370
25.9333,0.0858,-113.1028,761.6178,375
26.2667,0.0712,-53.2529,771.8821,380
26.6,0.0705,-138.4423,781.954,385
26.9333,0.0951,-156.9176,792.2448,390
27.2667,0.0772,153.3771,803.1794,395
27.6,0.0746,38.4397,813.3285,400
27.9333,0.0737,-63.333,824.2759,405
28.2667,0.0879,-88.836,834.715,410
28.6,0.0665,-41.0624,844.6479,415
28.9333,0.0666,-79.6371,854.3021,420
29.2667,0.0657,8.4584,864.0297,425
29.6,0.0764,37.4164,874.7471,430
29.9333,0.0745,73.6189,884.4878,435
30.2667,0.0654,79.1981,895.1678,440
30.6,0.0701,20.6454,904.8499,445
30.9333,0.0707,-75.21,914.6897,450
31.2667,0.0696,-63.1261,925.1837,455
31.6,0.0742,7.666,935.1117,460
31.9333,0.0669,-14.7431,945.7681,465
32.2667,0.0641,-77.9736,955.55,470
32.6,0.0755,-60.6675,965.6159,475
32.9333,0.0752,-172.454,975.5132,480
33.2667,0.0701,-121.857,986.1637,485
33.6,0.0679,-94.4573,996.6845,490
33.9333,0.0582,-151.1186,1006.4008,495
34.2667,0.0618,-36.8321,1016.2746,500
34.6,0.0583,-57.0824,1026.8791,505
34.9333,0.0632,18.4364,1036.6658,510
35.2667,0.0649,-48.54,1046.9317,515
35.6,0.0711,-122.6307,1056.8125,520
35.9333,0.0733,-196.8865,1067.2607,525
36.2667,0.0613,-100.1716,1077.1601,530
36.6,0.0609,-94.5999,1087.2401,535
36.9333,0.0654,-6.368,1097.1359,540
37.2667,0.0602,-52.9427,1108.29,545
37.6,0.0661,-145.8033,1118.9658,550
37.9333,0.0852,-84.9002,1129.087,555
38.2667,0.0578,-120.0764,1139.4184,560
38.6,0.0623,-145.4204,1150.3771,565
38.9333,0.0743,-55.3307,1160.8246,570
39.2667,0.0576,-96.6063,1171.0474,575
39.6,0.0841,-77.8731,1181.5888,580
39.9333,0.0626,-40.0115,1191.3159,585
40.2667,0.0661,-44.8722,1201.3042,590
40.6,0.0608,-22.6181,1210.9887,595
40.9333,0.0626,99.1125,1220.6595,600
41.2667,0.0618,12.6834,1230.4067,605
41.6,0.0582,-45.1727,1240.2727,610
41.9333,0.0593,-28.4523,1250.0991,615
42.2667,0.0535,36.3831,1260.67,620
42.6,0.0664,122.9803,1270.4846,625
42.9333,0.0603,-141.1046,1281.388,630
43.2667,0.0788,-5.3321,1292.524,635
43.6,0.0555,-141.2502,1302.4603,640
43.9333,0.0678,-103.2954,1312.2216,645
44.2667,0.0546,31.097,1322.7595,650
44.6,0.056,175.7632,1332.5802,655
44.9333,0.0572,26.2239,1343.0142,660
45.2667,0.0722,-15.2556,1353.6698,665
45.6,0.0593,206.528,1364.2097,670
45.9333,0.0619,46.235,1374.7061,675
46.2667,0.0642,-2.4499,1385.2224,680
46.6,0.0594,-72.2316,1395.306,685
46.9333,0.0573,9.8503,1405.2255,690
47.2667,0.0599,-70.2149,1414.9132,695
47.6,0.0582,-18.3683,1424.5676,700
47.9333,0.0601,25.2681,1435.0816,705
48.2667,0.0562,-81.6848,1445.0265,710
48.6,0.061,31.4796,1455.0055,715
48.9333,0.0774,-64.2621,1465.5294,720
49.2667,0.0524,21.5698,1475.2856,725
49.6,0.0588,86.4513,1485.2682,730
49.9333,0.0531,-13.2079,1495.2546,735
50.2667,0.0518,-1.8914,1505.1815,740
50.6,0.0649,108.8774,1515.8219,745
50.9333,0.052,123.7826,1525.7836,750
51.2667,0.0608,-28.6703,1536.2473,755
51.6,0.0587,-20.8745,1546.8986,760
51.9333,0.0571,25.9342,1556.6135,765
52.2667,0.0589,0.5875,1566.9664,770
52.6,0.0573,-11.4946,1577.5574,775
52.9333,0.0549,-19.6719,1588.2068,780
53.2667,0.0524,259.9235,1598.0699,785
53.6,0.0534,39.0987,1608.6563,790
53.9333,0.0549,109.2698,1618.3931,795
54.2667,0.0717,38.6111,1628.1104,800
54.6,0.0589,-178.3182,1638.1894,805
54.9333,0.0536,-161.5305,1648.1583,810
55.2667,0.05,-92.1349,1658.6051,815
55.6,0.0543,-118.8085,1669.343,820
55.9333,0.0516,-81.2041,1679.3232,825
56.2667,0.0509,-15.3401,1689.3967,830
56.6,0.0595,6.7634,1699.7524,835
56.9333,0.0544,-17.4214,1709.4831,840
57.2667,0.0517,120.2601,1719.2132,845
57.6,0.0616,61.191,1729.349,850
57.9333,0.056,156.5266,1740.0645,855
58.2667,0.0546,54.2657,1750.277,860
58.6,0.0558,94.7792,1760.166,865
58.9333,0.0516,12.2364,1770.0547,870
59.2667,0.0588,-13.9977,1780.1525,875
59.6,0.0517,94.1984,1789.799,880
59.9333,0.055,47.2872,1800.0078,885
60.2667,0.0471,114.0513,1809.9846,890
60.6,0.0591,297.3387,1820.4241,895
60.9333,0.0586,-106.7908,1830.481,900
61.2667,0.0535,15.3331,1840.8153,905
61.6,0.0588,-83.892,1851.4602,910
61.9333,0.0543,-103.4396,1861.8323,915
62.2667,0.0588,-0.8145,1871.8551,920
62.6,0.0698,50.743,1881.5068,925
62.9333,0.0532,-18.6292,1891.1926,930
63.2667,0.0593,51.0945,1901.6384,935
63.6,0.069,-100.0194,1911.8989,940
63.9333,0.0531,-0.6526,1921.6327,945
64.2667,0.0556,-205.9245,1931.2487,950
64.6,0.059,26.9555,1941.3951,955
64.9333,0.0534,109.7497,1951.9409,960
65.2667,0.0506,-26.188,1962.6574,965
65.6,0.0629,175.6361,1972.6614,970
65.9333,0.0642,61.5813,1982.3303,975
66.2667,0.0561,408.8527,1992.2734,980
66.6,0.0536,1.3349,2002.0899,985
66.9333,0.0554,-62.7619,2012.3891,990
67.2667,0.0548,-86.531,2022.9561,995
67.6,0.0504,79.1579,2032.7505,1000
67.9333,0.0598,85.1417,2042.6932,1005
68.2667,0.0565,-13.5916,2053.5857,1010
68.6,0.0513,62.0914,2063.2817,1015
68.9333,0.0494,-117.4908,2073.4738,1020
69.2667,0.0626,62.1022,2084.1319,1025
69.6,0.052,72.045,2094.0196,1030
69.9333,0.0584,39.5629,2104.2489,1035
70.2667,0.0506,393.6689,2114.2699,1040
70.6,0.0499,33.9718,2123.9812,1045
70.9333,0.052,90.777,2133.8938,1050
71.2667,0.0557,39.6016,2143.9148,1055
71.6,0.0531,288.5887,2153.8163,1060
71.9333,0.0506,108.0779,2163.943,1065
72.2667,0.0483,46.0011,2173.7704,1070
72.6,0.0526,159.0559,2183.4968,1075
72.9333,0.0554,357.9734,2193.9247,1080
73.2667,0.0525,92.9828,2203.7989,1085
73.6,0.0543,197.4619,2213.5863,1090
73.9333,0.0569,145.7166,2223.2612,1095
74.2667,0.0545,453.8639,2233.07,1100
74.6,0.052,116.1256,2242.9256,1105
74.9333,0.0501,-2.7436,2252.866,1110
75.2667,0.0608,274.8696,2262.5495,1115
75.6,0.0525,227.9523,2272.3583,1120
75.9333,0.0507,41.2789,2282.0726,1125
76.2667,0.0502,224.9697,2291.9455,1130
76.6,0.0527,95.5902,2302.2918,1135
76.9333,0.0464,153.6676,2312.0517,1140
77.2667,0.0575,102.3764,2322.2487,1145
77.6,0.0488,127.0609,2333.6354,1150
77.9333,0.0542,126.0832,2344.3971,1155
78.2667,0.0532,370.914,2354.0256,1160
78.6,0.0461,266.2599,2364.5732,1165
78.9333,0.0492,419.4467,2374.336,1170
79.2667,0.0497,203.129,2384.3044,1175
79.6,0.0493,98.994,2394.7217,1180
79.9333,0.044,68.3012,2405.4001,1185
80.2667,0.0528,270.277,2415.9135,1190
80.6,0.0503,203.0128,2426.5286,1195
80.9333,0.0562,125.2964,2436.3409,1200
81.2667,0.057,245.1461,2446.1665,1205
81.6,0.0485,127.2281,2456.4936,1210
81.9333,0.0602,292.5703,2466.5162,1215
82.2667,0.0486,214.5047,2476.3636,1220
82.6,0.0472,29.9137,2486.0739,1225
82.9333,0.0531,282.479,2495.7962,1230
83.2667,0.0458,221.8541,2506.7636,1235
83.6,0.0511,356.0163,2517.4138,1240
83.9333,0.05,310.159,2527.2044,1245
84.2667,0.0432,518.6486,2536.9848,1250
84.6,0.0514,80.3441,2547.0225,1255
84.9333,0.0464,66.5819,2557.8216,1260
85.2667,0.0476,253.2168,2568.3363,1265
85.6,0.0563,288.9916,2578.5141,1270
85.9333,0.0478,51.8475,2588.2552,1275
86.2667,0.0571,306.5139,2597.9843,1280
86.6,0.0507,546.3485,2607.9772,1285
86.9333,0.0609,474.6815,2618.0518,1290
87.2667,0.0505,129.6801,2627.7632,1295
87.6,0.0465,338.0179,2638.3525,1300
87.9333,0.0495,524.1498,2648.1424,1305
88.2667,0.0453,391.716,2658.0601,1310
88.6,0.0496,604.852,2668.4771,1315
88.9333,0.0484,379.9653,2678.3513,1320
89.2667,0.0431,686.23,2688.6932,1325
89.6,0.0478,333.0947,2698.3822,1330
89.9333,0.0436,671.1498,2708.2451,1335
90.2667,0.0483,512.3096,2718.529,1340
90.6,0.0545,398.9721,2728.2689,1345
90.9333,0.0537,263.1756,2737.9154,1350
91.2667,0.0451,293.3372,2748.3502,1355
91.6,0.0473,593.9128,2758.1422,1360
91.9333,0.044,710.7872,2769.2043,1365
92.2667,0.0467,610.8521,2779.3142,1370
92.6,0.0456,744.2697,2789.6564,1375
92.9333,0.0478,520.9189,2799.9008,1380
93.2667,0.0453,301.8558,2810.5429,1385
93.6,0.0472,272.9554,2820.2418,1390
93.9333,0.0428,643.7882,2830.2831,1395
94.2667,0.0455,359.4348,2840.6027,1400
94.6,0.0591,807.1022,2850.2812,1405
94.9333,0.0522,500.8234,2860.5304,1410
95.2667,0.0477,449.5014,2870.1763,1415
95.6,0.0471,519.8528,2880.8058,1420
95.9333,0.0501,644.0359,2890.8842,1425
96.2667,0.0491,729.4836,2900.6637,1430
96.6,0.0459,279.2306,2910.4687,1435
96.9333,0.0519,490.0895,2920.2195,1440
97.2667,0.042,177.1285,2929.9229,1445
97.6,0.0463,260.86,2939.8742,1450
97.9333,0.0457,404.4958,2949.6491,1455
98.2667,0.0464,637.1798,2959.5123,1460
98.6,0.0522,523.7853,2970.0077,1465
98.9333,0.0453,371.2861,2980.8684,1470
99.2667,0.049,341.9705,2990.6576,1475
99.6,0.0481,241.0491,3000.5128,1480
99.9333,0.0481,369.4081,3011.0699,1485
100.2667,0.0546,245.5316,3021.6112,1490
100.6,0.0506,316.6685,3031.6942,1495
100.9333,0.0481,418.1322,3042.3397,1500
