epochs,loss,rewards,time,steps
1.2667,0.9839,-100.5817,9.6043,5
1.6,0.9657,-100.934,19.2656,10
1.9333,0.9638,-100.1677,29.7963,15
2.2667,0.9676,-99.4386,39.5959,20
2.6,0.9599,-97.3719,49.4579,25
2.9333,0.9344,-99.9182,59.5749,30
3.2667,0.9175,-94.3626,69.8846,35
3.6,0.9127,-92.211,80.5039,40
3.9333,0.903,-88.8819,90.354,45
4.2667,0.8697,-88.6695,100.9682,50
4.6,0.8446,-84.8994,111.691,55
4.9333,0.82,-83.6775,122.6679,60
5.2667,0.7899,-79.6974,132.3319,65
5.6,0.7644,-74.4897,142.1003,70
5.9333,0.7237,-72.9256,152.0955,75
6.2667,0.6867,-67.8491,163.1516,80
6.6,0.6576,-65.1603,173.0308,85
6.9333,0.6103,-59.7179,182.6856,90
7.2667,0.583,-56.7613,192.3743,95
7.6,0.5274,-50.135,203.4093,100
7.9333,0.5,-47.0456,213.1768,105
8.2667,0.4516,-42.6413,223.2723,110
8.6,0.4255,-37.4135,233.4427,115
8.9333,0.3753,-34.7223,243.4288,120
9.2667,0.3227,-34.6875,254.8531,125
9.6,0.2868,-34.6244,265.5812,130
9.9333,0.2689,-37.7109,275.4741,135
10.2667,0.2416,-42.1821,285.6544,140
10.6,0.2071,-44.7414,295.3493,145
10.9333,0.171,-47.181,305.6462,150
11.2667,0.1794,-51.9796,315.5274,155
11.6,0.151,-50.2424,326.3727,160
11.9333,0.1356,-46.1656,337.0303,165
12.2667,0.1382,-43.5918,346.7344,170
12.6,0.1242,-35.9267,357.2965,175
12.9333,0.1163,-32.9683,368.0326,180
13.2667,0.1201,-36.0166,378.6171,185
13.6,0.1124,-36.4609,389.9322,190
13.9333,0.11,-48.6603,399.8414,195
14.2667,0.118,-57.6306,410.3946,200
14.6,0.108,-66.7781,420.3993,205
14.9333,0.0936,-73.7419,430.2401,210
15.2667,0.093,-76.6252,440.2861,215
15.6,0.0959,-73.6558,450.1564,220
15.9333,0.0983,-84.7525,460.6791,225
16.2667,0.0897,-90.2328,472.0876,230
16.6,0.0979,-91.6496,482.6088,235
16.9333,0.0857,-111.9007,492.4782,240
17.2667,0.0978,-114.7588,503.7875,245
17.6,0.0974,-130.7994,514.6354,250
17.9333,0.0878,-128.8806,525.0801,255
18.2667,0.099,-137.6364,535.5492,260
18.6,0.0961,-155.5733,545.5243,265
18.9333,0.0946,-103.0024,555.3752,270
19.2667,0.0881,-126.0838,565.5233,275
19.6,0.0795,-180.9749,575.8599,280
19.9333,0.0826,-189.6848,585.6108,285
20.2667,0.082,-181.9139,595.3644,290
20.6,0.1068,-169.3794,606.037,295
20.9333,0.0693,-192.2088,616.7547,300
21.2667,0.0741,-213.2012,626.4938,305
21.6,0.0747,-171.3727,636.3947,310
21.9333,0.0785,-133.7947,646.5562,315
22.2667,0.0675,-224.1629,656.3171,320
22.6,0.0854,-26.6266,666.3083,325
22.9333,0.0746,-207.9231,676.1393,330
23.2667,0.0721,-141.9384,687.102,335
23.6,0.0665,-127.7601,697.2459,340
23.9333,0.084,-243.4646,707.0208,345
24.2667,0.0666,77.0844,717.3016,350
24.6,0.0708,-240.1979,727.3879,355
24.9333,0.0758,-138.8748,737.1026,360
25.2667,0.0681,-291.6908,747.8193,365
25.6,0.0729,-131.2469,757.5332,370
25.9333,0.0884,-199.0327,767.5662,375
26.2667,0.062,-35.6444,777.4957,380
26.6,0.0709,-131.1199,787.5798,385
26.9333,0.0708,144.0583,797.3885,390
27.2667,0.0742,171.0077,808.532,395
27.6,0.0694,-244.2361,819.5641,400
27.9333,0.063,-346.4498,829.2882,405
28.2667,0.0646,-141.3383,839.4852,410
28.6,0.0674,158.5144,849.8554,415
28.9333,0.0659,180.1979,859.6318,420
29.2667,0.065,-69.9388,870.966,425
29.6,0.0597,-300.6413,880.7935,430
29.9333,0.0631,314.7186,890.5213,435
30.2667,0.0615,-26.1195,900.6329,440
30.6,0.0635,198.9038,912.1154,445
30.9333,0.0598,71.322,921.7672,450
31.2667,0.064,205.602,931.7757,455
31.6,0.0551,-160.7558,941.4677,460
31.9333,0.0733,149.4961,951.2825,465
32.2667,0.0635,148.7337,960.9966,470
32.6,0.0626,-170.7004,972.2325,475
32.9333,0.0671,203.8468,982.0158,480
33.2667,0.0579,-2.7256,992.3214,485
33.6,0.0554,172.6517,1003.7067,490
33.9333,0.0572,243.761,1014.9737,495
34.2667,0.0558,488.3531,1024.8876,500
34.6,0.0617,-39.9816,1034.8074,505
34.9333,0.059,186.0685,1046.9442,510
35.2667,0.0584,261.0754,1056.9629,515
35.6,0.0579,506.0621,1067.0571,520
35.9333,0.0556,557.8533,1077.1198,525
36.2667,0.0621,155.3158,1087.0318,530
36.6,0.0552,125.5345,1097.0347,535
36.9333,0.0536,112.653,1106.9314,540
37.2667,0.0532,334.6707,1117.0494,545
37.6,0.065,484.8654,1127.2934,550
37.9333,0.0616,265.6819,1137.5431,555
38.2667,0.063,166.9315,1147.2183,560
38.6,0.0553,235.3698,1157.2914,565
38.9333,0.0582,496.1778,1168.1715,570
39.2667,0.059,114.2263,1177.8955,575
39.6,0.0534,160.534,1187.624,580
39.9333,0.0682,297.2419,1197.4929,585
40.2667,0.059,117.3615,1207.3637,590
40.6,0.0715,420.2434,1217.5361,595
40.9333,0.0518,565.9185,1227.3767,600
41.2667,0.0626,115.2388,1237.334,605
41.6,0.0536,572.587,1247.0841,610
41.9333,0.0593,411.2983,1257.2829,615
42.2667,0.0518,279.4426,1268.0751,620
42.6,0.0604,423.9434,1278.098,625
42.9333,0.0586,289.8438,1289.106,630
43.2667,0.0548,281.8623,1298.9847,635
43.6,0.0505,292.8502,1308.6582,640
43.9333,0.0548,575.3995,1320.1056,645
44.2667,0.0521,506.007,1330.964,650
44.6,0.062,45.1307,1342.1693,655
44.9333,0.0512,170.1269,1352.686,660
45.2667,0.0557,580.6517,1363.2851,665
45.6,0.0631,515.1261,1372.9463,670
45.9333,0.0623,252.3183,1383.6686,675
46.2667,0.0588,899.8596,1394.2582,680
46.6,0.0541,527.6989,1405.0023,685
46.9333,0.0526,122.148,1414.705,690
47.2667,0.0573,736.6947,1425.1126,695
47.6,0.0592,850.3488,1434.945,700
47.9333,0.0504,457.4264,1444.5893,705
