epochs,loss,rewards,time,steps
1.2667,0.0391,2929.7356,9.7439,5
1.6,0.0366,2214.4224,19.4201,10
1.9333,0.0377,2515.6143,29.1147,15
2.2667,0.0394,1787.1707,38.7736,20
2.6,0.0409,3265.5786,48.5038,25
2.9333,0.0382,1915.625,58.7239,30
3.2667,0.043,2620.1255,68.5508,35
3.6,0.0346,3152.6528,78.3235,40
3.9333,0.0374,2490.6294,88.1338,45
4.2667,0.0396,2849.4741,97.7908,50
4.6,0.0382,2121.939,107.5722,55
4.9333,0.041,2673.5269,117.3614,60
5.2667,0.0352,1791.6803,127.1335,65
5.6,0.0374,3117.0845,136.8498,70
5.9333,0.0333,3427.9519,146.5375,75
6.2667,0.039,1735.4127,156.2621,80
6.6,0.0404,2102.4253,166.1595,85
6.9333,0.0368,1878.4281,175.9047,90
7.2667,0.0374,3283.5337,185.7134,95
7.6,0.0375,2552.5879,195.3499,100
7.9333,0.0367,3536.9531,205.0658,105
8.2667,0.0374,3937.5923,214.8514,110
8.6,0.0415,2786.7461,225.3431,115
8.9333,0.0399,3089.7981,235.1467,120
9.2667,0.0388,4086.604,244.8535,125
9.6,0.0368,2016.1064,254.5573,130
9.9333,0.0489,2994.2319,264.273,135
10.2667,0.0384,1900.9174,274.0386,140
10.6,0.0367,1862.6201,283.8234,145
10.9333,0.0368,2222.856,293.6277,150
11.2667,0.0418,3258.4341,303.3409,155
11.6,0.0388,2115.0002,313.0442,160
11.9333,0.0358,2575.8691,322.7717,165
12.2667,0.0368,2460.2351,332.5931,170
12.6,0.0351,2313.1938,342.2861,175
12.9333,0.0395,1307.8514,352.2261,180
13.2667,0.037,3291.2957,362.173,185
13.6,0.0381,3311.9878,371.9042,190
13.9333,0.0376,2354.563,381.5852,195
14.2667,0.035,2278.4565,391.3105,200
14.6,0.0442,2792.0034,400.9653,205
14.9333,0.0339,3258.458,410.7331,210
15.2667,0.0375,1801.6829,420.6994,215
15.6,0.042,4195.0391,430.381,220
15.9333,0.0393,3675.4316,440.1468,225
16.2667,0.046,3635.0249,449.999,230
16.6,0.0431,1946.1692,459.7318,235
16.9333,0.0345,3411.1367,469.4285,240
17.2667,0.0367,2139.9878,479.2052,245
17.6,0.0342,1928.489,489.0278,250
17.9333,0.0398,2535.4338,498.776,255
18.2667,0.0442,2490.5388,508.4714,260
18.6,0.0369,2182.8352,518.2116,265
18.9333,0.0407,2700.8447,528.006,270
19.2667,0.0394,2961.6797,537.7532,275
19.6,0.0411,4826.2632,547.4204,280
19.9333,0.051,3975.957,557.2754,285
20.2667,0.0384,3227.9065,566.9686,290
20.6,0.0446,4664.0571,576.6058,295
20.9333,0.042,2104.1689,586.4139,300
21.2667,0.0372,2370.0166,596.1022,305
21.6,0.0378,2753.345,606.3145,310
21.9333,0.0365,2939.7666,617.877,315
22.2667,0.0368,2827.1511,628.43,320
22.6,0.0359,3390.7493,638.5974,325
22.9333,0.0375,4362.9463,648.4217,330
23.2667,0.0369,3880.0508,658.1882,335
23.6,0.0459,3115.3589,667.9983,340
23.9333,0.0395,2633.7295,678.0245,345
24.2667,0.0366,4719.417,687.8593,350
24.6,0.0379,2629.9434,697.6022,355
24.9333,0.0375,816.2795,707.3642,360
25.2667,0.0385,4005.7036,717.0077,365
25.6,0.0366,2579.1238,726.7627,370
25.9333,0.034,3270.8845,736.545,375
26.2667,0.0371,3383.9844,746.3255,380
26.6,0.0354,2476.7939,756.0766,385
26.9333,0.0374,3922.7046,765.7345,390
27.2667,0.0419,2773.5168,775.5091,395
27.6,0.0359,4222.3179,785.2671,400
27.9333,0.0379,3029.2417,795.0416,405
28.2667,0.0386,4272.5806,804.8094,410
28.6,0.0371,3764.5046,814.4416,415
28.9333,0.0363,3118.5195,824.1985,420
29.2667,0.0372,2347.1665,833.964,425
29.6,0.0328,2248.3706,843.696,430
29.9333,0.0346,2481.249,853.392,435
30.2667,0.0379,2603.04,863.1308,440
30.6,0.0416,3461.7532,872.9164,445
30.9333,0.0339,2999.5676,882.7278,450
31.2667,0.0384,2337.4265,892.5108,455
31.6,0.0389,3371.6965,902.2379,460
31.9333,0.0402,5342.2061,911.9631,465
32.2667,0.0383,3163.2297,921.7122,470
32.6,0.0382,3481.4167,931.4842,475
32.9333,0.0497,3086.9402,941.2288,480
33.2667,0.0395,1426.1471,951.043,485
33.6,0.0439,4068.8059,960.7509,490
33.9333,0.037,2683.3911,970.502,495
34.2667,0.0351,5600.2363,980.3807,500
34.6,0.033,2106.8494,990.1491,505
34.9333,0.036,3198.532,999.9477,510
35.2667,0.0421,3230.2104,1009.6947,515
35.6,0.034,4360.6479,1019.4015,520
35.9333,0.0366,3199.1265,1029.1269,525
36.2667,0.0354,1227.8293,1038.7934,530
36.6,0.0462,2559.2817,1048.4484,535
36.9333,0.0394,4538.9517,1058.2526,540
37.2667,0.037,3956.9688,1068.0473,545
37.6,0.0373,3553.9192,1077.7421,550
37.9333,0.0408,2516.6729,1087.4688,555
38.2667,0.0367,3461.5457,1097.184,560
38.6,0.0386,3592.2231,1106.9078,565
