loss,rewards,time,steps,epochs
0.7625,-191.9602,10.6333,5,1.2667
0.757,-203.3678,20.4644,10,1.6
0.745,-196.0632,30.8272,15,1.9333
0.7476,-202.5946,41.1913,20,2.2667
0.7159,-201.7889,51.6092,25,2.6
0.707,-199.4559,61.8681,30,2.9333
0.6773,-207.4573,71.9785,35,3.2667
0.6507,-197.2836,82.1001,40,3.6
0.6209,-199.9398,92.1445,45,3.9333
0.5941,-197.8342,102.0877,50,4.2667
0.5589,-206.1035,112.2262,55,4.6
0.5191,-208.7579,122.0954,60,4.9333
0.4829,-206.2339,132.817,65,5.2667
0.4499,-207.5621,142.5922,70,5.6
0.4098,-223.3288,152.2828,75,5.9333
0.3806,-226.8767,162.2468,80,6.2667
0.351,-219.1059,172.5001,85,6.6
0.3323,-231.3272,182.4316,90,6.9333
0.2966,-216.1643,192.5446,95,7.2667
0.2511,-220.3469,202.8149,100,7.6
0.2291,-218.373,212.9152,105,7.9333
0.1808,-194.8992,222.6529,110,8.2667
0.1915,-183.5197,232.3707,115,8.6
0.1568,-159.9586,242.2325,120,8.9333
0.1629,-134.7046,252.1132,125,9.2667
0.1457,-103.2691,262.1181,130,9.6
0.1254,-101.0122,272.1179,135,9.9333
0.1232,-98.0734,282.2152,140,10.2667
0.1281,-94.2053,291.9734,145,10.6
0.1135,-95.2227,302.1417,150,10.9333
0.1115,-90.1854,312.1731,155,11.2667
0.1077,-101.4608,322.4858,160,11.6
0.1072,-91.8425,332.6922,165,11.9333
0.098,-89.5405,344.11,170,12.2667
0.101,-95.3016,355.8177,175,12.6
0.1076,-92.4766,365.9591,180,12.9333
0.0918,-93.7482,376.2128,185,13.2667
0.0891,-94.9107,386.6299,190,13.6
0.0926,-101.2359,396.9008,195,13.9333
0.1022,-103.324,407.0527,200,14.2667
0.0777,-104.1554,416.9081,205,14.6
0.0912,-99.9658,427.2525,210,14.9333
0.0737,-102.5682,437.1077,215,15.2667
0.086,-92.7959,447.1929,220,15.6
0.0788,-105.2386,458.3713,225,15.9333
0.0753,-99.1788,469.283,230,16.2667
0.0913,-111.2682,479.154,235,16.6
0.0771,-91.755,489.1466,240,16.9333
0.0808,-92.2859,498.9614,245,17.2667
0.0798,-106.1319,509.2042,250,17.6
0.077,-105.0548,519.132,255,17.9333
0.0713,-98.6164,529.3345,260,18.2667
0.0783,-94.5476,539.7853,265,18.6
0.0735,-104.7083,549.8819,270,18.9333
0.0695,-94.302,559.9002,275,19.2667
0.0701,-109.7159,569.8458,280,19.6
0.0667,-112.3301,579.7434,285,19.9333
0.0789,-103.9041,589.6183,290,20.2667
0.0702,-118.5459,599.6041,295,20.6
0.0608,-103.0717,609.5899,300,20.9333
0.0853,-115.379,619.3227,305,21.2667
0.0687,-101.94,629.6199,310,21.6
0.0602,-105.499,639.6122,315,21.9333
0.0749,-61.1578,649.7394,320,22.2667
0.0623,-102.0899,659.7588,325,22.6
0.0606,-126.4968,670.4622,330,22.9333
0.0717,-84.1556,680.5465,335,23.2667
0.0657,-32.8692,691.0771,340,23.6
0.0789,-104.4619,701.0626,345,23.9333
0.0631,-62.3636,711.038,350,24.2667
0.0678,-69.5595,721.0121,355,24.6
0.0549,-42.4679,731.3771,360,24.9333
0.058,-111.7365,741.4888,365,25.2667
0.0737,-23.5637,751.9597,370,25.6
0.0656,-53.6954,761.8143,375,25.9333
0.0687,26.2338,771.6157,380,26.2667
0.0682,-58.0541,781.9476,385,26.6
