epochs,steps,loss,rewards,time
1.2667,5,0.9685,-102.5516,10.2128
1.6,10,0.9824,-102.8796,21.4307
1.9333,15,0.9561,-99.697,32.2335
2.2667,20,0.9441,-96.4836,43.002
2.6,25,0.9289,-91.8632,53.019
2.9333,30,0.8866,-90.3998,63.9535
3.2667,35,0.8543,-87.433,74.2449
3.6,40,0.8103,-82.0726,84.7306
3.9333,45,0.7699,-80.1967,94.6295
4.2667,50,0.715,-71.4848,104.5784
4.6,55,0.6837,-64.8852,114.4217
4.9333,60,0.6269,-60.7942,125.0609
5.2667,65,0.5741,-52.8557,135.0874
5.6,70,0.4978,-47.1479,145.372
5.9333,75,0.4488,-39.1863,155.8758
6.2667,80,0.405,-36.6939,165.9761
6.6,85,0.3302,-37.0779,175.9111
6.9333,90,0.2788,-45.3705,185.8851
7.2667,95,0.2337,-51.1911,195.7484
7.6,100,0.2128,-57.1094,206.0205
7.9333,105,0.1715,-60.7708,216.8929
8.2667,110,0.165,-57.687,226.8173
8.6,115,0.1607,-53.0378,236.8101
8.9333,120,0.133,-49.0577,247.4189
9.2667,125,0.1377,-43.8281,257.2072
9.6,130,0.1139,-44.9343,267.3104
9.9333,135,0.1199,-45.4768,277.6069
10.2667,140,0.1112,-49.3914,287.8656
10.6,145,0.1135,-63.7803,298.7702
10.9333,150,0.1022,-74.3102,309.5576
11.2667,155,0.0966,-87.6322,320.2303
11.6,160,0.0902,-94.607,330.3109
11.9333,165,0.0918,-88.6249,340.2853
12.2667,170,0.0893,-69.1163,350.1415
12.6,175,0.0775,-98.6327,360.0387
12.9333,180,0.0836,-105.1951,370.1947
13.2667,185,0.0912,-107.2347,380.2448
13.6,190,0.0951,-105.4354,390.3025
13.9333,195,0.0738,-106.9149,400.2876
14.2667,200,0.0747,-114.6327,411.4156
14.6,205,0.0917,-113.5957,422.4127
14.9333,210,0.0814,-47.4234,432.8881
15.2667,215,0.0729,-119.1637,443.808
15.6,220,0.077,-93.8675,454.1707
15.9333,225,0.0724,-101.3485,464.6147
16.2667,230,0.0717,-88.1204,474.6715
16.6,235,0.0778,-114.4566,484.591
16.9333,240,0.077,-84.6561,494.4825
17.2667,245,0.0756,-133.1302,504.8066
17.6,250,0.0701,-89.5431,515.3742
17.9333,255,0.0706,-79.497,525.2635
18.2667,260,0.0731,-130.6857,535.1972
18.6,265,0.0699,-61.203,545.4153
18.9333,270,0.0723,58.8619,555.4296
19.2667,275,0.0616,-166.7135,565.4733
19.6,280,0.0649,40.3793,575.4023
19.9333,285,0.0672,124.9444,586.2922
20.2667,290,0.0619,20.2071,596.5286
20.6,295,0.0639,-19.1435,607.06
20.9333,300,0.0609,164.9528,618.3967
21.2667,305,0.0599,-133.7075,628.3598
21.6,310,0.0641,177.9859,638.9444
21.9333,315,0.0727,-111.2419,650.6211
22.2667,320,0.0586,157.7194,662.1607
22.6,325,0.0748,-73.733,672.4282
22.9333,330,0.0568,134.2001,683.2569
23.2667,335,0.0565,-147.5773,693.8561
23.6,340,0.0596,9.803,704.2791
23.9333,345,0.0602,-37.6629,714.6443
24.2667,350,0.057,252.2776,725.1
24.6,355,0.0712,44.1378,736.6248
24.9333,360,0.0643,37.751,747.2952
25.2667,365,0.0551,327.3123,757.6703
25.6,370,0.0611,94.8506,769.0418
25.9333,375,0.0557,-3.3075,779.2795
26.2667,380,0.056,-36.2164,789.6867
26.6,385,0.054,-7.5849,800.0135
26.9333,390,0.0487,230.5276,810.4941
27.2667,395,0.0572,436.7261,821.0452
27.6,400,0.0551,92.5305,831.5844
27.9333,405,0.061,222.6578,842.3082
28.2667,410,0.0525,72.1436,852.4483
28.6,415,0.061,498.0102,863.2375
28.9333,420,0.0485,365.8469,873.6388
29.2667,425,0.0549,139.5256,885.1426
29.6,430,0.0466,450.5475,897.0533
29.9333,435,0.055,413.2493,908.7341
30.2667,440,0.051,734.1671,919.7239
30.6,445,0.0515,340.5396,931.3388
30.9333,450,0.0538,156.6529,942.213
31.2667,455,0.0524,426.2408,952.3994
31.6,460,0.0627,324.4142,962.6947
31.9333,465,0.0619,472.765,972.6684
