time,epochs,loss,steps,rewards
11.3954,1.2667,0.6439,5,-25.1024
23.0402,1.6,0.6458,10,-26.1828
33.2516,1.9333,0.6379,15,-23.4087
43.2743,2.2667,0.6346,20,-25.0143
53.776,2.6,0.6233,25,-25.4964
63.8926,2.9333,0.6135,30,-23.5567
73.9215,3.2667,0.5971,35,-23.4509
84.4423,3.6,0.5768,40,-22.9804
94.1952,3.9333,0.5706,45,-23.2824
104.8584,4.2667,0.5519,50,-22.4219
114.9453,4.6,0.5383,55,-21.3836
124.8108,4.9333,0.5064,60,-19.8067
134.9756,5.2667,0.491,65,-21.6386
146.1118,5.6,0.4545,70,-22.2543
157.138,5.9333,0.4461,75,-24.0398
167.5064,6.2667,0.4159,80,-22.8853
177.2748,6.6,0.3829,85,-25.9599
188.1043,6.9333,0.3515,90,-27.9741
198.3825,7.2667,0.331,95,-28.9438
209.5118,7.6,0.3098,100,-32.3926
219.2958,7.9333,0.2618,105,-34.3753
229.028,8.2667,0.2515,110,-38.3734
238.8997,8.6,0.2217,115,-40.3834
248.6329,8.9333,0.2008,120,-42.4263
258.4552,9.2667,0.1873,125,-45.0423
268.5631,9.6,0.1694,130,-45.748
279.2814,9.9333,0.1681,135,-49.474
289.4098,10.2667,0.1431,140,-51.3432
299.2025,10.6,0.1385,145,-52.4686
309.0381,10.9333,0.1258,150,-57.2896
319.2321,11.2667,0.1277,155,-61.3198
329.0108,11.6,0.1056,160,-63.371
339.2488,11.9333,0.1124,165,-70.4447
349.6945,12.2667,0.0997,170,-76.4854
359.8652,12.6,0.1,175,-80.155
369.9467,12.9333,0.0981,180,-89.264
380.3995,13.2667,0.1026,185,-89.6107
390.8499,13.6,0.0932,190,-96.6574
400.61,13.9333,0.1043,195,-102.5479
411.5127,14.2667,0.1072,200,-103.7918
421.3778,14.6,0.0916,205,-105.7247
431.0726,14.9333,0.0877,210,-107.2998
440.8155,15.2667,0.0936,215,-109.3274
450.6062,15.6,0.0829,220,-100.8032
460.6506,15.9333,0.0889,225,-105.2411
470.4629,16.2667,0.0841,230,-109.2959
480.1416,16.6,0.0896,235,-114.9598
490.5454,16.9333,0.0942,240,-118.0209
500.4159,17.2667,0.0801,245,-118.4802
510.748,17.6,0.0828,250,-121.5397
520.409,17.9333,0.0799,255,-113.4778
530.9058,18.2667,0.0784,260,-111.9347
540.6879,18.6,0.0686,265,-115.1233
551.0435,18.9333,0.0728,270,-120.269
561.054,19.2667,0.0776,275,-121.3474
570.8374,19.6,0.0642,280,-135.7122
580.6691,19.9333,0.0741,285,-134.4454
590.5127,20.2667,0.0753,290,-129.3378
600.2432,20.6,0.0714,295,-131.8071
610.0326,20.9333,0.0667,300,-42.087
619.7585,21.2667,0.064,305,-83.9596
629.8225,21.6,0.0642,310,-117.3565
640.0102,21.9333,0.0589,315,-138.9978
649.7602,22.2667,0.0614,320,-149.0586
659.7211,22.6,0.0716,325,-103.0614
669.4759,22.9333,0.0661,330,-93.3371
679.4676,23.2667,0.0626,335,-79.6846
689.6793,23.6,0.0696,340,-72.4297
699.4625,23.9333,0.0632,345,-55.6382
709.2716,24.2667,0.064,350,-22.696
719.2843,24.6,0.0651,355,-87.5229
729.4634,24.9333,0.0614,360,54.6749
739.291,25.2667,0.0634,365,-137.4407
749.3561,25.6,0.0607,370,-36.9427
759.4532,25.9333,0.0577,375,-83.318
769.3337,26.2667,0.056,380,16.9577
780.3787,26.6,0.0608,385,178.9814
791.1642,26.9333,0.0544,390,3.0585
800.8836,27.2667,0.0655,395,99.5117
811.0073,27.6,0.0561,400,92.0618
821.045,27.9333,0.0549,405,1.006
830.9186,28.2667,0.0545,410,318.597
840.7598,28.6,0.063,415,182.0164
851.1412,28.9333,0.0538,420,201.5408
861.2907,29.2667,0.0511,425,110.2074
871.458,29.6,0.0539,430,116.7023
881.2287,29.9333,0.0557,435,283.8297
891.0617,30.2667,0.053,440,79.0813
900.7471,30.6,0.0573,445,203.3995
910.8736,30.9333,0.052,450,258.8614
921.1677,31.2667,0.0498,455,479.3228
930.9692,31.6,0.0672,460,212.511
940.7213,31.9333,0.0605,465,321.6735
951.2934,32.2667,0.0473,470,174.8523
961.1208,32.6,0.0541,475,60.0921
971.2933,32.9333,0.0515,480,403.7849
981.2769,33.2667,0.0685,485,128.1359
992.233,33.6,0.0526,490,209.1592
1002.94,33.9333,0.0514,495,456.7857
1014.2501,34.2667,0.0504,500,338.1039
1026.6158,34.6,0.0557,505,48.0409
1037.455,34.9333,0.0526,510,237.6503
1050.7579,35.2667,0.0512,515,637.6642
1065.3125,35.6,0.0503,520,279.5148
1079.8142,35.9333,0.0614,525,359.4892
1094.1083,36.2667,0.0491,530,232.3163
1107.7517,36.6,0.0531,535,276.2614
1119.0372,36.9333,0.0553,540,292.6319
1130.6499,37.2667,0.0467,545,229.1991
1142.0106,37.6,0.0553,550,278.202
1153.7793,37.9333,0.0666,555,309.8153
1164.9595,38.2667,0.0519,560,561.7231
1181.0032,38.6,0.0551,565,486.9981
1200.4066,38.9333,0.0488,570,276.1431
1215.4594,39.2667,0.0471,575,738.0509
1229.6372,39.6,0.0449,580,472.4562
1243.4957,39.9333,0.0503,585,201.94
1258.6654,40.2667,0.0514,590,441.3114
1273.2634,40.6,0.0558,595,471.2122
1288.1732,40.9333,0.0451,600,321.1594
1304.8388,41.2667,0.0556,605,525.5972
1318.3029,41.6,0.0427,610,357.6463
1333.3737,41.9333,0.0588,615,656.3895
1347.8621,42.2667,0.0523,620,264.8856
1361.9862,42.6,0.049,625,605.6265
1375.426,42.9333,0.0462,630,449.2261
