loss,steps,rewards,time,epochs
0.6538,5,214.2321,2.7665,1.25
0.6823,10,218.1068,5.4935,1.5625
0.673,15,202.8443,8.1992,1.875
0.6856,20,209.3291,10.8374,2.1875
0.6994,25,206.8627,13.6135,2.5
0.6734,30,213.2953,16.4312,2.8125
0.6528,35,212.7901,19.2305,3.125
0.6138,40,198.4658,21.921,3.4375
0.6607,45,214.7822,24.7083,3.75
0.6412,50,212.6797,27.508,4.0625
0.7201,55,207.9426,30.2884,4.375
0.638,60,215.5871,32.9615,4.6875
0.6848,65,208.3198,35.794,5.0
0.6271,70,220.2162,38.5697,5.3125
0.657,75,215.2132,41.3063,5.625
0.5951,80,214.5562,44.0468,5.9375
0.6213,85,216.548,46.8918,6.25
0.6137,90,219.2191,49.6152,6.5625
0.6059,95,201.2295,52.2916,6.875
0.5982,100,223.7205,55.0618,7.1875
0.5751,105,220.7994,57.7598,7.5
0.6034,110,216.5976,60.5031,7.8125
0.5242,115,239.6952,63.3262,8.125
0.5676,120,223.4324,66.0905,8.4375
0.5869,125,225.9436,68.7413,8.75
0.5497,130,221.9634,71.4168,9.0625
0.531,135,235.1435,74.1701,9.375
0.5016,140,238.058,76.9233,9.6875
0.4682,145,231.1175,79.789,10.0
0.5304,150,235.2594,82.5735,10.3125
0.4717,155,230.8676,85.341,10.625
0.4916,160,227.8271,88.3499,10.9375
0.4135,165,243.7618,91.3399,11.25
0.4585,170,250.0135,94.4761,11.5625
0.4244,175,241.044,97.3448,11.875
0.4238,180,279.7038,100.8241,12.1875
0.4089,185,259.1875,104.1621,12.5
0.4193,190,240.4096,107.3981,12.8125
0.3952,195,253.6415,110.2628,13.125
0.3841,200,278.6169,113.2193,13.4375
0.3899,205,253.2015,116.2437,13.75
0.3383,210,256.4506,119.1221,14.0625
0.3581,215,262.79,122.2435,14.375
0.3631,220,261.5757,125.433,14.6875
0.341,225,272.4344,128.2889,15.0
0.3396,230,293.7548,131.252,15.3125
0.3077,235,295.1204,134.2321,15.625
0.3093,240,287.0273,137.1744,15.9375
0.3176,245,332.1063,140.1968,16.25
0.3034,250,330.9956,143.9182,16.5625
0.2964,255,354.0331,147.2098,16.875
0.2997,260,346.8741,150.8344,17.1875
0.2975,265,382.5696,154.2549,17.5
0.2782,270,369.2731,157.4412,17.8125
0.2628,275,349.7261,160.5238,18.125
0.2842,280,385.2303,163.9091,18.4375
0.267,285,410.1597,167.2653,18.75
0.2686,290,415.7431,170.5817,19.0625
0.2705,295,549.8685,174.5427,19.375
0.2687,300,614.4616,178.3821,19.6875
0.2592,305,668.7376,182.3911,20.0
0.2593,310,609.103,186.0685,20.3125
0.2457,315,588.0529,189.6454,20.625
0.2745,320,706.679,193.6464,20.9375
0.2601,325,568.1415,197.3234,21.25
0.2672,330,442.456,200.4698,21.5625
0.2715,335,582.806,203.9979,21.875
0.2671,340,651.4257,207.817,22.1875
0.2482,345,569.9089,211.7617,22.5
0.2578,350,631.574,215.6532,22.8125
0.248,355,452.8508,219.0998,23.125
0.2538,360,444.927,223.0445,23.4375
0.2282,365,539.8478,227.2625,23.75
0.258,370,408.5275,230.5324,24.0625
0.256,375,527.3844,234.403,24.375
