loss,steps,rewards,time,epochs
0.1002,5,1839.8669,6.1474,1.25
0.0878,10,1929.2933,12.7388,1.5625
0.0856,15,1467.2253,17.8668,1.875
0.0846,20,1873.4543,24.1065,2.1875
0.0863,25,1296.1008,28.7024,2.5
0.0816,30,1653.2708,34.1003,2.8125
0.0897,35,1183.5883,38.6996,3.125
0.0916,40,1529.837,43.9158,3.4375
0.0923,45,1298.3613,48.7068,3.75
0.0867,50,1509.5171,54.2519,4.0625
0.0909,55,1086.3558,58.5284,4.375
0.0814,60,1634.5754,63.9702,4.6875
0.0821,65,1080.2743,68.2679,5.0
0.0783,70,1729.1705,73.8804,5.3125
0.0953,75,1556.7576,79.1812,5.625
0.087,80,1239.1584,83.7353,5.9375
0.0873,85,1217.2008,88.1754,6.25
0.0857,90,1228.7411,93.5993,6.5625
0.0868,95,1185.7271,98.0638,6.875
0.0869,100,1239.4562,103.0705,7.1875
0.0939,105,1171.7002,107.8252,7.5
0.0943,110,1364.8314,113.0248,7.8125
0.0878,115,1246.6227,117.6432,8.125
0.0976,120,1083.1429,121.8609,8.4375
0.0868,125,1197.696,126.5726,8.75
0.0903,130,1164.6013,131.0439,9.0625
0.094,135,1533.8563,136.4251,9.375
0.096,140,1047.3151,140.6457,9.6875
0.0876,145,1006.3644,145.0881,10.0
0.0813,150,1180.4382,149.75,10.3125
0.0775,155,1037.2456,154.015,10.625
0.0916,160,853.402,158.0477,10.9375
0.0985,165,1189.0511,162.4575,11.25
0.0816,170,1089.041,167.139,11.5625
0.09,175,1103.2162,171.5167,11.875
0.0933,180,1188.3441,176.3905,12.1875
0.0892,185,1093.1296,180.8467,12.5
0.0856,190,1137.3582,185.521,12.8125
0.0823,195,1154.3562,190.5343,13.125
0.0895,200,1096.249,194.8294,13.4375
0.094,205,1751.8704,201.0367,13.75
0.0886,210,1589.3752,206.9673,14.0625
0.0797,215,1443.476,212.2839,14.375
0.0809,220,1529.9736,217.9031,14.6875
0.094,225,1113.8129,222.3425,15.0
0.0948,230,1129.5771,226.9582,15.3125
0.0879,235,993.8572,231.2478,15.625
0.0896,240,1487.973,236.4196,15.9375
0.0894,245,992.4087,240.8274,16.25
0.0858,250,1329.207,245.774,16.5625
0.0835,255,1655.9252,251.2068,16.875
0.0828,260,1127.3198,255.5075,17.1875
0.0944,265,954.8137,259.5874,17.5
0.0862,270,1225.9294,264.2392,17.8125
0.0892,275,1530.8704,269.9118,18.125
0.085,280,1407.3206,275.7623,18.4375
0.0916,285,2068.3088,282.9752,18.75
0.0876,290,1152.9122,288.023,19.0625
0.0857,295,1307.4259,293.8195,19.375
0.0955,300,913.8172,297.8477,19.6875
0.0865,305,1130.7197,302.2584,20.0
0.0967,310,1118.2361,307.2286,20.3125
0.1004,315,1243.3165,311.864,20.625
0.0815,320,1175.8665,316.3989,20.9375
0.0886,325,1297.7047,321.5189,21.25
0.1,330,1277.1168,326.5885,21.5625
0.0819,335,980.2318,330.7076,21.875
0.0909,340,1529.9469,336.7965,22.1875
0.0906,345,1523.8821,342.0638,22.5
0.0863,350,1359.0553,346.9202,22.8125
0.094,355,1575.3274,352.3722,23.125
0.0835,360,2230.1587,358.9651,23.4375
0.0924,365,1215.9817,363.7302,23.75
0.0859,370,1304.0248,368.356,24.0625
0.0882,375,1393.4886,373.2907,24.375
0.0844,380,1689.4031,379.5911,24.6875
0.0854,385,1269.8535,384.1845,25.0
0.0883,390,1640.9883,390.1341,25.3125
0.0881,395,1208.9888,394.6935,25.625
0.0931,400,1099.2323,399.1497,25.9375
0.1015,405,1094.1753,403.788,26.25
0.0889,410,1059.8768,408.0099,26.5625
0.0939,415,1674.2867,413.6008,26.875
0.0952,420,1478.6746,419.2376,27.1875
0.0885,425,1026.3733,423.864,27.5
0.0953,430,1085.4158,428.4421,27.8125
0.0876,435,1401.4736,433.7648,28.125
0.089,440,1348.0601,438.8459,28.4375
0.0908,445,1188.347,443.4578,28.75
0.0905,450,1746.5247,449.8256,29.0625
0.0909,455,1330.5056,454.6048,29.375
0.0915,460,1641.1871,460.258,29.6875
0.0913,465,1336.6213,465.0701,30.0
0.0808,470,1715.6238,470.7234,30.3125
0.0847,475,1392.3828,476.5554,30.625
0.087,480,1548.5682,481.8496,30.9375
0.0822,485,1585.6941,487.5697,31.25
0.0957,490,1135.3369,491.9105,31.5625
0.0935,495,2249.5835,499.547,31.875
0.0872,500,1972.3438,506.0048,32.1875
0.0835,505,1196.5873,510.5733,32.5
0.0865,510,1038.1071,515.1484,32.8125
0.0975,515,1385.425,520.6055,33.125
0.0937,520,1637.1482,526.5514,33.4375
0.0956,525,1548.5299,531.7461,33.75
0.083,530,1525.8676,538.1002,34.0625
0.0906,535,1387.8574,543.5673,34.375
0.0968,540,1311.8192,548.463,34.6875
0.0818,545,1137.5671,553.1983,35.0
0.0932,550,1630.1614,558.6443,35.3125
0.0825,555,1444.6797,563.7969,35.625
0.0926,560,1225.2711,568.4804,35.9375
