loss,steps,rewards,time,epochs
0.5763,5,13.2033,2.1223,1.25
0.5356,10,14.8566,4.2046,1.5625
0.5389,15,13.7567,6.2447,1.875
0.5682,20,11.1277,8.3273,2.1875
0.5644,25,12.6831,10.3863,2.5
0.526,30,12.0857,12.4782,2.8125
0.5236,35,12.9413,14.5564,3.125
0.5127,40,12.9632,16.5752,3.4375
0.5504,45,14.5836,18.6851,3.75
0.5029,50,12.9179,20.7288,4.0625
0.4956,55,13.092,22.8116,4.375
0.4905,60,12.609,24.9439,4.6875
0.5146,65,13.4499,27.0539,5.0
0.5027,70,15.2911,29.1732,5.3125
0.4793,75,18.2073,31.2586,5.625
0.4898,80,14.3927,33.3255,5.9375
0.5145,85,13.7707,35.3983,6.25
0.4867,90,14.0933,37.47,6.5625
0.4648,95,12.9686,39.5362,6.875
0.4817,100,10.917,41.5803,7.1875
0.4779,105,14.7174,43.614,7.5
0.4761,110,14.1782,45.6641,7.8125
0.4649,115,12.6239,47.7638,8.125
0.4515,120,25.3123,49.8752,8.4375
0.4558,125,23.4447,51.9852,8.75
0.4339,130,20.0904,54.0633,9.0625
0.4044,135,17.2218,56.125,9.375
0.4234,140,13.4051,58.2177,9.6875
0.4182,145,16.8316,60.259,10.0
0.4081,150,51.8269,62.4943,10.3125
0.4324,155,17.4895,64.5853,10.625
0.4081,160,47.3351,66.7735,10.9375
0.389,165,15.1892,68.8882,11.25
0.3925,170,18.6546,70.9818,11.5625
0.3917,175,26.5462,73.1281,11.875
0.3824,180,18.5809,75.1071,12.1875
0.346,185,49.469,77.3276,12.5
0.3613,190,28.9339,79.4219,12.8125
0.3362,195,40.9747,81.58,13.125
0.3176,200,40.0705,83.7119,13.4375
0.3427,205,63.9104,86.0736,13.75
0.3279,210,113.2013,88.6273,14.0625
0.3051,215,55.2825,90.8374,14.375
0.3364,220,111.2079,93.3066,14.6875
0.3142,225,104.5177,95.8142,15.0
0.3288,230,78.1504,98.1522,15.3125
0.3081,235,134.4065,100.7912,15.625
0.306,240,148.0492,103.4633,15.9375
0.3005,245,147.916,106.0744,16.25
0.2664,250,153.4816,108.8587,16.5625
0.2777,255,158.7931,111.5471,16.875
