epochs,steps,loss,rewards,time
1.25,5,0.6224,7.2483,2.1511
1.5625,10,0.6543,7.9751,4.2161
1.875,15,0.6208,6.9074,6.273
2.1875,20,0.5827,7.5797,8.3836
2.5,25,0.6045,7.3317,10.4194
2.8125,30,0.5667,7.594,12.5656
3.125,35,0.5583,7.7238,14.6672
3.4375,40,0.5368,7.8985,16.7684
3.75,45,0.5149,7.3782,18.8082
4.0625,50,0.4726,7.6109,20.8577
4.375,55,0.4613,8.0766,22.896
4.6875,60,0.4195,7.933,24.9645
5.0,65,0.4215,8.1916,26.9656
5.3125,70,0.3788,9.3896,29.0887
5.625,75,0.3751,9.4024,31.1691
5.9375,80,0.3393,10.0427,33.2415
6.25,85,0.3184,11.2913,35.3306
6.5625,90,0.3057,11.9324,37.433
6.875,95,0.2895,11.9616,39.5351
7.1875,100,0.2777,16.8108,41.6492
7.5,105,0.2494,17.1955,43.792
7.8125,110,0.2476,14.1102,45.9927
8.125,115,0.2337,15.5242,48.1127
8.4375,120,0.2266,14.8381,50.2034
8.75,125,0.2171,17.3009,52.3123
9.0625,130,0.2106,28.848,54.6262
9.375,135,0.2159,21.9933,56.8712
9.6875,140,0.2111,97.5196,59.3617
10.0,145,0.2145,33.1652,61.8208
10.3125,150,0.2217,23.5031,63.9766
10.625,155,0.2056,22.5177,66.1768
10.9375,160,0.2105,201.8966,68.9064
11.25,165,0.2031,484.1339,72.3309
11.5625,170,0.1696,273.804,75.2553
11.875,175,0.1875,385.1007,78.4833
12.1875,180,0.1872,538.0833,81.9955
12.5,185,0.1898,711.5284,86.1871
12.8125,190,0.1766,956.7956,90.5076
13.125,195,0.1843,229.9442,93.1186
13.4375,200,0.1831,261.7549,95.8166
13.75,205,0.1892,579.3983,99.4091
14.0625,210,0.1704,786.3024,103.5153
14.375,215,0.1634,427.1501,106.5923
14.6875,220,0.1659,804.2414,110.827
15.0,225,0.1735,693.0114,114.5092
15.3125,230,0.1674,840.809,118.5061
15.625,235,0.1671,516.3104,121.8156
15.9375,240,0.1588,964.3286,126.6268
16.25,245,0.1613,1151.1543,132.2394
16.5625,250,0.1586,688.8118,135.8713
16.875,255,0.1566,810.4485,140.1674
17.1875,260,0.159,726.2693,144.5086
17.5,265,0.1567,418.4042,147.763
17.8125,270,0.1647,777.9479,151.8936
18.125,275,0.154,898.4824,156.1543
18.4375,280,0.1523,482.0563,159.8318
18.75,285,0.1535,877.3964,164.4893
19.0625,290,0.1598,507.2812,167.9681
19.375,295,0.1554,771.4124,172.018
19.6875,300,0.1417,551.4434,175.5362
20.0,305,0.14,385.8304,178.8394
20.3125,310,0.1364,636.7148,182.8543
20.625,315,0.1466,604.8078,186.6306
20.9375,320,0.1486,582.9581,190.3347
21.25,325,0.1352,493.0577,194.2006
21.5625,330,0.1404,886.8732,198.7067
21.875,335,0.1404,500.623,202.4126
22.1875,340,0.1351,810.5397,206.6526
22.5,345,0.141,505.1619,210.2232
22.8125,350,0.1323,441.632,213.5275
23.125,355,0.1362,1031.3942,218.1622
23.4375,360,0.1359,707.5612,222.2124
23.75,365,0.1359,938.9785,226.8801
24.0625,370,0.1399,705.028,230.9631
24.375,375,0.1361,718.9539,234.7517
24.6875,380,0.1314,582.866,238.3365
25.0,385,0.1417,979.0731,242.7746
25.3125,390,0.1388,578.9557,246.4994
25.625,395,0.1415,774.5409,250.3587
25.9375,400,0.1364,1177.6196,255.2815
26.25,405,0.1349,840.4772,259.4549
26.5625,410,0.1296,1048.8953,264.688
26.875,415,0.1285,905.7975,269.9777
27.1875,420,0.1258,627.6246,273.762
27.5,425,0.124,641.1552,277.4086
27.8125,430,0.1213,921.7975,281.9332
28.125,435,0.1332,838.3278,286.0673
28.4375,440,0.1304,976.0192,290.6676
28.75,445,0.1268,543.5171,294.0458
29.0625,450,0.129,658.2414,297.6739
29.375,455,0.1233,811.1755,301.6286
29.6875,460,0.1238,716.6349,305.35
30.0,465,0.1219,549.7955,308.7261
30.3125,470,0.134,705.465,312.3907
30.625,475,0.1294,730.0433,316.1102
30.9375,480,0.1186,686.4348,319.8433
31.25,485,0.1234,1096.4163,324.4825
31.5625,490,0.1233,661.1813,328.3413
31.875,495,0.1376,1328.5664,334.1352
32.1875,500,0.1162,1122.5875,338.7072
32.5,505,0.126,1067.4139,343.338
32.8125,510,0.1256,909.2111,347.649
33.125,515,0.1232,1262.9629,352.9804
33.4375,520,0.1143,1070.321,357.3353
33.75,525,0.1203,1056.8042,361.6563
34.0625,530,0.1198,1070.3464,366.4112
34.375,535,0.1208,834.1893,370.2953
34.6875,540,0.1238,829.5988,374.3602
35.0,545,0.1267,1306.0266,379.532
35.3125,550,0.1194,762.5583,383.463
35.625,555,0.1147,551.3872,386.7737
35.9375,560,0.1174,780.5767,390.5767
36.25,565,0.1181,885.1797,394.5974
36.5625,570,0.1103,1354.2009,399.5778
36.875,575,0.1188,1153.0737,404.3426
37.1875,580,0.1194,1125.0784,409.6983
37.5,585,0.1242,1085.6824,414.94
37.8125,590,0.1179,607.1372,418.8983
38.125,595,0.1111,547.7211,422.4709
38.4375,600,0.1148,1161.5958,427.5115
38.75,605,0.1166,824.7843,432.0426
39.0625,610,0.1104,830.4085,436.2339
39.375,615,0.1117,543.2302,439.6295
39.6875,620,0.118,910.0785,443.9125
40.0,625,0.1179,1141.3635,448.5101
40.3125,630,0.113,955.0016,452.8261
40.625,635,0.1147,751.6272,456.6977
40.9375,640,0.1105,1007.5127,461.1417
41.25,645,0.1163,1058.0621,465.6293
41.5625,650,0.1139,1020.2186,469.9414
41.875,655,0.1151,938.563,474.1607
42.1875,660,0.1052,435.5258,477.8883
42.5,665,0.1154,952.0951,482.332
42.8125,670,0.1074,1060.7662,486.9888
43.125,675,0.1236,819.3413,492.4798
43.4375,680,0.1135,646.1214,496.324
43.75,685,0.1173,916.7095,500.7611
44.0625,690,0.1039,735.0444,504.5933
44.375,695,0.1128,837.619,508.8305
44.6875,700,0.1139,593.0799,512.413
45.0,705,0.107,975.6502,516.657
45.3125,710,0.1128,1381.8513,521.8156
45.625,715,0.1092,578.4867,525.4145
45.9375,720,0.1067,1180.4572,530.3119
46.25,725,0.1095,1071.3152,535.0353
46.5625,730,0.1136,773.809,539.3586
46.875,735,0.1017,944.2867,543.9224
47.1875,740,0.1105,872.8451,548.5509
47.5,745,0.1034,819.0526,553.0122
47.8125,750,0.1085,903.3279,557.301
48.125,755,0.1189,788.9937,561.5198
48.4375,760,0.1059,922.5371,565.6587
48.75,765,0.1064,1294.6663,571.3621
49.0625,770,0.1062,1140.9187,576.2163
49.375,775,0.1106,441.2758,579.4745
49.6875,780,0.1059,492.5672,582.8274
50.0,785,0.0967,644.4935,586.4963
50.3125,790,0.1105,1299.2145,591.4174
50.625,795,0.0952,850.2617,595.4679
50.9375,800,0.1114,986.2283,599.9203
51.25,805,0.1057,932.0801,604.6962
51.5625,810,0.1126,1126.126,609.6243
51.875,815,0.1016,640.2637,613.414
52.1875,820,0.1051,576.4634,617.2084
52.5,825,0.1032,851.8776,621.3894
52.8125,830,0.1045,1158.0972,626.6005
53.125,835,0.1069,622.4193,630.142
53.4375,840,0.1042,968.4435,635.1912
53.75,845,0.0994,635.7485,638.8991
54.0625,850,0.1043,983.9034,643.4196
54.375,855,0.1017,934.8156,647.5674
54.6875,860,0.1041,866.6708,651.7073
55.0,865,0.108,991.4117,655.9828
55.3125,870,0.1014,830.0941,659.8359
55.625,875,0.1119,764.3535,663.816
55.9375,880,0.0896,795.4336,668.1659
56.25,885,0.1096,913.3876,672.2373
56.5625,890,0.0992,736.421,675.8835
56.875,895,0.0975,831.7521,679.862
57.1875,900,0.1111,970.0439,684.2594
57.5,905,0.1039,871.4434,688.5604
57.8125,910,0.0962,864.4235,692.501
58.125,915,0.1025,896.0006,696.4634
58.4375,920,0.1075,1330.1748,701.4747
58.75,925,0.0994,944.7816,705.7477
59.0625,930,0.1104,845.965,709.9511
59.375,935,0.1035,910.5873,714.028
59.6875,940,0.1093,953.4795,718.1989
60.0,945,0.1071,902.905,722.5148
60.3125,950,0.1026,1445.2742,728.619
60.625,955,0.0966,919.86,732.6137
60.9375,960,0.1001,980.1715,736.8912
61.25,965,0.103,947.6165,740.9883
61.5625,970,0.1028,1005.59,745.2195
61.875,975,0.091,587.527,748.6788
62.1875,980,0.0969,941.5648,753.0241
62.5,985,0.103,855.6669,757.3656
62.8125,990,0.0963,753.7747,761.3584
