epochs,loss,rewards,time,steps
1.25,0.6167,4.6995,1.8525,5
1.5625,0.6384,4.6824,3.6593,10
1.875,0.6959,4.7911,5.5334,15
2.1875,0.6541,4.8522,7.4233,20
2.5,0.6738,4.7769,9.3012,25
2.8125,0.6085,4.6665,11.1813,30
3.125,0.6488,5.0274,13.0977,35
3.4375,0.6483,4.8707,14.9439,40
3.75,0.639,4.7469,16.8479,45
4.0625,0.5991,4.9218,18.741,50
4.375,0.6192,4.8697,20.6235,55
4.6875,0.6372,5.0485,22.5299,60
5.0,0.5792,5.1078,24.4207,65
5.3125,0.6119,4.747,26.2982,70
5.625,0.5632,4.9969,28.1876,75
5.9375,0.574,5.1909,30.0827,80
6.25,0.5485,5.2664,31.9924,85
6.5625,0.59,5.3422,33.8496,90
6.875,0.5997,5.1112,35.721,95
7.1875,0.5558,5.3298,37.6136,100
7.5,0.5252,6.0309,39.5214,105
7.8125,0.5235,5.7123,41.4523,110
8.125,0.5488,5.919,43.3525,115
8.4375,0.5517,5.9213,45.2981,120
8.75,0.5157,6.2567,47.2205,125
9.0625,0.5557,6.6292,49.1478,130
9.375,0.474,6.58,51.0459,135
9.6875,0.4691,6.924,52.9273,140
10.0,0.4597,6.6362,54.8377,145
10.3125,0.455,7.1013,56.7246,150
10.625,0.4656,7.6428,58.6711,155
10.9375,0.4709,7.4398,60.6562,160
11.25,0.4182,7.8261,62.6213,165
11.5625,0.414,8.2577,64.5405,170
11.875,0.3982,8.5878,66.4717,175
12.1875,0.4176,9.2424,68.4064,180
12.5,0.3745,8.9541,70.2971,185
12.8125,0.3659,9.4988,72.2451,190
13.125,0.3875,9.7195,74.2012,195
13.4375,0.3436,10.0488,76.1352,200
13.75,0.3602,10.2334,78.0466,205
14.0625,0.3448,10.657,79.9728,210
14.375,0.3275,11.3348,81.9219,215
14.6875,0.2974,11.4001,83.8519,220
15.0,0.313,11.6152,85.7764,225
15.3125,0.3034,11.1313,87.7058,230
15.625,0.3073,12.8169,89.6746,235
15.9375,0.2828,13.4624,91.6478,240
16.25,0.3036,15.4754,93.6743,245
16.5625,0.3017,15.8655,95.6831,250
16.875,0.2853,15.3056,97.67,255
17.1875,0.2752,16.3584,99.6716,260
17.5,0.2786,17.2662,101.6099,265
17.8125,0.2798,16.7618,103.5814,270
18.125,0.2712,19.0813,105.6146,275
18.4375,0.2493,18.8457,107.5794,280
18.75,0.2696,18.4166,109.5436,285
19.0625,0.2562,18.6614,111.5076,290
19.375,0.2637,19.4549,113.5536,295
19.6875,0.2696,23.4696,115.5669,300
20.0,0.2562,17.8717,117.561,305
20.3125,0.2491,16.5998,119.5607,310
20.625,0.2647,17.5788,121.5015,315
20.9375,0.2373,17.3312,123.4984,320
21.25,0.2469,20.7392,125.48,325
21.5625,0.2569,258.7156,128.2922,330
21.875,0.2568,17.7129,130.2823,335
22.1875,0.2401,17.9393,132.2347,340
22.5,0.2366,16.2057,134.214,345
22.8125,0.2562,267.5371,137.1541,350
23.125,0.2465,152.3652,139.6276,355
23.4375,0.2369,182.5409,142.1441,360
23.75,0.2334,94.8726,144.264,365
24.0625,0.2378,20.2564,146.2479,370
24.375,0.2361,384.7621,149.4665,375
24.6875,0.2458,20.9276,151.4322,380
25.0,0.2379,385.8217,154.72,385
25.3125,0.2407,435.2305,157.9799,390
25.625,0.235,590.5036,161.7438,395
25.9375,0.2298,404.2758,164.7117,400
26.25,0.235,283.2412,167.4863,405
26.5625,0.2404,145.6438,169.8011,410
26.875,0.2329,227.7292,172.2951,415
27.1875,0.2314,150.3627,174.5952,420
27.5,0.2287,319.996,178.0327,425
27.8125,0.2419,249.1905,180.973,430
28.125,0.2387,279.6942,183.9329,435
28.4375,0.2516,223.05,186.7661,440
28.75,0.255,542.4545,190.3648,445
29.0625,0.2275,480.1433,194.0919,450
29.375,0.247,568.5487,197.9489,455
29.6875,0.2289,359.3499,201.3644,460
30.0,0.2352,388.6509,204.7114,465
30.3125,0.2332,502.432,208.4157,470
30.625,0.2423,421.7358,211.7372,475
30.9375,0.2552,514.1,215.7035,480
31.25,0.2322,557.8174,219.7368,485
31.5625,0.2226,276.2611,222.8233,490
31.875,0.2398,418.2681,226.0049,495
32.1875,0.2353,522.2562,229.595,500
32.5,0.2322,552.3281,233.3618,505
32.8125,0.2513,601.3002,237.0521,510
33.125,0.2349,456.894,240.5831,515
33.4375,0.2325,574.7372,244.1834,520
33.75,0.2302,509.9892,247.4348,525
34.0625,0.2452,499.1988,251.2159,530
34.375,0.2199,390.6059,254.4856,535
34.6875,0.2446,501.8201,257.7814,540
35.0,0.2132,534.0211,261.5738,545
35.3125,0.2471,478.8897,266.3645,550
35.625,0.2197,425.8439,269.7831,555
35.9375,0.2205,469.245,273.1082,560
36.25,0.2136,465.4126,276.4323,565
36.5625,0.2154,493.7336,279.7079,570
36.875,0.2152,326.0123,282.5569,575
37.1875,0.2136,371.316,285.8196,580
37.5,0.2255,413.9628,289.1903,585
37.8125,0.2204,499.2294,292.7987,590
38.125,0.2466,578.9952,296.518,595
38.4375,0.2355,443.9122,299.7703,600
38.75,0.2222,490.2979,303.3166,605
39.0625,0.221,510.772,306.6896,610
39.375,0.2447,551.7137,310.2951,615
39.6875,0.2129,543.6553,313.838,620
40.0,0.2223,446.0742,317.2369,625
40.3125,0.234,250.1614,320.0306,630
40.625,0.2216,440.2254,323.3209,635
40.9375,0.2291,467.666,326.715,640
41.25,0.2277,464.6675,330.2123,645
41.5625,0.2197,546.9904,333.4836,650
41.875,0.2199,422.4734,336.6528,655
42.1875,0.2275,435.8309,339.9447,660
42.5,0.2092,449.5976,343.2701,665
42.8125,0.2356,421.7331,346.7877,670
43.125,0.2295,404.3,349.8904,675
43.4375,0.2148,404.9606,352.9981,680
43.75,0.2328,416.7924,356.1954,685
44.0625,0.2124,411.4779,359.2671,690
44.375,0.2211,403.2978,362.5899,695
44.6875,0.2203,474.0377,365.7872,700
45.0,0.2212,434.2516,369.2092,705
45.3125,0.2171,405.3301,372.4326,710
45.625,0.2176,434.8983,375.659,715
45.9375,0.2012,487.1917,379.0941,720
46.25,0.2123,408.5696,382.3386,725
46.5625,0.2185,413.5097,385.471,730
46.875,0.2092,401.8769,388.6557,735
47.1875,0.2198,399.3954,391.6901,740
47.5,0.2099,407.3518,394.8345,745
47.8125,0.2207,400.8006,398.0823,750
48.125,0.2147,400.4225,401.3019,755
48.4375,0.2145,402.5157,404.5626,760
48.75,0.2059,395.3381,407.5683,765
49.0625,0.2335,404.0667,410.7997,770
49.375,0.2142,407.2735,413.8901,775
49.6875,0.2212,403.3245,417.0291,780
50.0,0.2132,411.1951,420.0658,785
50.3125,0.2299,417.3062,423.2534,790
50.625,0.21,396.8809,426.4901,795
50.9375,0.2248,398.9797,429.541,800
51.25,0.2285,396.9305,432.7575,805
51.5625,0.2094,408.9284,435.9804,810
51.875,0.2164,403.6694,439.118,815
52.1875,0.223,405.6055,442.2723,820
52.5,0.2025,404.4822,445.387,825
52.8125,0.2057,404.7386,448.4935,830
53.125,0.2125,398.6836,451.6846,835
53.4375,0.2157,403.6675,454.9697,840
53.75,0.2033,403.6465,458.2446,845
54.0625,0.2037,399.7959,461.3871,850
54.375,0.2087,399.3956,464.6109,855
54.6875,0.2129,402.5555,467.7414,860
55.0,0.2204,400.2392,471.1113,865
55.3125,0.2046,420.6832,474.3802,870
55.625,0.2152,461.1888,477.5046,875
55.9375,0.2076,424.722,480.9054,880
56.25,0.2118,399.1959,483.9961,885
56.5625,0.2125,404.7003,487.1939,890
56.875,0.2117,392.5868,490.3493,895
57.1875,0.2137,400.275,493.5359,900
57.5,0.2059,395.5638,496.7103,905
57.8125,0.2105,395.267,499.8062,910
58.125,0.2174,397.971,503.0227,915
58.4375,0.2128,405.5695,506.135,920
58.75,0.2022,396.9914,509.2267,925
59.0625,0.2079,397.4435,512.4205,930
59.375,0.2134,400.5779,515.6262,935
59.6875,0.2013,390.1287,518.8975,940
60.0,0.2033,400.59,521.9637,945
60.3125,0.1911,400.5847,525.1357,950
60.625,0.2064,396.8002,528.2159,955
60.9375,0.2161,403.321,531.1886,960
61.25,0.2067,404.7553,534.4018,965
61.5625,0.2026,404.4367,537.6956,970
61.875,0.2153,402.7536,540.818,975
62.1875,0.1917,397.6004,543.9354,980
62.5,0.1926,405.8527,546.9527,985
62.8125,0.2047,406.4749,550.1008,990
63.125,0.2093,404.8581,553.2651,995
63.4375,0.2097,407.7462,556.2546,1000
63.75,0.2057,406.967,559.4563,1005
64.0625,0.2135,415.577,562.5572,1010
64.375,0.2011,403.8606,565.4898,1015
64.6875,0.2124,410.4701,568.6625,1020
65.0,0.2075,406.6985,571.9242,1025
65.3125,0.2037,399.9443,575.1079,1030
65.625,0.198,398.6497,578.1968,1035
65.9375,0.1963,397.5196,581.398,1040
66.25,0.1979,400.0987,584.8161,1045
66.5625,0.2067,398.5666,588.0759,1050
66.875,0.2193,430.5452,591.2479,1055
67.1875,0.2197,495.6349,594.5752,1060
67.5,0.2144,424.5167,597.8037,1065
67.8125,0.2181,410.0806,601.0917,1070
68.125,0.1994,460.6696,604.3678,1075
68.4375,0.2077,402.3874,607.4285,1080
68.75,0.1903,395.0527,610.7348,1085
69.0625,0.2073,391.1048,613.9199,1090
69.375,0.1997,460.1461,617.0195,1095
69.6875,0.2089,403.113,620.2679,1100
70.0,0.1971,428.5269,623.324,1105
70.3125,0.2147,415.0342,626.4377,1110
70.625,0.2123,397.3853,629.5897,1115
70.9375,0.2059,395.7656,632.6641,1120
71.25,0.2004,404.8561,635.6721,1125
71.5625,0.1898,394.7546,638.7431,1130
71.875,0.1985,398.3226,641.715,1135
72.1875,0.1933,402.2058,644.7992,1140
72.5,0.2129,397.7778,647.9227,1145
72.8125,0.1995,395.9721,650.8917,1150
73.125,0.2064,406.3654,653.9999,1155
73.4375,0.1945,406.8195,657.3884,1160
73.75,0.198,389.0698,660.415,1165
74.0625,0.194,393.5969,663.6759,1170
74.375,0.2,410.3109,666.8779,1175
74.6875,0.2074,406.1519,670.0859,1180
75.0,0.1858,395.1609,673.2247,1185
75.3125,0.2031,411.0919,676.421,1190
75.625,0.1935,406.597,679.5689,1195
75.9375,0.2028,415.8614,682.7473,1200
76.25,0.2066,410.5103,685.9091,1205
76.5625,0.2026,407.7245,689.0448,1210
76.875,0.2082,414.2191,692.1254,1215
77.1875,0.1967,410.5094,695.2619,1220
77.5,0.1948,412.548,698.5233,1225
77.8125,0.199,440.1575,701.977,1230
78.125,0.2065,405.7529,705.089,1235
78.4375,0.1938,413.5649,708.2167,1240
