epochs,loss,rewards,time,steps
1.25,0.6354,73.2458,2.2104,5
1.5625,0.6013,69.2722,4.4024,10
1.875,0.6047,70.0513,6.5974,15
2.1875,0.5952,77.7588,8.8135,20
2.5,0.5962,79.8164,11.0586,25
2.8125,0.5759,284.3096,14.9136,30
3.125,0.5142,452.9495,20.3276,35
3.4375,0.5276,495.7065,25.8047,40
3.75,0.5399,705.2537,32.9703,45
4.0625,0.5333,1014.6024,42.636,50
4.375,0.4723,1014.5557,52.428,55
4.6875,0.5039,1010.2936,61.8668,60
5.0,0.4656,1007.4866,71.3013,65
5.3125,0.4474,1009.0734,80.8069,70
5.625,0.4097,1009.6403,90.5906,75
5.9375,0.4319,1010.6432,100.3494,80
6.25,0.3685,868.9318,108.8795,85
6.5625,0.3808,1005.1654,118.4376,90
6.875,0.3581,1004.6597,128.0889,95
7.1875,0.3571,1010.0135,137.9299,100
7.5,0.3404,826.0171,146.5791,105
7.8125,0.3192,820.502,154.7683,110
8.125,0.2774,823.0298,164.0784,115
8.4375,0.2834,636.4605,170.9535,120
8.75,0.2685,823.0251,179.5211,125
9.0625,0.2733,373.6877,183.8775,130
9.375,0.2348,353.1105,187.0227,135
9.6875,0.2381,367.8676,189.9255,140
10.0,0.229,372.3643,192.8459,145
10.3125,0.2436,321.9542,195.7836,150
10.625,0.2278,299.5797,198.6198,155
10.9375,0.2195,337.564,201.6632,160
11.25,0.2239,251.3059,204.3407,165
11.5625,0.2124,88.5798,206.5312,170
11.875,0.2136,213.4607,209.0991,175
12.1875,0.1982,297.7648,211.8578,180
12.5,0.2121,363.3834,214.7389,185
12.8125,0.2121,278.2223,217.5675,190
13.125,0.2114,362.0592,220.453,195
13.4375,0.2047,307.9216,223.2378,200
13.75,0.2135,186.1409,225.7514,205
14.0625,0.2026,187.3174,228.2738,210
14.375,0.1947,384.013,231.3737,215
14.6875,0.1989,386.442,234.3024,220
15.0,0.1912,398.9456,237.2235,225
15.3125,0.197,331.4542,240.0012,230
15.625,0.1891,264.4285,242.6,235
15.9375,0.195,326.9276,245.4235,240
16.25,0.1786,347.5492,248.3472,245
16.5625,0.1863,266.8475,251.0451,250
16.875,0.1806,374.5308,253.9764,255
17.1875,0.1713,495.94,257.1039,260
17.5,0.1825,353.2148,259.9151,265
17.8125,0.1846,279.6099,262.6265,270
18.125,0.1884,356.5257,265.5471,275
18.4375,0.1752,424.3657,268.5697,280
18.75,0.1784,437.5456,271.5867,285
19.0625,0.1611,418.436,274.6156,290
19.375,0.1656,429.7801,277.7029,295
19.6875,0.174,444.0784,280.7079,300
20.0,0.1668,449.5658,283.7497,305
20.3125,0.1653,491.3401,286.8645,310
20.625,0.1633,495.9222,290.0042,315
20.9375,0.1703,516.5697,293.152,320
21.25,0.1711,477.1669,296.211,325
21.5625,0.1579,508.1943,299.4169,330
21.875,0.1597,458.3145,302.5634,335
22.1875,0.1628,613.2996,306.07,340
22.5,0.1668,467.8949,309.2179,345
22.8125,0.1658,512.699,312.4699,350
23.125,0.1552,495.0612,315.5602,355
23.4375,0.1599,530.996,318.7222,360
23.75,0.1543,575.04,322.1332,365
24.0625,0.1535,525.3893,325.3693,370
24.375,0.1519,581.206,328.7041,375
24.6875,0.1493,472.8887,331.8204,380
25.0,0.1529,551.6586,335.0596,385
25.3125,0.1579,513.7811,338.3149,390
25.625,0.1554,581.2749,341.6684,395
25.9375,0.1561,604.075,344.9788,400
26.25,0.1484,492.3651,348.1255,405
26.5625,0.1425,528.155,351.3851,410
26.875,0.1566,604.3044,354.963,415
27.1875,0.146,653.7214,358.5519,420
27.5,0.1426,576.0265,361.8313,425
27.8125,0.1383,591.1216,365.1389,430
28.125,0.1407,604.9724,368.4545,435
28.4375,0.1421,575.5479,371.7711,440
28.75,0.1367,567.1439,375.0959,445
29.0625,0.1487,571.2329,378.376,450
29.375,0.1479,559.2977,381.6425,455
29.6875,0.1451,501.4911,384.7619,460
30.0,0.1524,545.9266,388.0396,465
30.3125,0.1447,565.5687,391.3713,470
30.625,0.1403,573.841,394.6791,475
30.9375,0.1428,617.3758,398.2573,480
31.25,0.1432,625.3885,401.6087,485
31.5625,0.1285,493.7759,404.6954,490
31.875,0.1333,577.2174,407.9658,495
32.1875,0.1339,861.9299,411.8734,500
32.5,0.138,532.5092,415.3015,505
32.8125,0.1389,693.7902,418.7766,510
33.125,0.1379,554.3428,421.9971,515
33.4375,0.1387,591.7899,425.3009,520
33.75,0.1354,552.3337,428.4961,525
34.0625,0.1342,651.2623,432.241,530
34.375,0.1416,600.8204,435.7031,535
34.6875,0.122,675.4517,439.3676,540
35.0,0.1376,587.6454,442.6375,545
35.3125,0.1354,619.5436,446.2346,550
35.625,0.1384,715.474,449.7624,555
35.9375,0.1331,720.9833,453.3318,560
36.25,0.1365,577.4678,456.6946,565
36.5625,0.1383,558.5732,459.8995,570
36.875,0.1308,716.5867,463.7718,575
37.1875,0.1423,915.4739,467.9111,580
37.5,0.1382,807.2093,471.8968,585
37.8125,0.1249,726.3251,475.5056,590
38.125,0.1453,752.1663,479.4328,595
38.4375,0.1372,705.1337,482.9746,600
38.75,0.1522,744.0735,486.5565,605
39.0625,0.1255,713.1388,490.0221,610
39.375,0.1456,828.9246,493.8721,615
39.6875,0.1341,811.3693,497.6229,620
40.0,0.1284,759.4753,501.312,625
40.3125,0.1302,602.5063,504.6292,630
40.625,0.1312,759.9352,508.2246,635
40.9375,0.1282,981.9167,512.3155,640
41.25,0.1357,636.983,515.6737,645
41.5625,0.1242,897.0633,519.6246,650
41.875,0.127,615.0207,523.2682,655
42.1875,0.1294,835.9293,527.1779,660
42.5,0.1294,1013.9984,531.348,665
42.8125,0.1254,965.3717,535.5869,670
43.125,0.1283,861.5217,539.4063,675
43.4375,0.1302,741.5375,543.2007,680
43.75,0.1267,912.7287,547.2668,685
44.0625,0.1259,711.9921,550.9705,690
44.375,0.1172,494.8603,554.0679,695
44.6875,0.123,560.3596,557.2862,700
45.0,0.1213,817.7015,561.152,705
45.3125,0.1261,862.6237,565.1303,710
45.625,0.1336,1358.4631,569.9774,715
45.9375,0.1196,1017.9015,574.4621,720
46.25,0.1209,1318.5487,579.4658,725
46.5625,0.1332,720.8792,583.21,730
46.875,0.1242,971.4412,587.5498,735
47.1875,0.1193,785.7972,591.2283,740
47.5,0.1232,697.7334,594.6877,745
47.8125,0.1341,1095.4071,599.0322,750
48.125,0.1291,643.0887,602.4541,755
48.4375,0.1307,680.1965,606.0721,760
48.75,0.1169,669.5374,609.5713,765
49.0625,0.1212,840.7616,613.7061,770
49.375,0.135,791.5095,617.3484,775
49.6875,0.1249,953.1615,621.8068,780
50.0,0.1145,1763.115,627.9043,785
50.3125,0.1276,889.7812,631.9098,790
50.625,0.1192,855.0671,635.92,795
50.9375,0.1114,1180.1597,640.8864,800
51.25,0.1189,1218.3818,645.5093,805
51.5625,0.1243,910.2471,649.4549,810
51.875,0.1121,1009.9086,653.7834,815
52.1875,0.1288,1198.4679,658.4184,820
52.5,0.1154,931.7504,662.4734,825
52.8125,0.119,1883.2217,668.8647,830
53.125,0.1217,1364.5814,674.4807,835
53.4375,0.1175,1471.5427,679.8469,840
53.75,0.1206,1459.45,685.2473,845
54.0625,0.1234,1191.2133,690.0041,850
54.375,0.1189,634.2681,693.4243,855
54.6875,0.1137,718.9332,697.0822,860
55.0,0.1157,674.2543,700.7109,865
55.3125,0.1169,1672.7146,706.3368,870
55.625,0.1284,2038.2852,713.0517,875
55.9375,0.123,1991.3715,720.3702,880
56.25,0.1121,590.3275,723.6483,885
56.5625,0.1262,1117.4446,728.2723,890
56.875,0.1096,780.7162,732.0585,895
57.1875,0.1151,729.3533,735.8002,900
57.5,0.1177,795.2819,739.5737,905
57.8125,0.1102,1112.3309,744.3452,910
58.125,0.1147,896.3652,748.4061,915
58.4375,0.121,1357.3561,753.3748,920
58.75,0.1089,2074.7554,760.1068,925
59.0625,0.1129,1920.2897,766.7644,930
59.375,0.1169,1038.6595,771.1226,935
59.6875,0.1188,1841.5769,777.3217,940
60.0,0.1245,1317.4614,782.3296,945
60.3125,0.1037,531.6134,785.6364,950
60.625,0.1094,561.9233,789.0345,955
60.9375,0.1116,753.0475,792.66,960
61.25,0.1152,842.37,796.4827,965
61.5625,0.1127,1198.3563,801.2603,970
61.875,0.1162,850.8187,805.1748,975
62.1875,0.1179,695.2596,808.6369,980
62.5,0.1182,1100.3162,812.9624,985
62.8125,0.1143,943.9976,817.2386,990
63.125,0.1137,1471.0444,822.592,995
63.4375,0.1064,1431.88,827.9025,1000
