epochs,loss,rewards,time,steps
1.25,0.0917,1929.4828,6.1994,5
1.5625,0.0971,2231.5117,12.9393,10
1.875,0.0907,1354.1122,17.9725,15
2.1875,0.0857,1461.6429,23.1559,20
2.5,0.0875,1548.5417,28.6537,25
2.8125,0.0952,1517.1304,34.0228,30
3.125,0.0911,1355.6316,39.0014,35
3.4375,0.0888,1152.4198,43.7501,40
3.75,0.0886,1813.2028,49.7584,45
4.0625,0.0869,1718.0385,55.392,50
4.375,0.0989,1107.35,59.6197,55
4.6875,0.0941,1515.9426,65.0204,60
5.0,0.0816,1447.8704,70.1934,65
5.3125,0.0826,1494.6907,75.3036,70
5.625,0.0861,1180.7334,79.8791,75
5.9375,0.0932,1007.6263,83.9722,80
6.25,0.0892,1048.4929,88.3738,85
6.5625,0.0884,1273.2112,93.2964,90
6.875,0.0891,1117.7222,97.9173,95
7.1875,0.0896,1187.4368,102.3741,100
7.5,0.0911,917.5584,106.3284,105
7.8125,0.0915,1464.1213,111.624,110
8.125,0.0903,1018.5939,115.9845,115
8.4375,0.0974,1216.6012,120.4475,120
8.75,0.0921,1637.4021,125.7378,125
9.0625,0.0939,1230.3195,130.5302,130
9.375,0.0901,1275.1619,135.1163,135
9.6875,0.0885,2111.7112,141.48,140
10.0,0.0823,1234.8237,146.0369,145
10.3125,0.083,1692.1713,151.5944,150
10.625,0.0956,991.7805,155.6496,155
10.9375,0.0889,1031.2635,159.7274,160
11.25,0.0854,964.6919,163.8043,165
11.5625,0.0894,1086.6311,168.0278,170
11.875,0.0934,987.0355,172.0665,175
12.1875,0.0944,1405.2068,177.3552,180
12.5,0.084,956.7709,181.6366,185
12.8125,0.0833,1318.6687,186.259,190
13.125,0.0864,1125.9102,190.7676,195
13.4375,0.0849,1291.8401,195.7888,200
13.75,0.0927,1450.0957,201.0701,205
14.0625,0.0903,1370.5487,206.3067,210
14.375,0.0947,905.6971,210.4324,215
14.6875,0.0868,997.7352,214.4748,220
15.0,0.0833,1438.8585,219.395,225
15.3125,0.0863,1193.8025,223.9967,230
15.625,0.0849,1474.5315,229.2647,235
15.9375,0.0858,726.7076,232.798,240
16.25,0.0795,911.5871,236.9443,245
16.5625,0.0826,1216.2916,241.7857,250
16.875,0.0863,1557.0546,246.9217,255
17.1875,0.085,1747.1912,252.9042,260
17.5,0.0851,1262.9672,257.4518,265
17.8125,0.0851,999.905,261.4425,270
18.125,0.0853,802.9618,265.2728,275
18.4375,0.0878,2291.9116,272.7603,280
18.75,0.0921,1173.7828,277.2018,285
19.0625,0.0809,1281.0026,282.0757,290
19.375,0.0867,949.1937,286.0544,295
19.6875,0.091,1281.6204,290.7543,300
20.0,0.0837,1380.0992,295.8045,305
