epochs,steps,loss,rewards,time
1.25,5,0.6487,11.3309,2.1871
1.5625,10,0.6172,15.8101,4.4243
1.875,15,0.6017,13.8818,6.6703
2.1875,20,0.6516,11.9581,8.9123
2.5,25,0.6432,11.8058,11.1486
2.8125,30,0.5648,9.7251,13.3335
3.125,35,0.5348,8.4175,15.5551
3.4375,40,0.5319,8.6807,17.7192
3.75,45,0.5318,7.7874,19.8846
4.0625,50,0.4694,7.4843,22.2297
4.375,55,0.4425,8.1746,24.405
4.6875,60,0.4226,7.6812,26.6175
5.0,65,0.3942,8.7794,28.8202
5.3125,70,0.3759,11.242,31.0462
5.625,75,0.3244,13.7251,33.3412
5.9375,80,0.3193,18.964,35.6243
6.25,85,0.2952,21.7064,37.8865
6.5625,90,0.2818,56.2109,40.4108
6.875,95,0.2756,149.2671,43.5555
7.1875,100,0.2489,246.6479,46.5269
7.5,105,0.2499,341.7899,49.4521
7.8125,110,0.2398,378.5333,52.509
8.125,115,0.2323,374.1566,55.46
8.4375,120,0.2149,373.215,58.5792
8.75,125,0.2154,356.4365,61.5081
9.0625,130,0.2096,376.5824,64.4833
9.375,135,0.2133,383.4576,67.4806
9.6875,140,0.2077,405.6203,70.5638
10.0,145,0.1991,386.7159,73.6788
10.3125,150,0.2104,388.1968,76.6468
10.625,155,0.1955,357.0787,79.4934
10.9375,160,0.1974,413.8635,82.516
11.25,165,0.196,414.1725,85.5208
11.5625,170,0.1913,404.1967,88.6017
11.875,175,0.1992,417.9582,91.6417
12.1875,180,0.1868,416.8152,94.8247
12.5,185,0.186,419.2,97.8832
12.8125,190,0.1851,450.9236,101.027
13.125,195,0.1878,472.9942,104.1948
13.4375,200,0.1752,419.6487,107.3183
13.75,205,0.1797,474.1237,110.4895
14.0625,210,0.1873,870.2482,114.6221
14.375,215,0.1771,625.7205,118.3008
14.6875,220,0.1692,636.1234,121.872
15.0,225,0.1688,610.4369,125.6326
15.3125,230,0.1573,650.2831,129.1932
15.625,235,0.1727,568.9784,132.5472
15.9375,240,0.1735,480.3136,135.7267
16.25,245,0.1591,479.1393,138.8984
16.5625,250,0.1616,911.3981,143.1164
16.875,255,0.1649,730.6235,146.8164
17.1875,260,0.1572,538.6931,150.1236
17.5,265,0.1563,594.65,153.5284
17.8125,270,0.1538,921.0123,157.5741
18.125,275,0.1567,610.8894,161.021
18.4375,280,0.1506,789.6559,164.828
18.75,285,0.1599,1115.9291,169.2831
19.0625,290,0.1453,1538.8088,175.2955
19.375,295,0.1445,790.9473,179.1974
19.6875,300,0.1441,569.3831,182.4943
20.0,305,0.1462,714.4651,186.234
20.3125,310,0.1492,994.4142,191.0374
20.625,315,0.1527,898.4588,195.2481
20.9375,320,0.1408,1102.4319,199.8463
21.25,325,0.145,665.268,203.424
21.5625,330,0.1354,881.3123,207.4686
21.875,335,0.1405,721.6198,211.1846
22.1875,340,0.1361,863.899,215.2314
22.5,345,0.1436,1177.7399,220.2833
22.8125,350,0.1403,1177.3389,225.0362
23.125,355,0.1305,709.952,228.7268
23.4375,360,0.1368,789.5771,232.6497
23.75,365,0.1389,672.5585,236.1883
24.0625,370,0.1269,985.8154,240.4435
24.375,375,0.1392,733.8782,244.1615
24.6875,380,0.1326,629.1553,247.6045
25.0,385,0.1251,654.0126,251.1144
25.3125,390,0.1368,567.2147,254.4224
25.625,395,0.1321,751.1622,258.2223
25.9375,400,0.1274,679.4934,261.9054
26.25,405,0.1263,656.3292,265.3819
26.5625,410,0.1327,1144.7943,269.9168
26.875,415,0.1261,1187.4919,274.4998
27.1875,420,0.1322,809.51,278.266
27.5,425,0.1242,624.5393,281.743
27.8125,430,0.1189,789.3348,285.494
28.125,435,0.1206,626.2594,289.0084
28.4375,440,0.1265,828.1454,292.9009
28.75,445,0.1191,746.3558,296.6169
29.0625,450,0.1311,741.1153,300.3202
29.375,455,0.1227,723.9078,303.9975
29.6875,460,0.1268,514.7943,307.2884
30.0,465,0.1299,1000.5889,311.5102
30.3125,470,0.1196,727.5306,315.1453
30.625,475,0.1186,362.8384,318.0426
30.9375,480,0.1251,561.5645,321.3915
31.25,485,0.128,1037.6211,326.053
31.5625,490,0.1202,757.1667,329.9122
31.875,495,0.1161,634.2503,333.5209
32.1875,500,0.1219,900.2503,337.5089
32.5,505,0.1242,664.9777,341.2686
32.8125,510,0.1262,705.3537,344.976
33.125,515,0.1143,748.1498,348.6735
33.4375,520,0.1242,667.4335,352.2474
33.75,525,0.1206,492.7936,355.4245
34.0625,530,0.113,471.1505,358.5231
34.375,535,0.1161,535.3722,361.8859
34.6875,540,0.1168,1118.6368,366.3564
35.0,545,0.1083,731.3605,370.0305
35.3125,550,0.1202,577.2615,373.3657
35.625,555,0.1148,476.6929,376.5319
35.9375,560,0.1155,484.9568,379.6236
36.25,565,0.1115,462.1344,382.7393
36.5625,570,0.1163,724.8317,386.45
36.875,575,0.1237,982.3058,390.634
37.1875,580,0.1235,503.8304,393.8153
37.5,585,0.1113,450.563,396.8727
37.8125,590,0.113,655.8468,400.3818
38.125,595,0.1105,974.7889,404.5611
38.4375,600,0.1119,590.9495,407.8894
38.75,605,0.1087,453.7318,411.0701
39.0625,610,0.1178,523.818,414.5297
39.375,615,0.1132,482.4149,417.7344
39.6875,620,0.109,592.3781,421.1981
40.0,625,0.1145,998.1561,425.4917
40.3125,630,0.1126,451.0927,428.6304
40.625,635,0.1084,500.1804,431.7652
40.9375,640,0.1146,885.216,435.6515
41.25,645,0.1153,662.8692,439.2161
41.5625,650,0.1037,568.2311,442.5427
41.875,655,0.1078,708.6765,446.1762
42.1875,660,0.1106,583.2234,449.5844
42.5,665,0.1069,572.537,452.9802
42.8125,670,0.1057,634.4713,456.4211
43.125,675,0.1122,564.0636,459.7598
43.4375,680,0.1033,639.9056,463.1334
43.75,685,0.1151,657.204,466.6254
44.0625,690,0.112,456.4999,469.8071
44.375,695,0.1063,466.4469,473.4237
44.6875,700,0.1053,505.5983,476.7533
45.0,705,0.1094,1207.5571,481.5497
45.3125,710,0.1052,506.4438,484.8991
45.625,715,0.1188,669.7589,488.49
45.9375,720,0.1125,823.6442,492.5053
46.25,725,0.1166,605.7023,495.8826
46.5625,730,0.1178,472.0973,498.9578
46.875,735,0.1036,833.5866,502.8556
47.1875,740,0.1088,503.7889,506.191
47.5,745,0.1013,502.1137,509.3685
47.8125,750,0.1101,485.6415,512.5727
48.125,755,0.1046,459.3035,515.7335
48.4375,760,0.1085,926.1339,519.8219
48.75,765,0.1028,639.6989,523.3496
49.0625,770,0.1068,471.8434,526.4993
49.375,775,0.1034,488.4491,529.6825
49.6875,780,0.1044,568.5743,533.0873
50.0,785,0.1016,771.3336,537.0182
50.3125,790,0.1079,515.4982,540.2701
50.625,795,0.1101,615.1928,543.6852
50.9375,800,0.1012,457.8185,546.8865
51.25,805,0.1045,482.9693,550.0236
51.5625,810,0.1126,477.4696,553.1451
51.875,815,0.1045,664.588,556.7483
52.1875,820,0.1068,458.84,559.9047
52.5,825,0.1153,562.6288,563.2435
52.8125,830,0.1068,1057.3094,567.689
53.125,835,0.1012,546.2213,571.0914
53.4375,840,0.1093,596.6781,574.8177
53.75,845,0.103,558.3843,578.4108
54.0625,850,0.1112,507.1579,582.0192
54.375,855,0.1037,565.1642,585.8049
54.6875,860,0.1094,462.0193,589.1343
55.0,865,0.1084,491.6681,592.5742
55.3125,870,0.1016,888.3782,596.8662
55.625,875,0.0998,477.056,600.2438
55.9375,880,0.1017,498.0933,603.6039
56.25,885,0.1013,904.7408,607.7891
56.5625,890,0.0974,489.4709,611.1386
56.875,895,0.103,558.0425,614.6275
57.1875,900,0.1025,810.8893,618.6386
57.5,905,0.1041,647.8713,622.4115
57.8125,910,0.0969,501.5233,625.8126
58.125,915,0.095,629.89,629.3923
58.4375,920,0.1095,551.0698,632.8094
58.75,925,0.1035,601.2075,636.3099
59.0625,930,0.103,477.1702,639.596
59.375,935,0.0951,522.9689,643.131
59.6875,940,0.0963,566.1418,646.6293
60.0,945,0.0939,510.6888,649.9966
60.3125,950,0.0991,651.1481,653.5998
60.625,955,0.0946,500.0901,656.9113
60.9375,960,0.097,611.8881,660.4715
61.25,965,0.1044,742.5137,664.3642
61.5625,970,0.1005,566.1733,667.9173
61.875,975,0.0983,481.3376,671.2289
62.1875,980,0.0971,640.7704,675.0056
62.5,985,0.0978,509.9498,679.9003
62.8125,990,0.0991,744.2478,684.1597
63.125,995,0.1018,665.173,687.9001
63.4375,1000,0.1052,545.6306,691.7522
63.75,1005,0.1018,557.6278,695.5005
64.0625,1010,0.0983,613.8774,699.8931
64.375,1015,0.1039,950.6156,705.2139
64.6875,1020,0.0914,965.0797,710.3815
65.0,1025,0.1057,818.8641,715.1881
65.3125,1030,0.0929,660.1891,719.5319
65.625,1035,0.1007,578.3107,723.8215
65.9375,1040,0.0975,517.7938,727.5774
66.25,1045,0.0992,695.8624,731.7701
66.5625,1050,0.0997,530.0114,736.2806
66.875,1055,0.0976,512.672,740.6142
67.1875,1060,0.0997,808.1962,745.0565
67.5,1065,0.0992,451.0403,749.256
67.8125,1070,0.0946,631.0896,753.133
68.125,1075,0.0976,541.389,756.8288
68.4375,1080,0.094,536.4873,760.4759
68.75,1085,0.0924,571.1507,765.1771
69.0625,1090,0.0945,480.8833,769.6178
69.375,1095,0.0926,849.2941,774.8911
69.6875,1100,0.0968,903.7344,781.089
70.0,1105,0.0992,560.0455,786.7225
70.3125,1110,0.0958,743.3834,791.5286
70.625,1115,0.0943,587.8155,795.5479
70.9375,1120,0.1003,763.976,800.4387
71.25,1125,0.0967,628.9911,804.39
71.5625,1130,0.0941,747.5192,808.9088
71.875,1135,0.0979,630.2274,813.5982
72.1875,1140,0.0947,525.0392,817.6605
72.5,1145,0.0921,469.1318,822.1096
72.8125,1150,0.092,819.1799,826.1607
73.125,1155,0.0961,440.7486,829.6838
73.4375,1160,0.0947,572.2951,833.5782
73.75,1165,0.101,649.3412,838.1015
74.0625,1170,0.0971,494.7013,841.6104
74.375,1175,0.0927,838.442,845.6131
74.6875,1180,0.0948,597.4571,849.1767
75.0,1185,0.0927,474.8858,852.4025
75.3125,1190,0.0984,495.4687,855.598
75.625,1195,0.0926,496.0673,858.8609
75.9375,1200,0.0884,477.9818,862.0169
76.25,1205,0.0961,694.2495,865.6278
76.5625,1210,0.0996,444.9662,868.7786
76.875,1215,0.0947,588.0974,872.1628
77.1875,1220,0.0974,576.8199,875.6473
77.5,1225,0.0899,640.3868,879.3578
77.8125,1230,0.095,499.2984,882.7378
78.125,1235,0.0967,576.8885,886.5048
78.4375,1240,0.0934,549.5417,889.8741
78.75,1245,0.0973,553.7908,893.187
79.0625,1250,0.0944,1207.6145,897.8172
79.375,1255,0.0926,746.6495,901.4761
79.6875,1260,0.0894,563.9047,904.9258
80.0,1265,0.0923,800.4062,908.7267
80.3125,1270,0.093,675.4414,912.2156
80.625,1275,0.1005,862.1156,916.1343
80.9375,1280,0.1049,597.9091,919.4867
81.25,1285,0.0931,525.6105,922.8044
81.5625,1290,0.0963,723.151,926.5232
81.875,1295,0.0909,636.4888,930.036
82.1875,1300,0.0983,688.5065,933.8844
82.5,1305,0.0914,966.684,938.2215
82.8125,1310,0.0933,438.9414,941.3458
83.125,1315,0.0949,555.6962,944.7367
83.4375,1320,0.0954,650.3073,948.5106
83.75,1325,0.0874,476.5433,951.8418
84.0625,1330,0.1019,581.0602,955.3142
84.375,1335,0.0888,584.6393,958.6684
84.6875,1340,0.0936,613.1663,962.1399
85.0,1345,0.0903,628.1865,965.553
85.3125,1350,0.0891,601.3795,968.943
85.625,1355,0.0943,636.6823,972.3219
85.9375,1360,0.0916,602.0381,975.7725
86.25,1365,0.0998,722.1945,979.4615
86.5625,1370,0.0995,534.9059,982.8002
86.875,1375,0.0936,522.2633,986.1548
87.1875,1380,0.0933,991.3673,990.325
87.5,1385,0.0899,1073.9148,994.6827
87.8125,1390,0.0896,626.2421,998.1642
88.125,1395,0.0919,592.0223,1001.5521
88.4375,1400,0.0972,541.015,1004.8539
88.75,1405,0.0968,773.3368,1008.6649
89.0625,1410,0.0905,564.9615,1012.0666
89.375,1415,0.0895,525.9475,1015.3826
89.6875,1420,0.0948,725.8495,1019.1322
90.0,1425,0.0884,717.2027,1022.7968
90.3125,1430,0.0907,633.3948,1026.4028
90.625,1435,0.0976,557.959,1029.7332
90.9375,1440,0.0861,796.4537,1033.6009
91.25,1445,0.0946,1164.7546,1038.098
91.5625,1450,0.0919,692.9214,1041.6813
91.875,1455,0.0906,572.8558,1044.9891
92.1875,1460,0.0827,667.9336,1048.4945
92.5,1465,0.0966,754.8236,1052.2454
92.8125,1470,0.0999,654.9639,1055.7093
93.125,1475,0.0881,706.2249,1059.3109
93.4375,1480,0.0837,713.6697,1063.1545
93.75,1485,0.086,644.889,1066.6686
94.0625,1490,0.0868,894.2939,1070.8876
94.375,1495,0.0914,828.4912,1074.7303
94.6875,1500,0.0958,1051.952,1079.0152
95.0,1505,0.0812,628.8551,1082.583
95.3125,1510,0.0924,540.8564,1086.0406
95.625,1515,0.0902,1044.2952,1091.6313
95.9375,1520,0.0794,840.652,1095.9522
96.25,1525,0.0859,610.9979,1099.4847
96.5625,1530,0.0901,729.7371,1103.5513
96.875,1535,0.0924,553.2299,1106.9621
97.1875,1540,0.0874,688.2241,1110.5669
97.5,1545,0.0921,802.6813,1114.3882
97.8125,1550,0.0947,611.6514,1117.8657
98.125,1555,0.0847,960.548,1122.3054
98.4375,1560,0.0916,691.9315,1125.9356
98.75,1565,0.0925,293.2026,1128.7417
99.0625,1570,0.093,906.0248,1132.7162
99.375,1575,0.0905,550.735,1136.0649
99.6875,1580,0.085,878.4481,1139.9495
100.0,1585,0.0878,737.2032,1143.62
100.3125,1590,0.093,1720.6091,1149.3947
100.625,1595,0.0928,875.5427,1153.3096
100.9375,1600,0.0805,632.3172,1157.0537
