epochs,steps,loss,rewards,time
1.25,5,0.0806,2155.6248,6.7591
1.5625,10,0.0889,2105.0234,14.3604
1.875,15,0.091,1685.8132,20.41
2.1875,20,0.0799,1895.8772,26.7862
2.5,25,0.0896,1319.3619,31.8253
2.8125,30,0.0876,1354.5096,37.2267
3.125,35,0.0878,960.0037,41.3187
3.4375,40,0.0925,1015.4303,45.6047
3.75,45,0.095,1017.0343,49.6809
4.0625,50,0.0861,1043.4016,53.939
4.375,55,0.0925,1331.6832,58.9481
4.6875,60,0.0879,1102.8385,63.3926
5.0,65,0.0928,985.9543,67.4884
5.3125,70,0.0846,959.0883,71.5488
5.625,75,0.0892,951.3566,75.9055
5.9375,80,0.0938,1129.3453,80.7985
6.25,85,0.0905,1257.7209,85.5955
6.5625,90,0.0838,1259.3229,90.5125
6.875,95,0.0928,940.8812,94.8129
7.1875,100,0.0831,1054.5782,98.9797
7.5,105,0.0861,1535.1019,104.3877
7.8125,110,0.0823,1318.9724,109.3853
8.125,115,0.0872,1229.4545,115.1342
8.4375,120,0.0936,1875.3076,122.3235
8.75,125,0.0942,1535.8308,127.6
9.0625,130,0.0833,1153.2269,132.3367
9.375,135,0.0826,1598.6589,138.4418
9.6875,140,0.0892,1451.5652,143.6975
10.0,145,0.0926,1062.1318,147.8607
10.3125,150,0.0961,1818.8591,153.7366
10.625,155,0.0888,965.642,157.8316
10.9375,160,0.0891,997.3119,161.9468
11.25,165,0.0795,1292.7744,166.8261
11.5625,170,0.0881,1015.7324,170.9611
11.875,175,0.089,1224.6594,175.6736
12.1875,180,0.0837,2164.3127,182.8323
12.5,185,0.0958,1141.6772,187.6622
12.8125,190,0.0876,1481.2529,193.0651
13.125,195,0.091,1729.3069,198.8523
13.4375,200,0.0852,1036.1025,203.0553
13.75,205,0.0918,1907.8197,209.022
14.0625,210,0.0907,831.1964,212.8009
14.375,215,0.0939,1328.6152,217.5965
14.6875,220,0.0833,1346.7805,222.4225
15.0,225,0.0968,2074.4187,229.0798
15.3125,230,0.0931,2057.3123,235.9961
15.625,235,0.0924,1016.2407,240.2413
15.9375,240,0.0849,1921.4075,246.3514
16.25,245,0.0849,1434.7318,251.3118
16.5625,250,0.0878,1127.748,255.6642
16.875,255,0.0921,1237.6572,260.2443
17.1875,260,0.0878,1057.1255,264.4403
17.5,265,0.0796,1015.9664,268.6196
17.8125,270,0.0871,2260.0605,275.4762
18.125,275,0.0846,970.8048,279.4877
18.4375,280,0.085,899.1967,283.6361
18.75,285,0.0871,980.3252,287.7809
19.0625,290,0.0893,1025.8831,291.889
19.375,295,0.0897,794.6978,295.607
19.6875,300,0.088,1249.6281,300.2044
20.0,305,0.0896,1391.8691,305.2428
20.3125,310,0.09,1420.2014,310.3345
20.625,315,0.0863,2867.9395,318.6099
20.9375,320,0.0847,999.3049,322.6707
21.25,325,0.0802,1090.6995,326.9266
21.5625,330,0.0868,1035.4324,331.1251
21.875,335,0.0899,1218.0929,335.5629
22.1875,340,0.0929,957.433,339.5573
22.5,345,0.0869,1074.2368,343.9393
22.8125,350,0.0857,1769.0046,349.5251
23.125,355,0.0849,1325.5757,354.2931
23.4375,360,0.0924,1081.7222,358.4975
23.75,365,0.0812,1500.1102,363.7216
24.0625,370,0.088,1023.5226,367.82
24.375,375,0.0828,1380.3889,372.6262
24.6875,380,0.087,1682.1625,378.1435
25.0,385,0.0953,1255.132,382.7273
25.3125,390,0.0906,1263.8179,387.5124
25.625,395,0.0869,984.1149,391.5062
25.9375,400,0.0931,1580.8699,397.067
26.25,405,0.0851,1679.0192,403.6392
26.5625,410,0.0896,1597.1461,409.7218
26.875,415,0.0899,1130.8054,414.1341
27.1875,420,0.0809,1781.1855,420.2433
27.5,425,0.0895,1884.718,426.2138
27.8125,430,0.085,1247.4594,430.8252
28.125,435,0.0836,2058.7195,437.7187
28.4375,440,0.0867,1105.5469,442.8827
28.75,445,0.0923,2357.6125,449.755
29.0625,450,0.0873,974.2043,454.0651
29.375,455,0.086,1743.3416,460.1827
29.6875,460,0.0842,1083.3005,464.7875
30.0,465,0.0881,1409.6721,469.9163
30.3125,470,0.089,1030.7913,474.1847
30.625,475,0.0884,1019.6851,478.9604
30.9375,480,0.082,1313.5151,483.8645
31.25,485,0.0899,1102.0381,488.2404
31.5625,490,0.079,1480.1302,493.3687
31.875,495,0.0888,1080.7605,498.3377
32.1875,500,0.0904,2125.9285,504.7096
32.5,505,0.0882,1536.3151,509.9729
32.8125,510,0.0892,2151.1797,516.4284
33.125,515,0.081,1565.8649,521.8344
33.4375,520,0.0928,1533.1434,526.9745
33.75,525,0.0826,1066.7268,531.8018
34.0625,530,0.0864,2184.2271,539.5976
34.375,535,0.0906,877.0845,543.8591
34.6875,540,0.0873,2582.7637,552.2451
35.0,545,0.0851,1444.9938,558.0472
35.3125,550,0.0943,2730.051,566.8376
35.625,555,0.0876,1617.3939,573.0983
35.9375,560,0.0949,2596.5737,581.1979
36.25,565,0.079,1179.3428,585.7175
36.5625,570,0.0761,1037.2367,589.8967
36.875,575,0.0875,1727.5261,595.4966
37.1875,580,0.0856,2135.9153,601.97
37.5,585,0.0831,1566.5234,607.1836
37.8125,590,0.0901,1318.0234,612.4666
38.125,595,0.0843,1849.8718,618.9449
38.4375,600,0.079,1818.917,625.913
38.75,605,0.087,2093.8655,632.6633
39.0625,610,0.0887,1764.842,638.467
39.375,615,0.0873,1114.2301,642.8316
39.6875,620,0.0866,1110.9832,647.0936
40.0,625,0.0878,1046.7513,651.4016
40.3125,630,0.0913,1985.5378,657.9445
40.625,635,0.0828,2262.5825,665.7455
40.9375,640,0.0833,1897.2477,672.3904
41.25,645,0.0842,1750.2605,678.0382
41.5625,650,0.0842,1759.0479,683.6932
41.875,655,0.0905,1342.5974,688.6267
42.1875,660,0.087,1820.1719,694.7204
42.5,665,0.0948,1041.2788,698.8584
42.8125,670,0.0815,1605.0951,704.2396
43.125,675,0.089,1404.0219,709.5949
43.4375,680,0.0838,1760.4684,715.957
43.75,685,0.0837,1871.6191,721.9611
44.0625,690,0.0847,1642.3617,727.813
44.375,695,0.0913,1492.3915,733.5903
44.6875,700,0.0871,1659.7363,739.9527
45.0,705,0.0796,1904.8112,745.7936
45.3125,710,0.085,1037.3667,750.0107
45.625,715,0.0853,1836.6379,755.9161
45.9375,720,0.0829,1273.8575,760.6762
46.25,725,0.0809,1241.9788,765.4891
46.5625,730,0.0839,1121.9779,771.0476
46.875,735,0.0847,1638.2478,776.9174
47.1875,740,0.0912,1559.7885,782.7003
47.5,745,0.087,1246.2653,787.3371
47.8125,750,0.0885,1733.7582,793.2348
48.125,755,0.0833,1589.1143,799.0103
48.4375,760,0.0868,1593.1863,804.8073
48.75,765,0.0848,2186.085,811.3556
49.0625,770,0.0832,1442.6965,816.3731
49.375,775,0.0808,1108.6835,820.8191
49.6875,780,0.0869,1422.7188,825.7545
50.0,785,0.0881,1075.5374,830.1158
50.3125,790,0.0802,1848.2604,836.2893
50.625,795,0.0805,2291.7246,843.1835
50.9375,800,0.0844,1869.5557,849.2816
51.25,805,0.0825,2375.9197,857.0372
51.5625,810,0.0867,1074.2184,861.344
51.875,815,0.0825,1820.5853,867.3912
52.1875,820,0.0783,1533.3334,872.6556
52.5,825,0.0822,1559.0789,877.8172
52.8125,830,0.0819,1824.9734,883.6666
53.125,835,0.0783,3017.6968,891.985
53.4375,840,0.0782,1431.5404,897.0507
53.75,845,0.088,1546.2385,902.7756
54.0625,850,0.09,1840.1511,908.6808
54.375,855,0.0854,2239.6909,915.7623
54.6875,860,0.0895,1065.7231,920.0625
55.0,865,0.0789,1987.3359,926.5154
55.3125,870,0.0769,334.5924,929.4794
55.625,875,0.0807,1897.1418,935.9141
55.9375,880,0.0809,1547.5074,941.095
56.25,885,0.0806,2651.0903,949.372
56.5625,890,0.0877,1754.843,955.2732
56.875,895,0.0819,961.4794,959.4273
57.1875,900,0.0792,1648.5043,965.3457
57.5,905,0.0787,1997.3658,972.1489
57.8125,910,0.0864,2051.7095,978.6482
58.125,915,0.0818,3345.4661,988.0181
58.4375,920,0.0866,2365.2766,995.8439
58.75,925,0.0887,1735.1279,1001.6764
59.0625,930,0.0856,1949.2406,1008.0386
59.375,935,0.0783,1210.2152,1013.0275
59.6875,940,0.0814,2105.5095,1019.8119
60.0,945,0.0867,1164.0322,1024.366
60.3125,950,0.0848,1473.0729,1029.4511
60.625,955,0.0839,1930.7493,1035.5392
60.9375,960,0.0835,1779.5485,1041.7802
61.25,965,0.0841,1943.225,1048.4031
61.5625,970,0.0788,2010.4277,1054.6712
61.875,975,0.0873,1351.8889,1059.5027
62.1875,980,0.0942,2269.405,1066.392
62.5,985,0.0873,1275.9233,1071.0797
62.8125,990,0.0891,2192.9893,1078.0817
63.125,995,0.0823,974.9531,1082.4828
63.4375,1000,0.0839,1225.4861,1087.2316
63.75,1005,0.0747,2736.7266,1095.134
64.0625,1010,0.0779,1774.8848,1100.9672
64.375,1015,0.0801,2410.1301,1108.3383
64.6875,1020,0.0807,1599.7451,1113.7062
65.0,1025,0.0797,2799.8164,1121.9001
65.3125,1030,0.0832,2212.4133,1129.1409
65.625,1035,0.0788,1194.6248,1133.6689
65.9375,1040,0.0843,2331.0049,1140.6549
66.25,1045,0.0794,2021.9988,1146.8118
66.5625,1050,0.1011,2069.0483,1153.4062
66.875,1055,0.0859,2469.1743,1160.6795
67.1875,1060,0.0787,2092.4922,1167.8007
67.5,1065,0.0866,1582.6135,1173.347
67.8125,1070,0.0808,1591.8229,1178.616
68.125,1075,0.0861,1577.8687,1184.7332
68.4375,1080,0.0763,1323.2805,1189.9058
68.75,1085,0.0832,2000.6709,1196.7293
69.0625,1090,0.0863,1811.9752,1203.2189
69.375,1095,0.079,2054.322,1210.5817
69.6875,1100,0.084,2260.0664,1217.5322
70.0,1105,0.0828,1302.7273,1222.2748
70.3125,1110,0.0819,2449.5835,1229.5552
70.625,1115,0.0897,1514.6237,1234.8687
70.9375,1120,0.0788,2860.2468,1243.2072
71.25,1125,0.0865,1340.1677,1248.4449
71.5625,1130,0.0853,2583.4116,1256.7613
71.875,1135,0.0855,977.6104,1260.9531
72.1875,1140,0.0833,2235.49,1268.1777
72.5,1145,0.0816,1126.597,1273.2695
72.8125,1150,0.0816,2015.8552,1279.6403
73.125,1155,0.0863,1765.1472,1285.8292
73.4375,1160,0.0776,2485.0725,1293.488
73.75,1165,0.0776,1754.0303,1299.8988
74.0625,1170,0.0785,2422.4375,1307.2978
74.375,1175,0.084,1516.7281,1312.7719
74.6875,1180,0.0788,2656.4146,1320.3098
75.0,1185,0.0823,3046.5503,1328.868
75.3125,1190,0.0809,1128.6012,1333.2269
75.625,1195,0.0821,1870.6696,1339.0647
75.9375,1200,0.0802,2634.062,1347.1072
76.25,1205,0.0809,1321.6113,1351.8189
76.5625,1210,0.0822,2320.6912,1359.1482
76.875,1215,0.0843,1386.7513,1364.6179
77.1875,1220,0.0858,1816.7595,1371.0202
77.5,1225,0.0907,1604.7419,1376.5453
77.8125,1230,0.0855,2033.739,1383.0661
78.125,1235,0.0895,1460.4324,1388.2654
78.4375,1240,0.0804,2546.7319,1396.1919
78.75,1245,0.078,1675.401,1402.3271
79.0625,1250,0.0852,2239.7566,1409.7062
79.375,1255,0.088,2047.442,1416.2261
79.6875,1260,0.0754,2349.9043,1423.1412
80.0,1265,0.0841,997.5405,1427.6224
80.3125,1270,0.0859,1843.3842,1433.4804
80.625,1275,0.0859,1235.899,1438.5476
80.9375,1280,0.0834,2191.5867,1445.7123
81.25,1285,0.0809,2030.391,1453.1768
81.5625,1290,0.0784,1883.0457,1460.4735
81.875,1295,0.0809,1335.1707,1466.1432
82.1875,1300,0.0832,2333.7251,1476.8704
