time,epochs,loss,steps,rewards
2.0413,1.25,0.3902,5,21.2802
4.0575,1.5625,0.3773,10,19.454
6.0622,1.875,0.3747,15,20.4992
8.0296,2.1875,0.3816,20,20.3373
10.0912,2.5,0.4055,25,20.9395
12.1183,2.8125,0.3612,30,23.0445
14.1115,3.125,0.3731,35,18.9021
16.145,3.4375,0.3369,40,22.3564
18.15,3.75,0.3807,45,21.0446
20.1754,4.0625,0.3356,50,19.981
22.2464,4.375,0.3297,55,21.8862
24.2712,4.6875,0.3197,60,19.7086
26.2886,5.0,0.3104,65,20.0314
28.3501,5.3125,0.3106,70,24.6908
30.3375,5.625,0.3032,75,21.2989
32.9062,5.9375,0.2699,80,125.5821
35.6208,6.25,0.2627,85,198.6373
38.9832,6.5625,0.2635,90,372.6349
42.4254,6.875,0.2521,95,434.8281
45.7418,7.1875,0.2315,100,421.552
48.9099,7.5,0.2277,105,414.2839
52.0025,7.8125,0.2282,110,411.7173
55.0337,8.125,0.2236,115,391.9884
58.0192,8.4375,0.2115,120,385.6354
61.0943,8.75,0.2237,125,405.5634
64.2463,9.0625,0.2255,130,455.0911
67.2328,9.375,0.2095,135,390.8229
70.1765,9.6875,0.2045,140,391.4415
73.1496,10.0,0.2157,145,397.6147
76.1447,10.3125,0.1859,150,402.3969
79.1912,10.625,0.1928,155,409.6523
82.209,10.9375,0.1854,160,408.9052
85.2201,11.25,0.1813,165,418.5993
88.3197,11.5625,0.1794,170,441.846
91.3697,11.875,0.1764,175,429.8018
94.3529,12.1875,0.1812,180,424.2292
97.3965,12.5,0.1705,185,421.4059
100.4063,12.8125,0.1734,190,416.9657
103.4623,13.125,0.1731,195,421.8006
106.497,13.4375,0.1733,200,422.6937
109.4838,13.75,0.1648,205,426.7371
112.5016,14.0625,0.1631,210,420.9306
115.4724,14.375,0.1695,215,414.3053
118.7065,14.6875,0.1606,220,526.2853
121.7116,15.0,0.1577,225,434.8868
124.744,15.3125,0.1626,230,430.9647
127.7322,15.625,0.1643,235,423.5919
130.7307,15.9375,0.1647,240,428.98
134.0565,16.25,0.1663,245,535.5729
137.1993,16.5625,0.157,250,495.4299
140.6425,16.875,0.1557,255,652.7366
143.7577,17.1875,0.1529,260,468.9973
147.1368,17.5,0.1529,265,588.9113
150.4781,17.8125,0.1598,270,600.1152
154.1108,18.125,0.1545,275,684.3983
157.4595,18.4375,0.1589,280,557.7842
160.5771,18.75,0.1538,285,518.093
163.5987,19.0625,0.1547,290,466.8605
166.711,19.375,0.1446,295,477.4549
169.9071,19.6875,0.1431,300,550.0704
173.0685,20.0,0.1577,305,517.5428
176.6103,20.3125,0.1406,310,695.2266
179.6784,20.625,0.1429,315,484.5483
183.1582,20.9375,0.1375,320,606.529
186.484,21.25,0.1385,325,605.3917
190.0183,21.5625,0.1369,330,711.9398
193.5724,21.875,0.1388,335,715.3595
196.832,22.1875,0.1312,340,544.5443
201.0046,22.5,0.1196,345,913.2583
205.2876,22.8125,0.1322,350,1036.9954
209.3024,23.125,0.129,355,930.7148
212.7084,23.4375,0.1332,360,578.5127
216.8878,23.75,0.1313,365,1024.6223
220.9413,24.0625,0.1311,370,964.7933
224.6209,24.375,0.1307,375,782.9669
227.8217,24.6875,0.1338,380,543.0694
231.0664,25.0,0.1365,385,514.675
234.2936,25.3125,0.1207,390,499.3455
238.8388,25.625,0.1401,395,1172.7329
242.7763,25.9375,0.1285,400,907.2762
246.8177,26.25,0.1223,405,949.9829
251.0973,26.5625,0.1297,410,1053.9728
255.6035,26.875,0.1208,415,1120.025
258.8987,27.1875,0.1249,420,587.5145
262.8385,27.5,0.1225,425,890.3494
265.9501,27.8125,0.1195,430,503.4799
270.1595,28.125,0.1199,435,934.9863
274.3798,28.4375,0.1283,440,1056.3728
278.9218,28.75,0.1269,445,1215.4348
282.7017,29.0625,0.1248,450,829.3925
287.6034,29.375,0.1245,455,1268.265
292.7355,29.6875,0.124,460,1491.0466
297.6029,30.0,0.1164,465,1343.847
303.9119,30.3125,0.1276,470,2066.7273
308.5217,30.625,0.123,475,1138.2693
314.0103,30.9375,0.1158,480,1643.4539
320.2794,31.25,0.1185,485,1894.5918
325.8605,31.5625,0.1182,490,1672.3981
329.482,31.875,0.1162,495,736.8713
334.0197,32.1875,0.125,500,1200.1499
338.1057,32.5,0.1247,505,984.9489
342.4845,32.8125,0.1233,510,1092.8323
346.5496,33.125,0.126,515,920.0697
351.0235,33.4375,0.1148,520,1167.9087
355.5285,33.75,0.1104,525,1216.2939
360.0938,34.0625,0.1161,530,1254.9408
363.9683,34.375,0.1217,535,817.5884
370.1617,34.6875,0.1088,540,1987.1101
374.9397,35.0,0.1295,545,1331.7
379.6775,35.3125,0.1116,550,1297.676
383.9066,35.625,0.1174,555,1051.7112
389.9978,35.9375,0.1226,560,1925.1869
394.1707,36.25,0.1172,565,978.737
399.5709,36.5625,0.114,570,1549.6331
403.8943,36.875,0.1166,575,1074.9188
408.2597,37.1875,0.1144,580,1104.1265
412.7995,37.5,0.1188,585,1193.5465
418.3878,37.8125,0.1138,590,1726.2679
422.2869,38.125,0.1223,595,869.7134
427.0008,38.4375,0.1103,600,1269.5127
431.2624,38.75,0.1108,605,1033.9524
435.7114,39.0625,0.1108,610,1079.5712
440.2869,39.375,0.1114,615,1188.6965
445.5619,39.6875,0.1093,620,1510.5231
450.1289,40.0,0.1068,625,1145.304
454.4142,40.3125,0.1171,630,1100.1096
461.1883,40.625,0.1077,635,2126.262
465.6588,40.9375,0.1051,640,1070.4227
471.0929,41.25,0.1133,645,1646.0046
475.2471,41.5625,0.1106,650,1001.2547
479.9959,41.875,0.1091,655,1261.2971
485.7398,42.1875,0.1045,660,1481.5601
491.2543,42.5,0.1094,665,1610.2812
495.9949,42.8125,0.1101,670,1316.0671
500.676,43.125,0.1146,675,1222.4901
505.7129,43.4375,0.1126,680,1458.0842
510.5711,43.75,0.1123,685,1266.6344
514.7315,44.0625,0.0997,690,981.7697
520.6525,44.375,0.1125,695,1809.7383
525.1816,44.6875,0.1041,700,1211.7217
530.6617,45.0,0.1088,705,1621.4773
535.0707,45.3125,0.1105,710,1154.4429
540.4827,45.625,0.1109,715,1612.5625
545.4132,45.9375,0.11,720,1403.4387
548.9422,46.25,0.1163,725,714.2659
553.6529,46.5625,0.1068,730,1288.0166
557.8869,46.875,0.1135,735,1065.2888
562.677,47.1875,0.0996,740,1314.1846
567.2067,47.5,0.1093,745,1214.1553
572.1923,47.8125,0.1054,750,1413.8475
577.1177,48.125,0.1043,755,1387.7516
582.8952,48.4375,0.1221,760,1806.2943
587.5454,48.75,0.1135,765,936.7891
592.2295,49.0625,0.1069,770,1245.9628
597.4803,49.375,0.1065,775,1517.1904
602.2079,49.6875,0.1062,780,1172.1488
606.8801,50.0,0.1112,785,1278.9021
611.4674,50.3125,0.1097,790,1155.1061
615.9819,50.625,0.101,795,1201.3035
622.1304,50.9375,0.1101,800,1947.6074
626.4959,51.25,0.1113,805,1013.2374
631.415,51.5625,0.1126,810,1376.488
635.6617,51.875,0.1085,815,1068.6051
640.5717,52.1875,0.107,820,1394.729
645.1409,52.5,0.1044,825,1200.6465
649.0407,52.8125,0.1028,830,879.6151
653.8815,53.125,0.1106,835,1346.4548
659.0722,53.4375,0.1005,840,1493.0681
663.3084,53.75,0.1071,845,1076.8397
668.1676,54.0625,0.0986,850,1339.2881
672.5745,54.375,0.1021,855,1167.1951
677.3904,54.6875,0.1027,860,1342.0945
