loss,steps,rewards,time,epochs
0.9325,5,-2.7393,2.4797,1.2667
0.9683,10,-2.7107,4.8551,1.6
0.9724,15,-2.7017,7.2242,1.9333
0.9708,20,-2.7961,9.7348,2.2667
0.922,25,-2.6486,12.199,2.6
0.9112,30,-2.7501,14.6618,2.9333
0.9486,35,-2.8038,17.0874,3.2667
0.9725,40,-2.8101,19.5785,3.6
0.8944,45,-2.6082,22.052,3.9333
0.9032,50,-2.9471,24.5285,4.2667
0.9057,55,-2.7821,27.0414,4.6
0.8395,60,-2.5834,29.5189,4.9333
0.8547,65,-2.5664,32.0176,5.2667
0.8642,70,-2.611,34.4677,5.6
0.8788,75,-2.7889,36.9502,5.9333
0.8032,80,-2.7202,39.3724,6.2667
0.8379,85,-2.7031,41.943,6.6
0.7956,90,-2.7658,44.5181,6.9333
0.7965,95,-2.5531,47.1153,7.2667
0.8365,100,-2.9148,49.6747,7.6
0.6967,105,-2.9716,52.1246,7.9333
0.7383,110,-2.8874,54.6093,8.2667
0.6836,115,-2.9068,57.1097,8.6
0.6855,120,-2.8652,59.6099,8.9333
0.6569,125,-2.914,62.0726,9.2667
0.6642,130,-2.8744,64.5332,9.6
0.6716,135,-2.8063,67.005,9.9333
0.6103,140,-2.8387,69.4942,10.2667
0.5469,145,-2.7996,71.9974,10.6
0.5842,150,-2.7878,74.4613,10.9333
0.5363,155,-2.8818,76.9203,11.2667
0.4689,160,-3.1043,79.4126,11.6
0.5354,165,-2.9093,81.8725,11.9333
0.4959,170,-2.9256,84.367,12.2667
0.4729,175,-3.017,86.8167,12.6
0.4468,180,-3.0753,89.4138,12.9333
0.447,185,-3.0452,91.9742,13.2667
0.4396,190,-2.8472,94.6396,13.6
0.3438,195,-3.0736,97.2676,13.9333
0.3382,200,-3.1291,99.9184,14.2667
0.3687,205,-3.1714,102.3783,14.6
0.2879,210,-3.2159,104.9091,14.9333
0.264,215,-3.3123,107.4221,15.2667
0.3117,220,-3.258,110.1286,15.6
0.2355,225,-3.2967,112.6498,15.9333
0.2813,230,-3.3286,115.1456,16.2667
0.212,235,-3.3398,117.6347,16.6
0.2188,240,-3.2575,120.1544,16.9333
0.2422,245,-3.3383,122.6815,17.2667
0.2064,250,-3.2292,125.2085,17.6
0.2312,255,-3.2595,127.725,17.9333
0.176,260,-3.2111,130.2364,18.2667
0.1817,265,-3.2407,132.7362,18.6
0.187,270,-3.0702,135.1832,18.9333
0.1858,275,-2.9961,137.7062,19.2667
0.2319,280,-3.1883,140.1902,19.6
0.1761,285,-3.2284,142.728,19.9333
0.1217,290,-2.9289,145.254,20.2667
0.1452,295,-3.2653,147.8488,20.6
0.1454,300,-4.3526,150.4984,20.9333
0.1261,305,-4.1576,153.1118,21.2667
0.1296,310,-3.3909,155.7892,21.6
0.1231,315,-2.8454,158.5171,21.9333
0.1307,320,-1.6286,161.2934,22.2667
0.1195,325,-2.1516,164.1294,22.6
0.1316,330,-15.8204,166.9976,22.9333
0.1155,335,-10.5233,170.1157,23.2667
0.1099,340,14.0088,173.4169,23.6
0.0955,345,137.9492,177.2604,23.9333
0.1077,350,456.0225,181.54,24.2667
0.1098,355,162.6375,185.4257,24.6
0.1032,360,54.2896,188.6989,24.9333
0.1035,365,236.1498,193.1991,25.2667
0.0992,370,115.9338,197.1099,25.6
0.1,375,132.9149,201.0825,25.9333
0.097,380,97.7775,204.6861,26.2667
0.0932,385,102.4885,208.2168,26.6
0.1005,390,106.6363,212.2208,26.9333
0.1014,395,73.6846,216.1973,27.2667
0.0902,400,49.8726,219.8688,27.6
0.0951,405,46.3227,223.5468,27.9333
0.1012,410,40.9487,227.2751,28.2667
0.089,415,21.7498,230.6288,28.6
0.0936,420,50.0784,234.2703,28.9333
0.086,425,56.0267,237.9766,29.2667
0.0894,430,47.2381,241.7109,29.6
0.0892,435,30.4422,245.1126,29.9333
0.0921,440,23.6127,248.509,30.2667
0.0886,445,15.2837,251.9746,30.6
0.0832,450,12.9925,255.2598,30.9333
0.0848,455,13.3864,258.6424,31.2667
0.0833,460,12.6883,262.213,31.6
0.0872,465,10.635,265.7253,31.9333
0.0806,470,9.5092,269.1207,32.2667
0.0743,475,6.0839,272.4986,32.6
0.0823,480,4.1881,275.9726,32.9333
0.0844,485,4.4349,279.3261,33.2667
0.0836,490,5.8194,282.7221,33.6
0.0897,495,6.5106,286.1053,33.9333
0.0841,500,6.0034,289.3488,34.2667
0.0824,505,5.6439,292.7546,34.6
0.0814,510,4.236,296.0834,34.9333
0.0874,515,5.0227,299.4488,35.2667
0.0811,520,2.8997,302.7869,35.6
0.0786,525,4.4821,306.2008,35.9333
0.0776,530,4.3964,309.6983,36.2667
0.0854,535,7.6431,313.1116,36.6
0.0924,540,4.277,316.6007,36.9333
0.0793,545,2.0785,319.9613,37.2667
0.0864,550,3.8376,323.2484,37.6
0.0823,555,5.3787,326.5201,37.9333
0.0799,560,6.2328,329.9348,38.2667
0.0827,565,7.7049,333.3389,38.6
0.0741,570,8.5118,336.7141,38.9333
0.0797,575,9.6423,340.2379,39.2667
0.0749,580,7.0094,343.5536,39.6
0.0766,585,5.6791,346.8873,39.9333
0.075,590,6.9659,350.4112,40.2667
0.0854,595,5.0561,353.82,40.6
0.0944,600,4.961,357.1711,40.9333
0.0831,605,4.4751,360.5507,41.2667
0.0771,610,5.3126,364.1428,41.6
0.0853,615,4.9043,367.6118,41.9333
0.0779,620,5.8454,371.5305,42.2667
0.0716,625,6.67,375.5139,42.6
0.0808,630,5.3852,379.0535,42.9333
0.0819,635,7.0582,382.4353,43.2667
0.0726,640,6.3501,385.8809,43.6
0.0814,645,6.3723,389.2474,43.9333
0.0754,650,8.0519,392.6043,44.2667
0.0751,655,9.4006,396.0,44.6
0.0704,660,8.2106,399.341,44.9333
0.0702,665,11.316,402.7433,45.2667
0.0758,670,8.318,406.0479,45.6
0.0718,675,9.2258,409.3896,45.9333
0.0746,680,9.3763,412.8383,46.2667
0.0734,685,8.2076,416.3522,46.6
0.0711,690,8.1436,419.7622,46.9333
0.068,695,8.4917,423.2801,47.2667
0.0747,700,8.5793,426.6084,47.6
0.0743,705,9.5687,430.0303,47.9333
0.0738,710,9.5074,433.3924,48.2667
0.0691,715,8.6552,436.779,48.6
0.0799,720,8.7545,440.1593,48.9333
0.073,725,7.9252,443.5573,49.2667
0.0723,730,5.4808,446.9166,49.6
0.071,735,9.8158,450.2552,49.9333
0.0692,740,8.0592,453.6167,50.2667
0.0719,745,9.2194,457.0449,50.6
0.0729,750,9.842,460.546,50.9333
0.0731,755,8.3509,464.0287,51.2667
0.0672,760,10.3686,467.5082,51.6
0.0702,765,9.2919,470.9635,51.9333
0.0716,770,8.2377,474.3923,52.2667
0.0809,775,9.0378,477.8,52.6
0.0691,780,9.4467,481.1217,52.9333
0.0746,785,11.3946,484.6355,53.2667
0.0727,790,12.0271,488.0501,53.6
0.0689,795,14.2083,491.5145,53.9333
0.0648,800,14.0804,494.986,54.2667
0.0802,805,12.7584,498.4192,54.6
0.0727,810,12.0162,501.9088,54.9333
0.0702,815,12.9862,505.3592,55.2667
0.0699,820,12.6037,508.9164,55.6
0.0661,825,13.244,512.2536,55.9333
0.0698,830,14.843,515.6061,56.2667
0.0631,835,12.1989,519.0807,56.6
0.0689,840,12.8339,522.4172,56.9333
0.0647,845,13.9131,525.8044,57.2667
0.0655,850,10.6084,529.1862,57.6
0.0713,855,10.0194,532.5813,57.9333
0.0644,860,10.3992,536.0175,58.2667
0.0759,865,11.6468,539.4842,58.6
0.0716,870,13.9992,543.0029,58.9333
0.0638,875,14.6515,546.483,59.2667
0.0706,880,15.547,549.9491,59.6
0.0756,885,12.6605,553.27,59.9333
0.064,890,11.4519,556.7037,60.2667
0.0671,895,12.4475,560.1246,60.6
0.0783,900,12.1273,563.6146,60.9333
0.0643,905,10.8486,567.0326,61.2667
0.0728,910,9.3105,570.4023,61.6
0.0676,915,11.8717,573.8281,61.9333
0.0696,920,12.5357,577.2372,62.2667
0.066,925,9.752,580.525,62.6
0.067,930,11.3709,583.8914,62.9333
0.0637,935,13.0553,587.2279,63.2667
0.0669,940,11.7454,590.5877,63.6
0.0619,945,11.2158,594.0646,63.9333
0.0771,950,12.9868,597.3878,64.2667
0.0714,955,11.5168,600.6275,64.6
0.069,960,11.89,603.9736,64.9333
0.0724,965,13.6265,607.2812,65.2667
0.0704,970,17.2831,610.6873,65.6
0.0632,975,17.1509,614.178,65.9333
0.0687,980,14.4264,617.5404,66.2667
0.0657,985,14.4058,620.9659,66.6
0.0685,990,12.0208,624.467,66.9333
0.0673,995,10.6472,627.8012,67.2667
0.0628,1000,8.6769,631.0792,67.6
0.0659,1005,11.7652,634.4434,67.9333
0.0647,1010,18.8008,637.8492,68.2667
0.0672,1015,11.7305,641.321,68.6
0.0625,1020,14.1864,644.7091,68.9333
0.0695,1025,13.7134,648.1304,69.2667
0.0661,1030,14.1202,651.6342,69.6
0.0718,1035,14.1017,654.9361,69.9333
0.0656,1040,18.1288,658.3836,70.2667
0.0609,1045,12.8905,661.7278,70.6
0.064,1050,16.3252,665.2433,70.9333
0.0626,1055,16.4866,668.666,71.2667
