loss,steps,rewards,time,epochs
0.7649,5,-7.4686,2.5354,1.2667
0.7775,10,-7.3901,4.9983,1.6
0.7697,15,-7.1844,7.5044,1.9333
0.8283,20,-7.243,10.0058,2.2667
0.7811,25,-7.0865,12.5461,2.6
0.7632,30,-7.3447,15.1377,2.9333
0.799,35,-7.5636,17.7083,3.2667
0.749,40,-7.3418,20.2541,3.6
0.7691,45,-7.4749,22.8198,3.9333
0.7613,50,-7.4726,25.3757,4.2667
0.7613,55,-7.4139,27.9507,4.6
0.7168,60,-7.532,30.5754,4.9333
0.7426,65,-7.1451,33.1151,5.2667
0.7487,70,-7.3447,35.6747,5.6
0.7334,75,-7.2687,38.2728,5.9333
0.7673,80,-7.2472,40.8298,6.2667
0.7279,85,-7.0301,43.377,6.6
0.7065,90,-6.9178,45.9619,6.9333
0.6781,95,-7.2322,48.4868,7.2667
0.6851,100,-7.0492,51.1043,7.6
0.6864,105,-6.8539,55.5753,7.9333
0.6445,110,-7.1143,58.5431,8.2667
0.6748,115,-6.7554,61.4276,8.6
0.6271,120,-7.386,64.1651,8.9333
0.617,125,-6.5281,66.7673,9.2667
0.6408,130,-6.8297,69.3673,9.6
0.6108,135,-6.9618,71.9352,9.9333
0.5979,140,-6.26,74.5472,10.2667
0.5981,145,-6.7173,77.208,10.6
0.5762,150,-6.0013,79.7871,10.9333
0.5778,155,-6.687,82.373,11.2667
0.5568,160,-6.0088,84.9492,11.6
0.5126,165,-6.1005,87.5173,11.9333
0.5017,170,-6.013,90.1461,12.2667
0.5017,175,-5.7328,92.6828,12.6
0.4643,180,-6.0364,95.2584,12.9333
0.461,185,-5.5985,97.8353,13.2667
0.4589,190,-5.5083,100.4635,13.6
0.4196,195,-5.1543,103.1095,13.9333
0.4339,200,-5.2715,105.7364,14.2667
0.3903,205,-3.115,108.3703,14.6
0.3914,210,-4.3779,111.0076,14.9333
0.3716,215,-4.1238,113.6688,15.2667
0.3549,220,-4.0426,116.3057,15.6
0.3455,225,-3.5164,118.9435,15.9333
0.3279,230,-0.3504,121.5345,16.2667
0.3276,235,-1.9376,124.1228,16.6
0.29,240,-0.7116,126.6913,16.9333
0.2844,245,-0.0135,129.3385,17.2667
0.2706,250,-1.4687,131.9945,17.6
0.2624,255,5.1919,134.68,17.9333
0.2377,260,14.3137,137.5667,18.2667
0.2403,265,10.9019,140.5178,18.6
0.2111,270,10.8066,143.4043,18.9333
0.2071,275,15.91,146.6838,19.2667
0.201,280,13.285,150.0342,19.6
0.179,285,22.479,153.4369,19.9333
0.1905,290,2.9224,156.8983,20.2667
0.2015,295,7.9509,160.3934,20.6
0.1749,300,20.2328,163.6859,20.9333
0.1699,305,13.6033,166.9807,21.2667
0.1703,310,5.8299,170.4162,21.6
0.1583,315,1.2442,173.7479,21.9333
0.1644,320,18.3661,177.073,22.2667
0.1565,325,4.8733,180.3148,22.6
0.155,330,8.4034,183.6542,22.9333
0.1427,335,9.1767,186.9066,23.2667
0.1426,340,8.9413,190.1712,23.6
0.1447,345,11.2189,193.3647,23.9333
0.1393,350,10.3976,196.535,24.2667
0.1408,355,9.4269,199.7952,24.6
0.1323,360,3.5235,202.9365,24.9333
0.1294,365,15.4338,206.1314,25.2667
0.128,370,13.9024,209.2409,25.6
0.1313,375,3.9017,212.6008,25.9333
0.1358,380,10.8448,217.0346,26.2667
0.1279,385,5.7725,220.9234,26.6
0.1284,390,9.8706,224.4637,26.9333
0.1294,395,0.8965,228.2375,27.2667
0.134,400,8.2823,231.515,27.6
0.1222,405,5.0627,234.8914,27.9333
0.1237,410,6.1894,238.1132,28.2667
0.1219,415,17.7507,241.3095,28.6
0.1208,420,13.325,244.6227,28.9333
0.1273,425,4.2125,248.1579,29.2667
0.1351,430,1.9581,251.5185,29.6
0.1248,435,7.0635,254.7813,29.9333
0.1189,440,9.1066,258.0317,30.2667
0.1257,445,10.3511,261.2514,30.6
0.1274,450,7.3484,264.3872,30.9333
0.1197,455,8.1674,267.6815,31.2667
0.1186,460,9.8145,270.9661,31.6
0.116,465,4.9309,274.1977,31.9333
0.1162,470,3.1031,277.6599,32.2667
0.1107,475,3.1898,281.0301,32.6
0.1188,480,-2.6961,284.4102,32.9333
0.1151,485,9.6781,287.5984,33.2667
0.1207,490,7.8272,290.9089,33.6
0.1245,495,7.8631,294.4943,33.9333
0.1153,500,7.5197,297.8137,34.2667
0.1165,505,2.6618,301.3273,34.6
0.1209,510,9.9415,304.8032,34.9333
0.1168,515,7.3982,308.1601,35.2667
0.1124,520,8.729,311.4852,35.6
0.1155,525,7.4491,314.7679,35.9333
0.1113,530,7.5822,318.1803,36.2667
0.116,535,9.0981,321.4029,36.6
0.1037,540,2.8729,324.726,36.9333
0.1166,545,6.7298,328.2928,37.2667
0.1055,550,7.1416,331.7109,37.6
0.1163,555,3.9683,335.0277,37.9333
0.1134,560,9.7458,338.564,38.2667
0.0989,565,4.5221,341.942,38.6
0.1087,570,9.4835,345.3331,38.9333
0.1103,575,9.152,348.7125,39.2667
0.1067,580,6.2439,352.1288,39.6
0.113,585,4.7527,355.6676,39.9333
0.1005,590,6.4173,359.1491,40.2667
0.1077,595,8.6986,362.5957,40.6
0.1107,600,5.426,366.1999,40.9333
0.1143,605,8.7243,369.559,41.2667
0.1161,610,10.888,372.9704,41.6
0.1065,615,8.7739,376.4038,41.9333
0.1155,620,10.1627,379.7822,42.2667
0.1048,625,5.4396,383.3624,42.6
0.1103,630,6.5718,386.8452,42.9333
0.1123,635,7.3696,390.3412,43.2667
0.1004,640,6.4858,393.6505,43.6
0.103,645,8.1888,397.4323,43.9333
0.1075,650,7.0513,400.883,44.2667
0.1116,655,10.2553,404.3862,44.6
0.1016,660,12.8599,407.8235,44.9333
0.1017,665,6.7523,411.2318,45.2667
0.1062,670,6.5805,414.8343,45.6
0.1135,675,10.2233,418.2879,45.9333
0.1133,680,10.0523,421.7308,46.2667
0.1062,685,11.6051,425.1035,46.6
0.1053,690,5.0627,428.8761,46.9333
0.109,695,7.4753,432.3006,47.2667
0.1093,700,7.9831,435.8713,47.6
0.0974,705,8.649,439.2721,47.9333
0.1156,710,8.4821,442.8351,48.2667
0.1129,715,6.6271,446.2819,48.6
0.1014,720,10.4795,449.8362,48.9333
0.1056,725,9.2264,453.1728,49.2667
0.117,730,6.9136,456.5841,49.6
0.1009,735,10.0654,460.0252,49.9333
0.1002,740,5.8368,463.4319,50.2667
0.1106,745,8.7002,467.0556,50.6
0.1081,750,9.4461,470.4693,50.9333
0.1096,755,7.3556,473.7868,51.2667
