loss,steps,rewards,time,epochs
0.0378,5,4716.9663,11.9619,1.2667
0.0374,10,4740.8633,23.5775,1.6
0.039,15,3810.3391,33.2018,1.9333
0.037,20,3979.1458,42.7912,2.2667
0.033,25,4755.5366,54.6983,2.6
0.0367,30,4505.7549,65.7649,2.9333
0.0386,35,4722.6768,78.2778,3.2667
0.0342,40,4727.7461,90.1902,3.6
0.0369,45,4736.6377,100.8424,3.9333
0.0337,50,4732.7842,111.5522,4.2667
0.0361,55,3992.2344,121.6732,4.6
0.036,60,4581.2319,132.5991,4.9333
0.0407,65,4746.7773,144.504,5.2667
0.0395,70,4065.9089,154.6279,5.6
0.0396,75,4023.5488,165.3369,5.9333
0.0378,80,4363.4282,176.0222,6.2667
0.0344,85,4743.9482,187.3591,6.6
0.0359,90,4021.1589,197.8491,6.9333
0.0412,95,4017.5911,208.9939,7.2667
0.034,100,4751.3975,220.3733,7.6
0.0419,105,4756.0654,231.7548,7.9333
0.0363,110,4751.8193,243.3528,8.2667
0.0387,115,4773.1343,254.5332,8.6
0.0369,120,4769.3335,265.0613,8.9333
0.04,125,4755.4932,276.7572,9.2667
0.0394,130,4770.8667,288.3087,9.6
0.0348,135,3948.2856,298.2939,9.9333
0.037,140,4725.1655,310.4246,10.2667
0.0382,145,4778.7139,321.4438,10.6
0.0428,150,4412.4126,331.8582,10.9333
0.0367,155,4024.3247,343.2639,11.2667
0.0392,160,4466.7178,354.4709,11.6
0.0375,165,4683.0117,365.2536,11.9333
0.0361,170,4760.5,377.2277,12.2667
0.0353,175,4780.4756,389.6511,12.6
0.038,180,4456.7046,399.8022,12.9333
0.0358,185,4753.8257,411.6304,13.2667
0.0378,190,4765.0449,423.8454,13.6
0.0384,195,4778.9028,433.8437,13.9333
0.0419,200,4773.7002,444.94,14.2667
0.0399,205,4769.4917,456.9573,14.6
0.0412,210,4487.2876,468.1938,14.9333
0.038,215,4756.7905,479.6841,15.2667
0.035,220,4637.4116,490.8197,15.6
0.0383,225,4622.7197,502.4314,15.9333
0.0361,230,4716.3472,513.8343,16.2667
0.035,235,4747.6841,525.5679,16.6
0.0352,240,4120.5034,536.0818,16.9333
0.0404,245,4747.874,546.4305,17.2667
0.0341,250,4748.8369,558.7124,17.6
0.0396,255,4001.1458,568.2202,17.9333
0.0365,260,3900.0488,577.5898,18.2667
0.0359,265,3967.071,587.4261,18.6
0.0364,270,4244.7612,596.6477,18.9333
0.0382,275,4728.0225,608.257,19.2667
0.0385,280,3921.7368,619.6676,19.6
0.0346,285,4794.7764,631.7666,19.9333
0.0358,290,4629.2764,643.6611,20.2667
0.0358,295,4757.749,656.2475,20.6
0.0362,300,4763.2788,668.6391,20.9333
0.0365,305,4741.4258,681.9362,21.2667
0.0352,310,3230.0496,692.0309,21.6
0.0393,315,4582.8037,703.7558,21.9333
0.0363,320,4722.7178,718.8033,22.2667
0.0353,325,4344.3525,729.6612,22.6
0.038,330,4025.0366,742.2697,22.9333
0.0337,335,4767.7891,754.1665,23.2667
0.035,340,3592.541,763.6373,23.6
0.0316,345,4782.4048,776.6016,23.9333
0.0381,350,4546.7773,789.3288,24.2667
0.0376,355,4783.5635,802.8823,24.6
0.0369,360,4764.8545,814.7368,24.9333
0.0374,365,4775.6255,826.2749,25.2667
0.0354,370,4172.022,836.4155,25.6
0.0356,375,4084.647,846.6067,25.9333
0.0366,380,4794.5957,859.479,26.2667
0.0348,385,4783.8574,870.9898,26.6
0.0346,390,4757.0293,883.9664,26.9333
0.0347,395,4825.0298,896.7953,27.2667
0.0344,400,4789.2256,911.8658,27.6
0.0365,405,3866.8477,923.2832,27.9333
0.0404,410,4754.4062,936.5942,28.2667
0.0399,415,3983.0522,948.4731,28.6
0.0362,420,4477.8057,960.5071,28.9333
0.0378,425,4774.3633,972.8095,29.2667
0.0384,430,4771.5762,984.3901,29.6
0.0372,435,4763.6128,997.7199,29.9333
0.0378,440,4480.5273,1010.828,30.2667
0.0336,445,4789.957,1023.7026,30.6
0.0357,450,3645.7407,1034.0192,30.9333
0.0354,455,4744.5908,1047.3804,31.2667
0.0355,460,4771.6489,1060.9452,31.6
0.0383,465,4636.9229,1072.9667,31.9333
0.0437,470,4779.2974,1084.5656,32.2667
0.0407,475,4598.542,1097.1793,32.6
0.0347,480,4766.0103,1107.8979,32.9333
0.0364,485,4792.8965,1118.9458,33.2667
0.0366,490,4458.7788,1129.0572,33.6
0.0428,495,3948.7708,1138.4068,33.9333
0.0361,500,4285.4038,1148.5038,34.2667
0.0377,505,3993.5461,1157.509,34.6
0.041,510,3937.5327,1167.958,34.9333
0.0412,515,3747.3379,1179.0937,35.2667
0.036,520,4641.7944,1192.1933,35.6
0.0377,525,4718.7236,1205.6601,35.9333
0.0324,530,4052.2415,1217.4558,36.2667
0.0373,535,4548.2109,1229.4892,36.6
0.0356,540,4602.7056,1240.8572,36.9333
0.0353,545,4062.9009,1253.7721,37.2667
0.0343,550,4664.3247,1266.9418,37.6
0.0386,555,4742.3516,1280.4175,37.9333
0.0373,560,4751.3301,1291.155,38.2667
0.0387,565,4753.3857,1304.161,38.6
0.0377,570,4637.2334,1319.0697,38.9333
0.0387,575,4729.9385,1331.184,39.2667
0.038,580,4772.5938,1342.4646,39.6
0.041,585,4799.0562,1355.1404,39.9333
0.0361,590,4621.2495,1366.5023,40.2667
0.0405,595,3465.6008,1375.0556,40.6
0.0357,600,3957.2446,1384.3692,40.9333
0.0378,605,4758.7603,1396.1806,41.2667
0.0336,610,4493.8916,1407.3918,41.6
0.0361,615,4781.9834,1420.5014,41.9333
0.0368,620,4786.3169,1434.6796,42.2667
0.0411,625,4447.4863,1445.8422,42.6
0.041,630,4724.1772,1456.7506,42.9333
0.0349,635,4634.3975,1467.9008,43.2667
0.0345,640,4777.5557,1478.5614,43.6
0.0382,645,4778.54,1489.1764,43.9333
0.0373,650,4402.4409,1499.1393,44.2667
0.037,655,4758.1143,1510.6698,44.6
0.0416,660,4461.5547,1520.5754,44.9333
0.0357,665,4768.9688,1532.4977,45.2667
0.038,670,4783.9702,1543.0765,45.6
0.0395,675,4813.8315,1554.3423,45.9333
0.037,680,4805.1172,1564.6947,46.2667
0.035,685,4757.6118,1575.4759,46.6
0.0377,690,4769.6104,1586.8813,46.9333
0.0324,695,4786.1035,1597.2107,47.2667
0.0354,700,4220.0342,1607.2111,47.6
0.0333,705,4788.9731,1617.6141,47.9333
0.0383,710,4426.8608,1627.7003,48.2667
0.0373,715,4714.0171,1638.044,48.6
0.0338,720,4743.1357,1648.3801,48.9333
0.0335,725,4264.6729,1657.6167,49.2667
0.0314,730,4775.7974,1668.4706,49.6
0.0369,735,4775.6855,1678.8557,49.9333
0.0346,740,4752.3389,1688.9441,50.2667
0.0377,745,4537.2954,1699.487,50.6
0.0382,750,4016.6245,1709.7336,50.9333
0.0464,755,4610.4277,1720.6101,51.2667
0.0369,760,4733.3594,1731.6765,51.6
0.039,765,4596.5049,1741.5236,51.9333
0.0406,770,4288.9482,1751.1167,52.2667
0.0361,775,4772.228,1761.4093,52.6
0.0344,780,4780.8774,1772.206,52.9333
0.0361,785,4508.5713,1782.4639,53.2667
0.0363,790,4387.0142,1792.9434,53.6
0.0391,795,4793.4263,1804.2494,53.9333
0.0355,800,4754.8218,1814.4916,54.2667
0.0368,805,3896.9817,1823.6169,54.6
0.0369,810,4786.7334,1834.1439,54.9333
0.0385,815,4785.624,1845.4512,55.2667
0.0338,820,4763.6055,1856.7357,55.6
0.0372,825,4775.6055,1867.3948,55.9333
0.0381,830,4750.6514,1877.7108,56.2667
0.0325,835,4778.792,1888.2781,56.6
0.0346,840,4773.2876,1898.6994,56.9333
0.0361,845,4740.6436,1908.7412,57.2667
0.0369,850,4276.4829,1918.8109,57.6
0.0362,855,4413.3618,1929.4848,57.9333
0.0373,860,4730.6353,1940.2803,58.2667
0.0369,865,4747.0093,1950.584,58.6
0.0363,870,4748.3047,1962.2097,58.9333
0.0362,875,4801.1318,1974.5439,59.2667
0.0381,880,4388.4609,1986.2485,59.6
0.0339,885,4774.8252,1997.066,59.9333
0.0351,890,4760.0615,2007.8453,60.2667
0.0367,895,4766.0557,2018.4038,60.6
0.0379,900,4769.5884,2029.2038,60.9333
0.0404,905,4767.4814,2040.4415,61.2667
0.0339,910,4740.6729,2052.1765,61.6
0.0371,915,4513.3896,2062.3205,61.9333
0.037,920,4120.9775,2072.0398,62.2667
0.0375,925,4777.0381,2083.2942,62.6
0.0339,930,4266.1875,2093.8327,62.9333
0.0389,935,4123.8711,2104.9403,63.2667
0.0374,940,4621.2378,2115.9333,63.6
0.0356,945,4780.3696,2127.0613,63.9333
0.0364,950,4799.4131,2137.5166,64.2667
0.0357,955,4793.8267,2148.3661,64.6
0.0355,960,4756.811,2159.4592,64.9333
0.0357,965,4429.3911,2168.9159,65.2667
0.0403,970,4586.3257,2179.4824,65.6
0.0374,975,4699.835,2192.2034,65.9333
0.0367,980,4386.0835,2202.4875,66.2667
0.0354,985,4771.4521,2213.3784,66.6
0.0377,990,4782.2295,2225.2656,66.9333
0.0352,995,4398.396,2237.6487,67.2667
0.0357,1000,4763.7847,2250.3034,67.6
0.0371,1005,4661.6226,2260.9328,67.9333
0.0419,1010,4788.2539,2272.1152,68.2667
0.0358,1015,4782.2798,2283.1685,68.6
0.0384,1020,4346.5391,2293.5829,68.9333
0.0354,1025,4075.979,2303.5998,69.2667
0.036,1030,4632.6499,2314.5721,69.6
0.0423,1035,4251.1318,2324.6863,69.9333
0.038,1040,4785.0732,2336.4255,70.2667
0.0323,1045,4817.417,2347.7634,70.6
0.0356,1050,4599.3916,2357.9284,70.9333
0.0341,1055,4636.4092,2368.5518,71.2667
0.0374,1060,4519.6538,2378.5769,71.6
0.0347,1065,4475.5684,2388.9091,71.9333
0.038,1070,4479.4648,2399.6521,72.2667
0.0345,1075,4801.5723,2410.0886,72.6
0.0368,1080,4777.6768,2421.4624,72.9333
0.0379,1085,4765.4502,2432.2734,73.2667
0.0369,1090,4453.6416,2441.9765,73.6
0.0393,1095,4383.8325,2452.5085,73.9333
0.0385,1100,4740.6353,2463.0593,74.2667
0.0354,1105,4751.9346,2474.0238,74.6
0.0336,1110,4764.8364,2484.4523,74.9333
0.0384,1115,4546.3447,2495.0868,75.2667
0.0405,1120,4507.1348,2505.088,75.6
0.0348,1125,4566.0303,2515.6958,75.9333
0.0371,1130,4777.9893,2525.9921,76.2667
0.0376,1135,4746.8428,2536.7384,76.6
0.0374,1140,4366.9263,2546.2084,76.9333
0.0374,1145,4799.8618,2557.6544,77.2667
0.0378,1150,4757.6011,2571.1393,77.6
0.0379,1155,4388.3872,2581.3691,77.9333
0.0358,1160,4795.2109,2592.7374,78.2667
0.0382,1165,4325.5029,2602.589,78.6
0.0362,1170,4813.144,2614.4521,78.9333
0.0339,1175,4792.5708,2625.249,79.2667
0.0387,1180,4768.8916,2638.5455,79.6
0.0384,1185,4760.1338,2650.7809,79.9333
0.0363,1190,4711.1416,2662.1284,80.2667
0.046,1195,4679.0898,2672.5162,80.6
0.0342,1200,4784.3501,2682.8088,80.9333
0.0373,1205,4749.293,2695.544,81.2667
0.0366,1210,4790.3921,2706.5167,81.6
0.037,1215,4800.1328,2718.6921,81.9333
0.0339,1220,4807.4971,2731.6307,82.2667
0.0347,1225,4572.5864,2742.5639,82.6
0.0371,1230,4770.6943,2753.6356,82.9333
0.0394,1235,4759.2021,2766.251,83.2667
0.0339,1240,4721.9077,2778.3975,83.6
0.0351,1245,4658.9575,2789.2832,83.9333
0.038,1250,4536.7764,2800.8675,84.2667
0.0389,1255,4798.9048,2812.8415,84.6
0.0359,1260,4730.3555,2824.5265,84.9333
0.039,1265,4815.6812,2836.724,85.2667
0.0347,1270,4774.374,2848.6355,85.6
0.0351,1275,4300.4072,2858.9526,85.9333
0.0411,1280,4500.7656,2869.5219,86.2667
0.0373,1285,4762.6436,2881.5744,86.6
0.0338,1290,4830.4438,2892.6195,86.9333
0.0353,1295,4749.0571,2902.6807,87.2667
0.0335,1300,4775.0264,2913.1614,87.6
0.0369,1305,4801.1074,2924.4739,87.9333
0.0386,1310,4526.29,2935.5219,88.2667
0.0347,1315,4753.4482,2947.5288,88.6
0.0413,1320,4773.1377,2958.7452,88.9333
0.0341,1325,4264.5962,2973.2758,89.2667
0.036,1330,4765.229,2987.2029,89.6
0.0399,1335,4149.3379,2999.825,89.9333
0.0385,1340,4799.4756,3011.6378,90.2667
0.0395,1345,4389.9189,3023.3371,90.6
0.035,1350,4802.0117,3034.851,90.9333
0.0368,1355,4041.2407,3044.8909,91.2667
0.0343,1360,4344.729,3055.7399,91.6
0.0372,1365,4789.7397,3069.5083,91.9333
0.0361,1370,4785.3682,3081.734,92.2667
0.036,1375,3947.8267,3091.8359,92.6
0.0367,1380,4135.8096,3102.4644,92.9333
0.04,1385,4796.6382,3114.7036,93.2667
0.0381,1390,4071.8054,3124.7674,93.6
0.0373,1395,4388.5518,3135.099,93.9333
0.0376,1400,4753.6006,3146.4384,94.2667
0.0378,1405,4760.0601,3158.8164,94.6
0.0396,1410,4350.4639,3169.2782,94.9333
0.0341,1415,4714.7842,3180.8344,95.2667
0.0397,1420,4270.2886,3191.3139,95.6
0.0376,1425,4789.9819,3202.7365,95.9333
0.0375,1430,4771.4673,3213.8292,96.2667
0.0327,1435,4462.4092,3224.3333,96.6
0.034,1440,4785.5693,3235.6522,96.9333
0.0362,1445,4530.1455,3245.8911,97.2667
0.0369,1450,4776.9272,3256.3587,97.6
0.0379,1455,4744.3833,3267.3175,97.9333
0.0372,1460,4599.8013,3279.0345,98.2667
0.0382,1465,4781.0942,3290.8711,98.6
0.0356,1470,4634.5576,3302.1554,98.9333
0.036,1475,4564.894,3314.9568,99.2667
0.0368,1480,4343.771,3329.918,99.6
0.0357,1485,4052.1262,3347.1599,99.9333
0.0345,1490,4795.3877,3367.9866,100.2667
0.0413,1495,3963.332,3380.8092,100.6
0.0356,1500,4387.4082,3393.1439,100.9333
