epochs,steps,loss,rewards,time
1.2667,5,0.9695,-2.7645,2.5369
1.6,10,0.9687,-2.8178,5.0387
1.9333,15,0.9483,-2.3942,7.5925
2.2667,20,0.8615,-2.5657,10.195
2.6,25,0.9276,-2.4751,12.7046
2.9333,30,0.9121,-2.1928,15.3144
3.2667,35,0.852,-2.1652,17.9161
3.6,40,0.8357,-1.9556,20.4747
3.9333,45,0.7026,-1.9437,23.0656
4.2667,50,0.6913,-1.6563,25.6591
4.6,55,0.6657,-1.2847,28.2423
4.9333,60,0.564,-1.2256,30.8709
5.2667,65,0.5455,-0.8735,33.4644
5.6,70,0.4586,-0.6057,36.0328
5.9333,75,0.4015,-0.5046,38.6592
6.2667,80,0.4276,-0.2521,41.2575
6.6,85,0.3545,-0.1476,43.8761
6.9333,90,0.2722,-0.0846,46.5164
7.2667,95,0.2611,-2.3236,49.1737
7.6,100,0.2088,-6.0897,51.9398
7.9333,105,0.1827,-9.133,54.8775
8.2667,110,0.1733,-15.2956,57.7986
8.6,115,0.1649,-30.5308,60.8943
8.9333,120,0.1366,-31.7176,64.0317
9.2667,125,0.1494,-27.0603,67.0817
9.6,130,0.1361,-29.5391,70.1843
9.9333,135,0.1229,-35.7289,73.2927
10.2667,140,0.1229,-26.0374,76.4522
10.6,145,0.1166,-5.414,79.8282
10.9333,150,0.1033,104.4987,83.5521
11.2667,155,0.1047,90.5374,87.1964
11.6,160,0.1069,112.0293,90.9555
11.9333,165,0.1122,429.9784,95.3196
12.2667,170,0.095,505.6825,100.2309
12.6,175,0.1056,336.8213,104.9195
12.9333,180,0.0932,453.4266,110.2075
13.2667,185,0.0917,365.8747,115.3916
13.6,190,0.093,359.5392,120.2177
13.9333,195,0.0814,279.0645,125.0451
14.2667,200,0.085,215.3959,130.1459
14.6,205,0.0784,135.6947,134.8929
14.9333,210,0.0819,206.3698,139.5663
15.2667,215,0.0873,358.3164,144.5199
15.6,220,0.076,390.0833,149.8541
15.9333,225,0.0725,193.4449,155.2366
16.2667,230,0.0731,171.7652,159.8607
16.6,235,0.0677,108.3059,164.3276
16.9333,240,0.0669,95.4316,168.576
17.2667,245,0.0723,183.2425,173.0948
17.6,250,0.0657,100.0765,177.1728
17.9333,255,0.0784,97.7088,181.2405
18.2667,260,0.0695,92.7564,185.3332
18.6,265,0.0666,102.1925,189.4822
18.9333,270,0.0664,97.5181,193.4647
19.2667,275,0.0658,106.2327,197.516
19.6,280,0.0614,99.7835,201.4731
19.9333,285,0.0634,111.9835,205.5138
20.2667,290,0.0678,117.6461,209.7616
20.6,295,0.0647,104.6823,214.103
20.9333,300,0.0623,108.1405,218.2687
21.2667,305,0.0636,103.0767,222.5163
21.6,310,0.0597,108.4932,226.7396
21.9333,315,0.0618,110.991,230.8245
22.2667,320,0.0651,104.277,235.33
22.6,325,0.0501,120.4551,240.7436
22.9333,330,0.0526,102.5669,245.5017
23.2667,335,0.0627,116.8123,249.5978
23.6,340,0.0535,114.7237,253.589
23.9333,345,0.059,100.7355,257.4888
24.2667,350,0.0664,85.0084,261.5379
24.6,355,0.0629,80.2349,265.597
24.9333,360,0.0595,95.5946,269.5669
25.2667,365,0.0575,79.0516,273.6057
25.6,370,0.0568,95.1062,277.7876
25.9333,375,0.0525,99.855,282.049
26.2667,380,0.0547,83.4079,286.0559
26.6,385,0.0517,56.5708,290.1732
26.9333,390,0.0559,27.8246,293.8976
27.2667,395,0.0603,45.7447,297.7325
27.6,400,0.0545,75.502,301.761
27.9333,405,0.0581,39.2353,305.6997
28.2667,410,0.0561,33.6674,309.3815
28.6,415,0.0576,73.8548,313.288
28.9333,420,0.0619,28.544,316.8377
29.2667,425,0.0572,41.4231,320.484
29.6,430,0.0527,28.4681,324.2414
29.9333,435,0.0549,32.9425,327.949
30.2667,440,0.0582,29.5076,331.7596
30.6,445,0.0542,26.0139,335.5366
30.9333,450,0.0501,36.6346,339.2099
31.2667,455,0.0528,34.2274,342.9619
31.6,460,0.0559,33.9336,346.7937
31.9333,465,0.0511,33.8816,350.7155
32.2667,470,0.0533,36.4982,354.6014
32.6,475,0.0501,40.9567,358.5254
32.9333,480,0.0549,37.2571,362.5689
33.2667,485,0.0489,28.8388,366.6313
33.6,490,0.0537,35.6295,370.728
33.9333,495,0.0452,30.114,374.714
34.2667,500,0.0591,35.2734,378.3511
34.6,505,0.0511,39.1303,382.0121
34.9333,510,0.0509,39.8502,385.8125
35.2667,515,0.0535,40.9248,389.7353
35.6,520,0.0545,38.5052,393.6109
35.9333,525,0.0489,39.0478,397.5465
36.2667,530,0.0516,50.8674,401.4951
36.6,535,0.0495,39.21,405.3569
36.9333,540,0.0529,44.2403,409.3511
37.2667,545,0.0504,47.256,413.1004
37.6,550,0.0484,46.7407,416.844
37.9333,555,0.0461,42.1044,420.543
38.2667,560,0.0517,51.2987,424.3082
38.6,565,0.0496,81.3873,428.3904
38.9333,570,0.0535,60.7298,432.3702
39.2667,575,0.0494,136.103,436.456
39.6,580,0.0481,87.1855,440.538
39.9333,585,0.0585,81.3065,444.5149
40.2667,590,0.0486,54.7448,448.4237
40.6,595,0.0439,281.7878,452.7414
40.9333,600,0.0466,202.204,457.0637
41.2667,605,0.0475,137.5878,461.3856
41.6,610,0.0464,244.2036,465.8217
41.9333,615,0.048,159.0979,470.256
42.2667,620,0.049,352.5085,476.2761
42.6,625,0.05,397.2581,480.9913
42.9333,630,0.0457,387.9847,485.1231
43.2667,635,0.0516,395.9296,489.6701
43.6,640,0.0475,363.4502,494.0916
43.9333,645,0.0468,370.8481,498.1459
44.2667,650,0.0476,419.3433,503.0291
44.6,655,0.0494,362.4793,507.4451
44.9333,660,0.0492,268.273,511.698
45.2667,665,0.045,819.5942,516.437
45.6,670,0.0491,373.0425,520.9212
45.9333,675,0.0469,384.9062,525.9834
46.2667,680,0.0449,516.922,530.4084
46.6,685,0.0453,351.0726,534.52
46.9333,690,0.0526,448.6117,539.1809
47.2667,695,0.0453,405.7148,543.5013
47.6,700,0.0531,375.4716,547.8146
47.9333,705,0.0435,350.4886,552.3058
48.2667,710,0.0456,232.3071,556.7661
48.6,715,0.0464,401.3926,561.0695
48.9333,720,0.049,383.4503,565.4729
49.2667,725,0.049,355.16,569.8234
49.6,730,0.0486,317.2243,574.016
49.9333,735,0.044,324.8629,578.5915
50.2667,740,0.0467,335.7667,582.8932
50.6,745,0.0473,341.1786,587.6228
50.9333,750,0.047,328.486,591.9308
51.2667,755,0.0525,366.7476,596.0476
51.6,760,0.0494,361.196,600.0617
51.9333,765,0.0477,359.9684,604.1613
52.2667,770,0.0413,826.328,608.8404
52.6,775,0.042,402.5613,613.1915
52.9333,780,0.0444,352.0492,617.1142
53.2667,785,0.0449,345.9993,621.1421
53.6,790,0.0464,1729.676,627.0873
53.9333,795,0.0476,364.5098,631.3301
54.2667,800,0.0438,1433.8502,636.9213
54.6,805,0.042,346.2284,640.812
54.9333,810,0.0459,427.1699,644.8214
55.2667,815,0.0441,2204.5378,651.9472
55.6,820,0.0442,2203.5554,658.8746
55.9333,825,0.0494,3208.4087,667.2358
56.2667,830,0.0455,1009.2153,672.2171
56.6,835,0.0424,2460.1567,680.154
56.9333,840,0.0447,1147.3281,685.5317
57.2667,845,0.0481,1832.7471,692.8363
57.6,850,0.0434,1024.8838,698.9223
57.9333,855,0.041,1705.6956,704.9792
58.2667,860,0.044,402.8709,709.8622
58.6,865,0.042,2618.7883,717.5109
58.9333,870,0.0422,1695.9742,723.7919
59.2667,875,0.0427,2712.6851,731.6526
59.6,880,0.0434,3024.2285,740.8444
59.9333,885,0.0438,2744.668,750.1771
60.2667,890,0.0411,1458.2899,756.2539
60.6,895,0.0467,1638.7761,762.5899
60.9333,900,0.0391,408.2787,766.6777
61.2667,905,0.0434,1418.7854,772.4186
61.6,910,0.0497,2904.0356,780.3394
61.9333,915,0.0455,939.6774,785.1132
62.2667,920,0.0445,3665.8442,794.7803
62.6,925,0.043,2121.5405,801.4887
62.9333,930,0.0408,2810.3853,809.1493
63.2667,935,0.0432,1127.1327,814.5176
63.6,940,0.0436,2694.3855,822.4766
63.9333,945,0.046,3506.189,832.0658
64.2667,950,0.0423,311.0359,835.9559
64.6,955,0.0468,1787.1237,842.6069
64.9333,960,0.0414,2899.0991,850.4624
65.2667,965,0.0386,2281.1682,857.3285
65.6,970,0.0456,3383.5972,866.6147
65.9333,975,0.0364,2714.5769,875.0059
66.2667,980,0.0445,2322.2754,883.5565
66.6,985,0.041,3501.1987,894.9864
66.9333,990,0.0451,3543.5874,904.3364
67.2667,995,0.0415,2279.1775,911.5721
67.6,1000,0.0432,3736.9324,921.0499
67.9333,1005,0.0438,3339.0461,929.6736
68.2667,1010,0.0412,3214.7563,938.1553
68.6,1015,0.0412,2308.4985,945.3165
68.9333,1020,0.0421,2968.7285,953.3358
69.2667,1025,0.0407,3680.7141,962.7007
69.6,1030,0.0406,402.4491,966.6345
69.9333,1035,0.0404,3221.002,975.0689
