epochs,steps,loss,rewards,time
1.2667,5,0.6822,-3.1924,2.5196
1.6,10,0.6231,-3.1567,5.1346
1.9333,15,0.6302,-2.8148,7.8808
2.2667,20,0.5988,-2.7166,10.4565
2.6,25,0.5833,-2.4264,13.2121
2.9333,30,0.5694,-1.8746,16.2572
3.2667,35,0.572,-1.6733,19.0236
3.6,40,0.4777,-1.1082,21.9411
3.9333,45,0.4793,-1.0815,24.7728
4.2667,50,0.4385,0.1622,27.5957
4.6,55,0.4414,2.1748,30.2773
4.9333,60,0.4125,2.5923,33.038
5.2667,65,0.3451,4.7488,35.7346
5.6,70,0.3159,8.1856,38.5134
5.9333,75,0.2736,18.5659,41.4734
6.2667,80,0.2466,19.7856,44.4435
6.6,85,0.2639,30.4889,47.4369
6.9333,90,0.2307,18.7143,50.7318
7.2667,95,0.203,25.2332,54.181
7.6,100,0.1922,8.9731,57.5028
7.9333,105,0.18,18.5002,60.8879
8.2667,110,0.1651,5.8424,64.2975
8.6,115,0.16,24.602,68.1062
8.9333,120,0.147,142.4526,72.6694
9.2667,125,0.1346,118.1941,76.6828
9.6,130,0.1317,126.1821,80.8708
9.9333,135,0.1191,144.7309,84.6879
10.2667,140,0.1254,117.1294,88.6726
10.6,145,0.1162,100.9709,92.4319
10.9333,150,0.1035,123.7709,96.2929
11.2667,155,0.1106,227.2077,100.2973
11.6,160,0.0902,94.4632,104.2039
11.9333,165,0.0953,28.983,107.8026
12.2667,170,0.1013,17.3096,111.5304
12.6,175,0.0918,15.4025,114.9837
12.9333,180,0.0962,18.6131,118.453
13.2667,185,0.0959,11.1833,121.8792
13.6,190,0.0881,7.7829,125.2782
13.9333,195,0.0862,12.8507,129.0802
14.2667,200,0.0798,6.9194,132.6232
14.6,205,0.0938,3.7714,136.2343
14.9333,210,0.0865,1.5132,139.5974
15.2667,215,0.0824,-1.0747,142.9513
15.6,220,0.0814,-5.0271,146.2756
15.9333,225,0.0793,-4.5582,149.6343
16.2667,230,0.0775,-2.2427,152.9527
16.6,235,0.0707,-4.7141,156.1985
16.9333,240,0.0687,-3.0283,159.7369
17.2667,245,0.0745,-2.9991,163.0925
17.6,250,0.0748,-6.5816,166.4675
17.9333,255,0.076,-2.076,169.8428
18.2667,260,0.0753,-5.0432,173.2011
18.6,265,0.0715,-6.1397,176.5258
18.9333,270,0.0706,-4.1188,180.0281
19.2667,275,0.0676,-0.9676,183.4683
19.6,280,0.0703,-1.5369,187.0438
19.9333,285,0.0666,-1.242,190.5479
20.2667,290,0.0633,-3.9838,193.9902
20.6,295,0.0636,-1.4204,197.5208
20.9333,300,0.0628,-3.0166,201.0685
21.2667,305,0.0667,-2.0034,204.5465
21.6,310,0.0633,-3.3096,207.8546
21.9333,315,0.0619,-2.7742,211.26
22.2667,320,0.0693,-5.4546,214.6579
22.6,325,0.0635,-6.9223,218.0148
22.9333,330,0.0631,-6.1419,221.4062
23.2667,335,0.0635,-1.6211,224.7281
23.6,340,0.0616,-5.1265,227.988
23.9333,345,0.0704,-1.0885,231.4014
24.2667,350,0.0573,-4.4888,234.668
