epochs,steps,loss,rewards,time
1.2667,5,0.0398,4032.1523,9.3271
1.6,10,0.0359,4613.458,19.7166
1.9333,15,0.0353,4048.9321,28.9243
2.2667,20,0.041,4787.0962,39.3208
2.6,25,0.0342,3713.6082,48.9588
2.9333,30,0.0378,4009.0098,58.1384
3.2667,35,0.0381,3978.7317,67.7568
3.6,40,0.0361,4749.4756,78.1982
3.9333,45,0.0358,4748.9609,88.8009
4.2667,50,0.0372,4758.0693,99.6293
4.6,55,0.0393,4725.186,109.8893
4.9333,60,0.0354,4041.1335,119.1032
5.2667,65,0.0386,4743.4326,129.4685
5.6,70,0.0392,4782.5879,139.6076
5.9333,75,0.0353,4781.3311,150.3453
6.2667,80,0.0367,4784.2046,161.4054
6.6,85,0.0365,4036.5781,171.0558
6.9333,90,0.0374,4768.3184,181.8646
7.2667,95,0.0372,4031.4565,192.3214
7.6,100,0.0367,4743.2158,202.9997
7.9333,105,0.0396,4451.2812,213.3782
8.2667,110,0.0375,4353.77,223.7753
8.6,115,0.0385,4795.8662,234.1539
8.9333,120,0.0366,3803.3945,242.9282
9.2667,125,0.0378,4172.7837,252.3708
9.6,130,0.0392,4790.0146,262.3892
9.9333,135,0.0366,4088.5103,271.5788
10.2667,140,0.0404,4778.2959,281.6515
10.6,145,0.0372,4816.9194,291.7858
10.9333,150,0.0361,4785.5024,301.8016
11.2667,155,0.0389,4765.3647,312.5708
11.6,160,0.0367,4513.4795,322.7796
11.9333,165,0.036,4353.7314,332.5888
12.2667,170,0.0349,4738.1445,343.2404
12.6,175,0.0397,4291.7314,352.8328
12.9333,180,0.0389,3603.5266,361.3671
13.2667,185,0.0319,4043.3269,370.4811
13.6,190,0.0371,4829.8228,380.6236
13.9333,195,0.0376,4803.9639,390.7988
14.2667,200,0.0369,4602.3662,400.7118
14.6,205,0.0375,2950.9871,408.0242
14.9333,210,0.0415,4070.7026,417.1785
15.2667,215,0.0374,4792.8926,427.3203
15.6,220,0.0369,4745.4072,437.4002
15.9333,225,0.0381,4786.2588,447.8826
16.2667,230,0.0344,4350.9126,457.5593
16.6,235,0.0362,4533.8716,467.2652
16.9333,240,0.037,4115.1016,476.3727
17.2667,245,0.0372,4781.6211,486.5723
17.6,250,0.0368,4587.4858,496.3913
17.9333,255,0.0328,4763.48,506.5349
18.2667,260,0.0367,4746.5811,516.605
18.6,265,0.0367,4617.7212,526.5447
18.9333,270,0.0333,4804.1943,536.6652
19.2667,275,0.0371,4768.5322,546.8003
19.6,280,0.0396,4502.605,556.4335
19.9333,285,0.0337,4330.7568,565.8629
20.2667,290,0.0385,4759.4194,576.0078
20.6,295,0.0398,3369.4578,584.0902
20.9333,300,0.0356,4774.8335,594.1659
21.2667,305,0.0343,4775.145,604.1791
21.6,310,0.0369,4783.8901,614.1835
21.9333,315,0.0353,2915.0986,621.4398
22.2667,320,0.0367,4756.1821,631.4536
22.6,325,0.0352,4779.957,641.5274
22.9333,330,0.0379,4814.9834,651.5337
23.2667,335,0.0363,4769.6338,661.9323
23.6,340,0.0364,4819.146,672.0555
23.9333,345,0.0419,3982.0188,680.901
24.2667,350,0.0326,3985.9653,689.6738
24.6,355,0.0354,4234.5342,698.8732
24.9333,360,0.0348,4059.8989,707.9041
25.2667,365,0.0382,4526.5752,717.6198
25.6,370,0.0333,4786.0522,727.6724
25.9333,375,0.0389,4434.689,737.0737
26.2667,380,0.037,4735.269,747.0573
26.6,385,0.0362,4802.9443,757.1425
