epochs,loss,rewards,time,steps
1.2667,0.6557,-2.5363,2.4563,5
1.6,0.6087,-2.4976,4.8298,10
1.9333,0.6794,-2.4161,7.2292,15
2.2667,0.6346,-2.619,9.7262,20
2.6,0.6797,-2.3098,12.2273,25
2.9333,0.6722,-2.8809,14.6756,30
3.2667,0.6781,-2.3171,17.1248,35
3.6,0.6769,-1.7597,19.6118,40
3.9333,0.6681,-2.1578,22.0564,45
4.2667,0.6609,-2.3342,24.5106,50
4.6,0.6633,-2.1592,26.9869,55
4.9333,0.7209,-2.4218,29.476,60
5.2667,0.6155,-2.2953,31.9845,65
5.6,0.6194,-2.4846,34.4273,70
5.9333,0.611,-2.215,36.8925,75
6.2667,0.6164,-2.592,39.3684,80
6.6,0.5701,-2.3634,41.8093,85
6.9333,0.5619,-2.1512,44.2443,90
7.2667,0.6166,-1.3983,46.7203,95
7.6,0.6006,-1.736,49.1907,100
7.9333,0.5794,-1.3831,51.6346,105
8.2667,0.5707,-1.9595,54.1538,110
8.6,0.5238,-1.7671,56.6314,115
8.9333,0.5444,-2.3271,59.1128,120
9.2667,0.5017,-1.299,61.6132,125
9.6,0.5249,-1.2546,64.0844,130
9.9333,0.4682,-0.7597,66.6078,135
10.2667,0.4895,-1.3644,69.0665,140
10.6,0.4979,-1.0237,71.6057,145
10.9333,0.4518,-1.2755,74.051,150
11.2667,0.4547,-1.2973,76.5499,155
11.6,0.4458,-0.5349,79.0338,160
11.9333,0.438,0.2306,81.5243,165
12.2667,0.4097,-0.3127,84.0109,170
12.6,0.4198,-0.1619,86.502,175
12.9333,0.3803,0.0984,88.9825,180
13.2667,0.4019,0.8808,91.4765,185
13.6,0.3494,0.1341,93.939,190
13.9333,0.3562,0.7409,96.4782,195
14.2667,0.3303,2.855,98.9734,200
14.6,0.3198,0.6207,101.5086,205
14.9333,0.3197,2.9539,103.9983,210
15.2667,0.3102,3.0711,106.5335,215
15.6,0.2761,2.8999,109.0493,220
15.9333,0.2816,3.9775,111.5263,225
16.2667,0.2398,4.7806,114.0367,230
16.6,0.2579,4.2953,116.6166,235
16.9333,0.253,4.6153,119.1612,240
17.2667,0.2333,5.4748,121.6687,245
17.6,0.2236,5.7537,124.1393,250
17.9333,0.2208,7.775,126.7172,255
18.2667,0.2047,7.0341,129.2735,260
18.6,0.1886,9.5906,131.8824,265
18.9333,0.177,7.655,134.4422,270
19.2667,0.1699,11.2828,137.0487,275
19.6,0.1756,9.9636,139.7201,280
19.9333,0.1586,11.5627,142.3943,285
20.2667,0.1467,11.3943,145.5373,290
20.6,0.1522,6.4256,148.3078,295
20.9333,0.142,10.8434,151.4384,300
21.2667,0.1529,211.3887,155.9103,305
21.6,0.1506,402.0589,162.9574,310
21.9333,0.1369,474.6569,169.7186,315
22.2667,0.126,516.2328,176.5546,320
22.6,0.1302,505.9544,182.5273,325
22.9333,0.1416,360.8798,188.3837,330
23.2667,0.1431,217.5903,192.9652,335
23.6,0.1319,178.863,196.897,340
23.9333,0.131,92.5909,200.8242,345
24.2667,0.1344,59.3914,204.569,350
24.6,0.1237,57.0346,208.2376,355
24.9333,0.1256,47.7739,212.0614,360
25.2667,0.1205,45.829,215.811,365
25.6,0.1254,49.9581,219.6786,370
25.9333,0.1355,48.5802,223.2211,375
26.2667,0.1158,40.228,226.7578,380
26.6,0.1137,50.6761,230.2754,385
26.9333,0.1318,38.2969,233.8076,390
27.2667,0.1115,31.7817,237.3625,395
27.6,0.119,29.4474,240.809,400
27.9333,0.1158,33.0791,244.5878,405
28.2667,0.1214,27.4459,248.1015,410
28.6,0.1077,19.7914,251.6194,415
28.9333,0.1309,25.8417,255.0256,420
29.2667,0.1194,29.194,258.6611,425
29.6,0.1141,16.691,262.1493,430
29.9333,0.1288,20.4383,265.5537,435
30.2667,0.1271,28.43,269.0188,440
30.6,0.1186,21.4688,272.5063,445
30.9333,0.1219,24.2675,276.0717,450
31.2667,0.1207,16.836,279.584,455
31.6,0.1077,19.0592,283.1131,460
31.9333,0.1255,21.57,286.6631,465
32.2667,0.1178,34.3334,290.1188,470
32.6,0.1246,25.4619,293.5629,475
32.9333,0.1141,28.2578,297.1217,480
33.2667,0.1148,21.8022,300.4706,485
33.6,0.1234,18.2082,304.0267,490
33.9333,0.1084,20.7807,307.4769,495
34.2667,0.1119,21.6207,310.9908,500
34.6,0.1183,23.1516,314.5001,505
34.9333,0.1186,25.541,317.9719,510
35.2667,0.1155,20.8867,321.3606,515
35.6,0.1069,24.3908,324.8001,520
35.9333,0.1,21.5047,328.1431,525
36.2667,0.1153,19.6633,331.557,530
36.6,0.1074,29.2391,335.014,535
36.9333,0.1106,22.5528,338.4211,540
37.2667,0.1166,19.6592,341.9317,545
37.6,0.1115,21.6107,345.3676,550
37.9333,0.1063,24.7243,348.9115,555
38.2667,0.1075,25.2377,352.4195,560
38.6,0.1013,25.0952,356.0494,565
38.9333,0.105,24.7367,359.5661,570
39.2667,0.109,23.7179,363.0037,575
39.6,0.1075,23.0881,366.4095,580
39.9333,0.1018,20.9763,369.9124,585
40.2667,0.1032,22.7023,373.327,590
40.6,0.1189,21.4284,376.7817,595
40.9333,0.1073,25.4747,380.2975,600
41.2667,0.1137,21.3423,383.6773,605
41.6,0.1086,17.1887,387.0815,610
41.9333,0.1011,19.6707,390.628,615
42.2667,0.1087,17.6976,394.0109,620
42.6,0.1103,17.0418,397.4146,625
42.9333,0.1062,20.0062,400.9386,630
43.2667,0.1109,22.0441,404.3331,635
43.6,0.113,20.7385,407.8314,640
43.9333,0.0961,22.1939,411.3108,645
44.2667,0.1017,18.7162,414.7497,650
44.6,0.1063,17.8838,418.0965,655
44.9333,0.1101,19.6631,421.5117,660
45.2667,0.1087,19.0597,424.8946,665
45.6,0.1027,21.3784,428.3553,670
45.9333,0.1108,18.2848,432.0178,675
46.2667,0.114,16.3542,435.4868,680
46.6,0.1013,15.4566,438.8675,685
46.9333,0.1189,17.2397,442.2562,690
47.2667,0.1074,16.8555,445.6149,695
47.6,0.1195,20.8915,448.9913,700
47.9333,0.1039,24.8713,452.6295,705
48.2667,0.0995,19.5265,456.0893,710
48.6,0.1111,20.7722,459.5699,715
48.9333,0.0987,20.3969,462.9905,720
49.2667,0.0979,19.2306,466.5329,725
49.6,0.1068,18.2109,470.0121,730
49.9333,0.1015,15.6272,473.4611,735
50.2667,0.1086,19.9189,476.8508,740
50.6,0.1044,19.3623,480.2882,745
50.9333,0.1047,19.5837,483.7749,750
51.2667,0.1096,19.937,487.2477,755
51.6,0.105,20.2624,490.7399,760
51.9333,0.1006,21.4491,494.3307,765
