epochs,loss,rewards,time,steps
1.2667,0.9238,-2.7401,2.4167,5
1.6,0.9477,-2.731,4.7924,10
1.9333,0.9284,-2.9628,7.1673,15
2.2667,0.9972,-2.5566,9.6035,20
2.6,0.9284,-2.5961,12.0377,25
2.9333,0.9765,-2.6433,14.4587,30
3.2667,0.8957,-2.6359,16.8952,35
3.6,0.937,-2.3248,19.3499,40
3.9333,0.8581,-2.3588,21.8103,45
4.2667,0.8668,-2.4587,24.2859,50
4.6,0.7963,-2.4117,26.7208,55
4.9333,0.801,-2.2726,29.189,60
5.2667,0.7948,-2.0655,31.659,65
5.6,0.7848,-2.0518,34.1097,70
5.9333,0.6745,-1.7878,36.569,75
6.2667,0.6825,-1.7815,39.0465,80
6.6,0.7008,-1.7689,41.5094,85
6.9333,0.6047,-1.5923,43.9569,90
7.2667,0.5714,-1.3759,46.434,95
7.6,0.503,-1.2552,48.8891,100
7.9333,0.455,-1.2469,51.3689,105
8.2667,0.3879,-1.1913,53.8738,110
8.6,0.3729,-0.8701,56.3424,115
8.9333,0.3624,-0.8787,58.8352,120
9.2667,0.3651,-0.7821,61.3141,125
9.6,0.265,-0.5102,63.8125,130
9.9333,0.3066,-0.8156,66.3707,135
10.2667,0.252,-1.5073,68.8826,140
10.6,0.2467,-6.3761,71.4733,145
10.9333,0.2162,-6.6135,74.1793,150
11.2667,0.2372,-7.558,76.9108,155
11.6,0.1607,-26.675,79.9178,160
11.9333,0.206,-28.8196,82.8785,165
12.2667,0.1715,-28.7541,85.8887,170
12.6,0.1407,-27.3418,88.8402,175
12.9333,0.1303,-25.0156,91.8699,180
13.2667,0.1255,-31.0995,94.8702,185
13.6,0.1279,-33.0736,97.971,190
13.9333,0.1333,-16.9931,101.1158,195
14.2667,0.1387,15.0521,104.6133,200
14.6,0.1119,477.9967,109.0864,205
14.9333,0.1077,436.9254,113.3445,210
15.2667,0.1239,551.0936,117.8706,215
15.6,0.1113,550.1537,122.4566,220
15.9333,0.1004,599.4243,128.3113,225
16.2667,0.1022,675.5576,133.3967,230
16.6,0.0943,428.7785,138.1386,235
16.9333,0.0929,867.4557,143.9917,240
17.2667,0.097,649.8743,149.6879,245
17.6,0.0961,581.8414,155.1973,250
17.9333,0.0834,485.7034,160.4761,255
18.2667,0.0903,827.6602,166.0379,260
18.6,0.0923,531.7999,171.3316,265
18.9333,0.0892,430.3322,176.0235,270
19.2667,0.1044,542.9893,181.2415,275
19.6,0.0801,278.9576,185.9293,280
19.9333,0.079,194.7366,190.1771,285
20.2667,0.0807,92.2588,194.229,290
20.6,0.0733,115.3634,198.3471,295
20.9333,0.0798,109.7973,202.4461,300
21.2667,0.0753,107.0183,206.6538,305
21.6,0.0831,109.6439,210.7806,310
21.9333,0.0758,101.6747,214.791,315
22.2667,0.0719,117.1634,218.9982,320
22.6,0.0722,119.78,223.2174,325
22.9333,0.0675,108.1184,227.4003,330
23.2667,0.0724,118.9905,231.5242,335
23.6,0.0691,101.2945,235.4996,340
23.9333,0.0679,124.2695,239.4832,345
24.2667,0.0783,113.4622,243.485,350
24.6,0.0669,121.8523,247.2839,355
24.9333,0.0653,111.536,250.9991,360
25.2667,0.0715,70.1757,254.6462,365
25.6,0.0725,48.6192,258.2133,370
25.9333,0.0628,25.0747,261.563,375
26.2667,0.0662,23.4209,265.0346,380
26.6,0.0655,25.2452,268.4422,385
26.9333,0.0592,40.595,271.9771,390
27.2667,0.0594,28.3498,275.344,395
27.6,0.0625,23.4409,278.7577,400
27.9333,0.0617,19.3076,282.1278,405
28.2667,0.0701,17.5842,285.463,410
28.6,0.0717,21.5635,288.8901,415
28.9333,0.0633,14.8118,292.283,420
29.2667,0.0617,8.2334,295.6113,425
29.6,0.0671,5.5824,298.9207,430
29.9333,0.0642,12.5286,302.2797,435
30.2667,0.0603,13.5067,305.6516,440
30.6,0.0577,14.8708,308.9933,445
30.9333,0.0564,15.7102,312.439,450
31.2667,0.0564,7.3087,315.7259,455
31.6,0.0526,13.268,319.0639,460
31.9333,0.0622,12.3192,322.3322,465
32.2667,0.0623,10.2208,325.6291,470
32.6,0.0619,11.6818,328.9335,475
32.9333,0.0622,12.2618,332.2623,480
33.2667,0.0632,11.8142,335.6137,485
33.6,0.0603,17.5818,339.038,490
33.9333,0.0571,12.1312,342.4484,495
34.2667,0.0583,10.3758,345.8682,500
34.6,0.0531,14.5838,349.2271,505
34.9333,0.0624,8.0982,352.5354,510
35.2667,0.07,17.4277,355.9337,515
35.6,0.0564,11.4872,359.2721,520
35.9333,0.0564,10.0341,362.588,525
36.2667,0.0574,10.0731,365.8864,530
36.6,0.0544,17.3839,369.32,535
36.9333,0.0576,13.1739,372.6543,540
37.2667,0.0659,18.331,376.0728,545
37.6,0.0601,19.3731,379.465,550
37.9333,0.0565,13.1277,382.817,555
38.2667,0.0592,9.4247,386.2457,560
38.6,0.0584,12.4131,389.6262,565
38.9333,0.0554,15.4868,392.9744,570
39.2667,0.0569,19.097,396.3229,575
39.6,0.0582,17.989,399.715,580
39.9333,0.0527,15.4571,403.0743,585
40.2667,0.0555,16.377,406.3983,590
40.6,0.0567,18.9315,409.7665,595
40.9333,0.0617,21.3001,413.1885,600
