epochs,loss,rewards,time,steps
1.2667,0.0402,4719.6938,10.4359,5
1.6,0.0387,4580.6553,21.55,10
1.9333,0.0383,4740.7686,31.6898,15
2.2667,0.0371,4398.8853,41.6928,20
2.6,0.0366,4793.811,52.2384,25
2.9333,0.0393,4785.3369,62.9467,30
3.2667,0.0424,4770.04,74.3573,35
3.6,0.0378,4059.5024,83.9681,40
3.9333,0.0358,4024.9512,93.2192,45
4.2667,0.0339,4399.2095,103.0151,50
4.6,0.0362,4262.2578,112.6346,55
4.9333,0.0382,4769.8545,123.0495,60
5.2667,0.0377,4757.2744,133.4957,65
5.6,0.0353,4769.1416,144.2734,70
5.9333,0.0381,4689.5366,154.8406,75
6.2667,0.0383,4127.3257,164.1258,80
6.6,0.0375,4483.5107,175.1473,85
6.9333,0.0418,3644.2605,184.0954,90
7.2667,0.0358,4133.9541,193.3862,95
7.6,0.0344,4034.782,202.4298,100
7.9333,0.0361,4539.7085,213.1822,105
8.2667,0.0331,4738.2852,224.0236,110
8.6,0.0379,4316.9478,233.5795,115
8.9333,0.0363,4013.4153,242.9132,120
9.2667,0.0405,4746.3545,253.3131,125
9.6,0.0373,4502.0322,264.3273,130
9.9333,0.0389,4340.7651,274.0452,135
10.2667,0.0404,4758.3682,284.2139,140
10.6,0.0396,4739.168,294.6575,145
10.9333,0.0329,3991.0266,304.0831,150
11.2667,0.0385,4803.9131,314.667,155
11.6,0.0361,3805.8418,324.1268,160
11.9333,0.0375,4713.6401,335.0265,165
12.2667,0.0362,4765.1348,345.3125,170
12.6,0.0385,4017.2317,354.2517,175
12.9333,0.0358,4742.1719,364.1805,180
13.2667,0.0357,4577.0498,373.994,185
13.6,0.0379,4547.3857,383.7814,190
13.9333,0.0354,4455.3887,394.0647,195
14.2667,0.0384,4070.6492,403.1978,200
14.6,0.038,4729.2451,413.3167,205
14.9333,0.0391,4127.3101,422.5517,210
15.2667,0.035,4789.3472,432.8376,215
15.6,0.0478,4793.6406,442.9741,220
15.9333,0.0358,4040.562,452.3734,225
16.2667,0.0362,4800.5322,462.4837,230
16.6,0.0342,4738.3374,472.595,235
16.9333,0.0377,4749.5381,483.4345,240
17.2667,0.0374,4045.7695,492.948,245
17.6,0.0384,4033.4961,501.8771,250
17.9333,0.0395,4465.5386,512.4956,255
18.2667,0.0367,4794.9077,522.6944,260
18.6,0.0356,4777.4961,533.277,265
18.9333,0.036,4050.4219,542.4314,270
19.2667,0.0365,4776.1196,552.6504,275
19.6,0.0381,4751.749,562.7498,280
19.9333,0.0408,3530.6323,571.027,285
20.2667,0.034,4055.0776,580.607,290
20.6,0.0351,4765.4771,591.3085,295
20.9333,0.0376,4756.6538,601.5983,300
21.2667,0.039,4554.1221,612.0703,305
