time,epochs,loss,steps,rewards
2.609,1.2667,0.545,5,2.5485
5.1985,1.6,0.5461,10,2.9056
7.7541,1.9333,0.5364,15,3.1442
10.4167,2.2667,0.5758,20,4.3276
13.0997,2.6,0.5239,25,4.2423
15.755,2.9333,0.5305,30,1.8835
18.4582,3.2667,0.5039,35,6.7593
21.1014,3.6,0.505,40,9.0583
23.7947,3.9333,0.4796,45,9.9568
26.6703,4.2667,0.469,50,8.8675
29.5347,4.6,0.4384,55,14.8754
32.5425,4.9333,0.4432,60,52.2011
35.6179,5.2667,0.4074,65,33.2256
38.7899,5.6,0.4019,70,39.6983
42.2113,5.9333,0.3624,75,71.964
45.6974,6.2667,0.3482,80,120.7072
49.2434,6.6,0.3304,85,121.4065
52.7199,6.9333,0.2824,90,92.2874
56.8286,7.2667,0.2672,95,330.8796
61.2864,7.6,0.2304,100,337.5112
65.1941,7.9333,0.2291,105,283.1121
68.9975,8.2667,0.2015,110,285.6667
73.5459,8.6,0.1927,115,254.3349
77.4025,8.9333,0.1728,120,215.549
82.1431,9.2667,0.1571,125,203.5228
86.7118,9.6,0.1387,130,137.7501
90.6872,9.9333,0.1335,135,123.5155
95.0181,10.2667,0.1432,140,124.9484
99.3639,10.6,0.1335,145,121.7179
103.4636,10.9333,0.1306,150,159.2334
107.3549,11.2667,0.1116,155,69.6737
111.6391,11.6,0.1109,160,78.5787
115.5965,11.9333,0.1128,165,59.5357
119.2192,12.2667,0.1067,170,45.0344
122.8348,12.6,0.1013,175,38.2564
126.3222,12.9333,0.0963,180,21.482
129.8011,13.2667,0.1,185,20.4059
133.3164,13.6,0.0938,190,17.6461
136.7668,13.9333,0.088,195,12.4922
140.1623,14.2667,0.091,200,17.9833
143.6231,14.6,0.0927,205,30.9656
147.1097,14.9333,0.0876,210,10.6291
150.5118,15.2667,0.0824,215,12.7244
153.867,15.6,0.0858,220,11.4373
157.3486,15.9333,0.0826,225,10.931
160.7264,16.2667,0.0808,230,11.1513
164.1212,16.6,0.076,235,10.7046
167.5073,16.9333,0.0767,240,13.2706
170.9406,17.2667,0.0786,245,9.7698
174.2973,17.6,0.0797,250,10.4801
177.5646,17.9333,0.0817,255,15.1362
180.9383,18.2667,0.0808,260,15.2126
184.3399,18.6,0.081,265,13.9693
187.7495,18.9333,0.0717,270,12.8979
191.3765,19.2667,0.0742,275,11.7389
194.6288,19.6,0.0716,280,27.7662
198.1529,19.9333,0.0698,285,23.482
201.4768,20.2667,0.0716,290,20.3287
204.7837,20.6,0.0696,295,25.1023
208.0905,20.9333,0.0678,300,25.5583
211.1488,21.2667,0.0648,305,25.9182
214.5758,21.6,0.0626,310,24.8141
217.5485,21.9333,0.068,315,24.4438
221.0288,22.2667,0.064,320,22.9641
224.0669,22.6,0.0643,325,27.1677
227.3593,22.9333,0.0624,330,22.8629
230.6437,23.2667,0.0645,335,21.8413
233.9082,23.6,0.063,340,24.7461
236.9633,23.9333,0.0595,345,24.9669
240.0536,24.2667,0.0598,350,24.1145
243.0387,24.6,0.0618,355,24.1383
246.188,24.9333,0.0605,360,26.3544
249.4315,25.2667,0.0579,365,27.6657
252.7513,25.6,0.0554,370,29.0825
256.094,25.9333,0.0553,375,25.855
259.0561,26.2667,0.0636,380,22.8869
262.0722,26.6,0.058,385,21.6874
265.27,26.9333,0.0586,390,22.2252
268.4682,27.2667,0.0529,395,22.2858
271.7135,27.6,0.0611,400,22.5883
275.1139,27.9333,0.0569,405,23.8515
278.3878,28.2667,0.0572,410,25.3859
281.7676,28.6,0.0517,415,23.9032
285.1498,28.9333,0.0544,420,21.2459
288.4945,29.2667,0.0531,425,13.7604
291.8719,29.6,0.0539,430,20.8168
295.5599,29.9333,0.0523,435,21.7353
298.7483,30.2667,0.053,440,21.0227
302.065,30.6,0.0506,445,22.9307
305.4629,30.9333,0.0573,450,19.314
308.8395,31.2667,0.0559,455,23.1099
312.1453,31.6,0.0576,460,27.2132
315.5826,31.9333,0.0494,465,19.8855
318.9722,32.2667,0.0519,470,21.6312
322.4222,32.6,0.0498,475,16.5553
325.9114,32.9333,0.0503,480,17.3881
329.3275,33.2667,0.0515,485,14.9513
332.6981,33.6,0.05,490,17.7716
335.8916,33.9333,0.0492,495,27.4667
339.299,34.2667,0.0528,500,16.5152
342.6682,34.6,0.0514,505,27.5563
346.0136,34.9333,0.0487,510,21.6693
349.2311,35.2667,0.0489,515,26.1919
352.2012,35.6,0.0505,520,21.6635
355.6663,35.9333,0.0457,525,16.3894
359.0674,36.2667,0.0594,530,17.5473
362.4964,36.6,0.0524,535,21.5857
365.8527,36.9333,0.0493,540,19.3203
369.4086,37.2667,0.05,545,28.5176
372.8651,37.6,0.0473,550,31.8143
376.4081,37.9333,0.0537,555,29.1182
379.9707,38.2667,0.0499,560,30.2133
383.654,38.6,0.0523,565,31.8325
387.7379,38.9333,0.0494,570,41.3288
392.1635,39.2667,0.0506,575,35.1594
397.1991,39.6,0.0531,580,31.5818
401.4709,39.9333,0.0477,585,31.677
406.1862,40.2667,0.0508,590,37.4192
410.514,40.6,0.048,595,39.6717
414.7695,40.9333,0.05,600,32.2173
418.524,41.2667,0.0498,605,44.7175
423.0503,41.6,0.0438,610,47.0976
427.3885,41.9333,0.0449,615,79.2739
431.3292,42.2667,0.0516,620,46.9082
435.466,42.6,0.0483,625,65.03
439.7456,42.9333,0.0439,630,351.5014
443.9022,43.2667,0.0457,635,350.9415
448.2515,43.6,0.0516,640,443.6104
452.0686,43.9333,0.0477,645,57.8721
456.6572,44.2667,0.0461,650,546.9425
461.3863,44.6,0.0519,655,403.3477
465.7971,44.9333,0.0439,660,534.9247
470.1169,45.2667,0.0462,665,603.1585
474.5836,45.6,0.0474,670,452.8108
479.1756,45.9333,0.0525,675,494.1906
483.8721,46.2667,0.0531,680,638.6068
488.254,46.6,0.0473,685,538.3594
492.6991,46.9333,0.0472,690,399.8347
498.2832,47.2667,0.0469,695,1383.4879
502.7012,47.6,0.0433,700,592.7427
506.8119,47.9333,0.0449,705,511.9796
512.1977,48.2667,0.0483,710,1242.6119
516.5094,48.6,0.044,715,404.0928
520.5342,48.9333,0.0438,720,498.6983
524.8344,49.2667,0.0443,725,492.1417
529.5958,49.6,0.0479,730,566.2994
535.1651,49.9333,0.0567,735,1287.4689
543.8514,50.2667,0.0438,740,2890.3044
548.0323,50.6,0.0487,745,513.9094
552.5675,50.9333,0.0461,750,533.9075
557.8522,51.2667,0.045,755,1377.4974
562.0365,51.6,0.0457,760,647.9735
565.6847,51.9333,0.0448,765,370.4169
569.8757,52.2667,0.0426,770,569.9755
573.8033,52.6,0.0453,775,394.228
579.7018,52.9333,0.0414,780,1793.8652
583.9371,53.2667,0.0461,785,637.5974
